site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_v,H2O_ppt,T_panel,T_soil,T_air
MEAD,11,C,light,2022,182,1103,0,,,425.76,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,1,,,425,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,2,,,424.1,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,3,,,427.22,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,4,,,424.86,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,5,,,423.89,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,6,,,424.86,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,7,,,423.54,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,8,,,424.93,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,9,,,425.83,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,10,,,424.72,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,11,,,425.69,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,12,,,425,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,13,,,424.3,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,14,,,424.72,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,15,,,426.11,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,16,,,422.92,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,17,,,425.97,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,18,,,425,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,19,,,423.47,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,20,,,425.55,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,21,,,424.1,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,22,,,424.03,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,23,,,423.33,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,24,,,422.85,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,25,,,423.89,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,26,,,421.81,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,27,,,423.06,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,28,,,423.83,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,29,,,425.83,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,30,,,423.89,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,31,,,424.1,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,32,,,422.5,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,33,,,422.92,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,34,,,422.99,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,35,,,422.43,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,36,,,423.61,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,37,,,422.5,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,38,,,423.47,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,39,,,422.71,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,40,,,422.64,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,41,,,424.1,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,42,,,423.06,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,43,,,423.19,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,44,,,423.89,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,45,,,422.99,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,46,,,422.02,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,47,,,420.91,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,48,,,423.82,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,49,,,421.6,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,50,,,422.43,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,51,,,422.5,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,52,,,422.5,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,53,,,423.61,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,54,,,422.99,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,55,,,422.43,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,56,,,422.99,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,57,,,421.81,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,58,,,422.15,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1103,59,,,422.85,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,0,,,423.4,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,1,,,422.29,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,2,,,422.43,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,3,,,421.95,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,4,,,420.42,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,5,,,421.46,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,6,,,421.46,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,7,,,421.88,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,8,,,421.46,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,9,,,422.85,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,10,,,421.6,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,11,,,419.94,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,12,,,421.11,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,13,,,420.49,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,14,,,421.25,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,15,,,421.53,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,16,,,422.85,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,17,,,421.15,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,18,,,421.81,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,19,,,421.32,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,20,,,422.57,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,21,,,419.73,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,22,,,421.32,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,23,,,421.88,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,24,,,422.15,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,25,,,420.63,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,26,,,420.49,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,27,,,422.02,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,28,,,420.21,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,29,,,420.91,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,30,,,421.95,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,31,,,420.35,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,32,,,419.66,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,33,,,420.91,,,,,6.2408,7.9951
MEAD,11,C,light,2022,182,1104,34,,,420.21,,,,,6.2408,7.9951
