site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,2022,192,1110,31.2,12.153,2.1256,425.11,0.73218,11.715,19.691,50.579,-73.31
WILL,NA,NA,NA,2022,192,1110,32.2,12.134,2.1346,426.91,0.73253,11.72,19.678,45.712,-65.653
WILL,NA,NA,NA,2022,192,1110,33.2,12.15,2.1307,426.15,0.73288,11.726,19.678,44.757,-67.03
WILL,NA,NA,NA,2022,192,1110,34.2,12.131,2.1366,427.33,0.73288,11.726,19.665,42.88,-68.634
WILL,NA,NA,NA,2022,192,1110,35.2,12.148,2.129,425.8,0.73288,11.726,19.665,43.789,-68.303
WILL,NA,NA,NA,2022,192,1110,36.2,12.131,2.1245,424.9,0.73253,11.72,19.655,43.514,-70.056
WILL,NA,NA,NA,2022,192,1110,37.2,12.145,2.1366,427.33,0.73357,11.737,19.653,44.651,-68.608
WILL,NA,NA,NA,2022,192,1110,38.2,12.128,2.1283,425.66,0.73288,11.726,19.64,43.467,-68.416
WILL,NA,NA,NA,2022,192,1110,39.2,12.104,2.1328,426.56,0.73288,11.726,19.628,43.174,-69.032
WILL,NA,NA,NA,2022,192,1110,40.2,12.087,2.1311,426.22,0.73357,11.737,19.628,43.521,-68.969
WILL,NA,NA,NA,2022,192,1110,41.2,12.104,2.1311,426.22,0.73357,11.737,19.615,43.773,-69.109
WILL,NA,NA,NA,2022,192,1110,42.2,12.09,2.138,427.6,0.73392,11.743,19.603,43.579,-68.359
WILL,NA,NA,NA,2022,192,1110,43.2,12.106,2.1294,425.87,0.73392,11.743,19.603,42.753,-70.245
WILL,NA,NA,NA,2022,192,1110,44.2,12.087,2.1339,426.77,0.73392,11.743,19.59,44.225,-67.581
WILL,NA,NA,NA,2022,192,1110,45.2,12.106,2.1283,425.66,0.73392,11.743,19.59,42.741,-67.857
WILL,NA,NA,NA,2022,192,1110,46.2,12.087,2.1318,426.36,0.73357,11.737,19.577,42.876,-68.174
WILL,NA,NA,NA,2022,192,1110,47.2,12.101,2.1321,426.43,0.73461,11.754,19.577,43.885,-68.947
WILL,NA,NA,NA,2022,192,1110,48.2,12.082,2.1346,426.91,0.73392,11.743,19.565,44.269,-67.764
