site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
MEAD,NA,NA,NA,2022,206,1416,52.2,11.18,2.0175,403.5,0.49052,7.8483,19.423,16.661,17.915
MEAD,NA,NA,NA,2022,206,1416,53.2,11.04,1.9926,398.51,0.49437,7.9099,19.423,16.644,17.898
MEAD,NA,NA,NA,2022,206,1416,54.2,11.224,2.0327,406.55,0.5016,8.0256,19.423,16.593,17.898
MEAD,NA,NA,NA,2022,206,1416,55.2,11.01,1.9953,399.06,0.49329,7.8926,19.425,16.629,17.9
MEAD,NA,NA,NA,2022,206,1416,56.2,11.244,2.0029,400.59,0.49537,7.9259,19.435,16.571,17.91
MEAD,NA,NA,NA,2022,206,1416,57.2,11.183,1.9995,399.9,0.4968,7.9487,19.435,16.502,17.91
MEAD,NA,NA,NA,2022,206,1416,58.2,11.373,1.9971,399.41,0.49541,7.9266,19.435,16.502,17.91
MEAD,NA,NA,NA,2022,206,1416,59.2,11.155,2.0168,403.36,0.49467,7.9148,19.448,16.48,17.923
MEAD,NA,NA,NA,2022,206,1417,0.2,11.18,2.0286,405.72,0.49606,7.937,19.437,16.453,17.878
MEAD,NA,NA,NA,2022,206,1417,1.2,11.197,1.9922,398.44,0.49329,7.8926,19.448,16.446,17.888
MEAD,NA,NA,NA,2022,206,1417,2.2,10.969,2.0069,401.39,0.48913,7.8261,19.448,16.412,17.888
MEAD,NA,NA,NA,2022,206,1417,3.2,10.936,2.0016,400.31,0.49156,7.8649,19.45,16.414,17.856
MEAD,NA,NA,NA,2022,206,1417,4.2,10.788,2.0073,401.45,0.49606,7.937,19.46,16.39,17.867
MEAD,NA,NA,NA,2022,206,1417,5.2,10.73,2.0029,400.59,0.49606,7.937,19.46,16.39,17.85
MEAD,NA,NA,NA,2022,206,1417,6.2,11.174,2.0057,401.14,0.49952,7.9924,19.473,16.368,17.845
MEAD,NA,NA,NA,2022,206,1417,7.2,11.128,2.0064,401.28,0.50095,8.0152,19.473,16.351,17.828
MEAD,NA,NA,NA,2022,206,1417,8.2,11.211,2.0078,401.56,0.50307,8.0492,19.473,16.334,17.811
MEAD,NA,NA,NA,2022,206,1417,9.2,11.333,1.9898,397.96,0.50472,8.0755,19.473,16.299,17.794
MEAD,NA,NA,NA,2022,206,1417,10.2,11.244,2.01,402.01,0.51199,8.1919,19.485,16.277,17.789
MEAD,NA,NA,NA,2022,206,1417,11.2,11.303,1.9808,396.15,0.5113,8.1808,19.485,16.243,17.755
MEAD,NA,NA,NA,2022,206,1417,12.2,11.082,2.0016,400.31,0.5165,8.264,19.485,16.209,17.737
MEAD,NA,NA,NA,2022,206,1417,13.2,11.314,1.9811,396.22,0.51754,8.2806,19.485,16.191,17.72
MEAD,NA,NA,NA,2022,206,1417,14.2,11.167,1.9946,398.93,0.51892,8.3028,19.498,16.187,17.699
MEAD,NA,NA,NA,2022,206,1417,15.2,11.137,1.9856,397.12,0.52308,8.3693,19.487,16.142,17.671
MEAD,11,T,light,2022,206,1417,16.2,11.196,1.992,398.41,0.52659,8.4254,19.498,16.118,17.664
MEAD,11,T,light,2022,206,1417,17.2,11.059,1.9794,395.88,0.53001,8.4801,19.51,16.131,17.642
MEAD,11,T,light,2022,206,1417,18.2,11.062,1.9877,397.54,0.53278,8.5245,19.51,16.096,17.625
MEAD,11,T,light,2022,206,1417,19.2,10.961,1.9884,397.68,0.5356,8.5695,19.523,16.074,17.621
