site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
DRYAS,NA,NA,NA,2022,207,1022,50.2,12.051,2.0151,403.02,0.46659,7.4655,16.79,10.763,11.907
DRYAS,NA,NA,NA,2022,207,1022,51.2,12.073,2.0071,401.42,0.46035,7.3656,16.79,10.728,11.907
DRYAS,NA,NA,NA,2022,207,1022,52.2,12.128,2.0165,403.29,0.47144,7.5431,16.802,10.705,11.919
DRYAS,NA,NA,NA,2022,207,1022,53.2,12.114,2.0147,402.95,0.46243,7.3989,16.802,10.706,11.884
DRYAS,NA,NA,NA,2022,207,1022,54.2,12.015,2.0043,400.87,0.45273,7.2436,16.802,10.706,11.884
DRYAS,NA,NA,NA,2022,207,1022,55.2,12.07,2.0203,404.06,0.46659,7.4655,16.814,10.665,11.896
DRYAS,NA,NA,NA,2022,207,1022,56.2,12.158,2.0154,403.09,0.46105,7.3767,16.814,10.596,11.896
DRYAS,NA,NA,NA,2022,207,1022,57.2,12.125,2.0113,402.25,0.46174,7.3878,16.814,10.492,11.896
DRYAS,NA,NA,NA,2022,207,1022,58.2,12.02,2.0064,401.28,0.46451,7.4322,16.814,10.388,11.896
DRYAS,NA,NA,NA,2022,207,1022,59.2,12.056,2.0099,401.98,0.45897,7.3434,16.814,10.249,11.896
DRYAS,NA,NA,NA,2022,207,1023,0.2,12.119,2.0127,402.53,0.46451,7.4322,16.814,10.144,11.896
DRYAS,NA,NA,NA,2022,207,1023,1.2,12.189,2.0054,401.07,0.4555,7.288,16.814,10.04,11.896
DRYAS,NA,NA,NA,2022,207,1023,2.2,12.211,2.0189,403.78,0.46312,7.41,16.814,9.9358,11.896
DRYAS,NA,NA,NA,2022,207,1023,3.2,12.204,2.0127,402.53,0.46936,7.5098,16.826,9.8436,11.908
DRYAS,NA,NA,NA,2022,207,1023,4.2,12.212,2.0137,402.74,0.46728,7.4766,16.826,9.7741,11.891
DRYAS,NA,NA,NA,2022,207,1023,5.2,12.18,2.0057,401.14,0.46728,7.4766,16.826,9.6698,11.908
DRYAS,NA,NA,NA,2022,207,1023,6.2,12.154,2.0043,400.87,0.4659,7.4544,16.826,9.5829,11.891
DRYAS,NA,NA,NA,2022,207,1023,7.2,11.733,2.0071,401.42,0.47422,7.5875,16.826,9.496,11.891
DRYAS,NA,NA,NA,2022,207,1023,8.2,11.777,2.0206,404.13,0.486,7.7761,16.826,9.3743,11.891
DRYAS,11,C,light,2022,207,1023,9.2,11.848,1.9998,399.97,0.4659,7.4544,16.826,9.27,11.891
DRYAS,11,C,light,2022,207,1023,10.2,11.853,2.0023,400.45,0.47214,7.5542,16.826,9.1482,11.891
DRYAS,11,C,light,2022,207,1023,11.2,11.858,2.0127,402.53,0.47976,7.6762,16.826,9.0091,11.891
DRYAS,11,C,light,2022,207,1023,12.2,11.751,2.0071,401.42,0.48878,7.8204,16.826,8.8706,11.874
DRYAS,11,C,light,2022,207,1023,13.2,11.757,1.9981,399.62,0.49294,7.887,16.826,8.7139,11.874
DRYAS,11,C,light,2022,207,1023,14.2,11.759,1.9984,399.69,0.49363,7.8981,16.814,8.5271,11.861
DRYAS,11,C,light,2022,207,1023,15.2,11.699,2.0019,400.38,0.49744,7.9591,16.814,8.353,11.861
DRYAS,11,C,light,2022,207,1023,16.2,11.693,2.0036,400.73,0.5075,8.1199,16.814,8.2137,11.861
DRYAS,11,C,light,2022,207,1023,17.2,11.864,1.9995,399.9,0.51512,8.242,16.814,8.0576,11.862
DRYAS,11,C,light,2022,207,1023,18.2,11.889,1.995,398.99,0.52067,8.3307,16.814,7.9175,11.861
DRYAS,11,C,light,2022,207,1023,19.2,11.856,1.9905,398.09,0.52691,8.4305,16.814,7.7963,11.862
DRYAS,11,C,light,2022,207,1023,20.2,11.79,1.9974,399.48,0.53176,8.5082,16.814,7.6561,11.861
DRYAS,11,C,light,2022,207,1023,21.2,11.803,1.9932,398.65,0.53731,8.5969,16.802,7.5045,11.849
DRYAS,11,C,light,2022,207,1023,22.2,11.944,1.9919,398.37,0.53869,8.6191,16.802,7.3824,11.832
DRYAS,11,C,light,2022,207,1023,23.2,11.809,1.9912,398.23,0.53731,8.5969,16.802,7.2603,11.832
DRYAS,11,C,light,2022,207,1023,24.2,11.947,1.9988,399.76,0.54389,8.7023,16.802,7.1382,11.815
DRYAS,11,C,light,2022,207,1023,25.2,11.883,1.9884,397.68,0.5484,8.7744,16.802,7.0335,11.815
DRYAS,11,C,light,2022,207,1023,26.2,11.941,1.9846,396.91,0.55325,8.8521,16.802,6.9122,11.815
DRYAS,11,C,light,2022,207,1023,27.2,11.93,1.9863,397.26,0.55672,8.9075,16.79,6.7954,11.803
DRYAS,11,C,light,2022,207,1023,28.2,11.952,1.9946,398.93,0.56573,9.0517,16.79,6.6549,11.785
DRYAS,11,C,light,2022,207,1023,29.2,11.856,1.9828,396.57,0.5692,9.1072,16.79,6.5501,11.785
DRYAS,11,C,light,2022,207,1023,30.2,11.845,1.9839,396.78,0.57267,9.1627,16.79,6.4628,11.768
DRYAS,11,C,light,2022,207,1023,31.2,11.803,1.987,397.4,0.57475,9.1959,16.79,6.3929,11.768
DRYAS,11,C,light,2022,207,1023,32.2,11.711,1.9835,396.71,0.58515,9.3623,16.779,6.276,11.756
DRYAS,11,C,light,2022,207,1023,33.2,11.741,1.9766,395.32,0.58757,9.4012,16.779,6.207,11.756
DRYAS,11,C,light,2022,207,1023,34.2,11.666,1.9842,396.85,0.59069,9.4511,16.779,6.1362,11.739
DRYAS,11,C,light,2022,207,1023,35.2,11.748,1.9832,396.64,0.59277,9.4844,16.779,6.0139,11.739
DRYAS,11,C,light,2022,207,1023,36.2,11.795,1.9794,395.87,0.59139,9.4622,16.779,5.9265,11.739
DRYAS,11,C,light,2022,207,1023,37.2,11.784,1.9832,396.64,0.59763,9.562,16.779,5.8216,11.739
DRYAS,11,C,light,2022,207,1023,38.2,11.881,1.9839,396.78,0.6004,9.6064,16.779,5.7517,11.721
DRYAS,11,C,light,2022,207,1023,39.2,11.843,1.9787,395.74,0.60213,9.6341,16.767,5.6696,11.709
DRYAS,11,C,light,2022,207,1023,40.2,11.749,1.9759,395.18,0.60594,9.6951,16.767,5.5997,11.709
DRYAS,11,C,light,2022,207,1023,41.2,11.814,1.9773,395.46,0.60941,9.7506,16.767,5.5297,11.692
DRYAS,11,C,light,2022,207,1023,42.2,11.834,1.9745,394.9,0.61704,9.8726,16.767,5.4598,11.692
DRYAS,11,C,light,2022,207,1023,43.2,11.938,1.9756,395.11,0.62397,9.9835,16.767,5.3898,11.692
DRYAS,11,C,light,2022,207,1023,44.2,11.946,1.9749,394.97,0.62744,10.039,16.767,5.3548,11.692
DRYAS,11,C,light,2022,207,1023,45.2,11.933,1.9763,395.25,0.62882,10.061,16.755,5.3077,11.663
DRYAS,11,C,light,2022,207,1023,46.2,11.925,1.9756,395.11,0.63437,10.15,16.755,5.2552,11.663
DRYAS,11,C,light,2022,207,1023,47.2,11.809,1.9714,394.28,0.63714,10.194,16.755,5.1678,11.663
DRYAS,11,C,light,2022,207,1023,48.2,11.748,1.9704,394.07,0.63853,10.216,16.755,5.1153,11.663
DRYAS,11,C,light,2022,207,1023,49.2,11.784,1.9697,393.93,0.63784,10.205,16.755,5.0628,11.663
DRYAS,11,C,light,2022,207,1023,50.2,11.803,1.9731,394.63,0.64338,10.294,16.755,4.9928,11.663
DRYAS,11,C,light,2022,207,1023,51.2,11.79,1.9683,393.66,0.64824,10.372,16.755,4.9227,11.645
DRYAS,11,C,light,2022,207,1023,52.2,11.768,1.9669,393.38,0.65309,10.449,16.755,4.8877,11.663
DRYAS,11,C,light,2022,207,1023,53.2,11.779,1.97,394,0.65586,10.494,16.755,4.8177,11.645
DRYAS,11,C,light,2022,207,1023,54.2,11.715,1.9683,393.66,0.65933,10.549,16.755,4.7827,11.645
DRYAS,11,C,light,2022,207,1023,55.2,11.768,1.9641,392.82,0.6621,10.594,16.743,4.7355,11.633
DRYAS,11,C,light,2022,207,1023,56.2,11.733,1.9603,392.06,0.66557,10.649,16.743,4.7005,11.616
DRYAS,11,C,light,2022,207,1023,57.2,11.853,1.9586,391.71,0.66696,10.671,16.743,4.648,11.616
DRYAS,11,C,light,2022,207,1023,58.2,11.867,1.9676,393.52,0.66973,10.716,16.743,4.6305,11.616
DRYAS,11,C,light,2022,207,1023,59.2,11.88,1.9634,392.69,0.6725,10.76,16.743,4.5954,11.599
DRYAS,11,C,light,2022,207,1024,0.2,11.839,1.9634,392.69,0.67389,10.782,16.743,4.5615,11.599
DRYAS,11,C,light,2022,207,1024,1.2,11.823,1.9645,392.89,0.68013,10.882,16.743,4.5254,11.599
DRYAS,11,C,light,2022,207,1024,2.2,11.77,1.9607,392.13,0.68359,10.938,16.743,4.4728,11.581
DRYAS,11,C,light,2022,207,1024,3.2,11.645,1.9607,392.13,0.68567,10.971,16.743,4.4203,11.581
DRYAS,11,C,light,2022,207,1024,4.2,11.875,1.9607,392.13,0.68775,11.004,16.743,4.3327,11.581
DRYAS,11,C,light,2022,207,1024,5.2,11.958,1.9565,391.3,0.68775,11.004,16.731,4.2515,11.57
DRYAS,11,C,light,2022,207,1024,6.2,11.927,1.9627,392.55,0.69191,11.071,16.731,4.2154,11.552
DRYAS,11,C,light,2022,207,1024,7.2,11.924,1.962,392.41,0.69573,11.132,16.731,4.1628,11.552
DRYAS,11,C,light,2022,207,1024,8.2,11.913,1.9603,392.06,0.70023,11.204,16.731,4.1103,11.535
DRYAS,11,C,light,2022,207,1024,9.2,11.85,1.9579,391.58,0.69989,11.198,16.731,4.0938,11.535
DRYAS,11,C,light,2022,207,1024,10.2,11.839,1.9475,389.5,0.70474,11.276,16.731,4.0413,11.535
DRYAS,11,C,light,2022,207,1024,11.2,11.875,1.9509,390.19,0.71271,11.403,16.731,3.9887,11.535
DRYAS,11,C,light,2022,207,1024,12.2,11.889,1.9544,390.88,0.71514,11.442,16.731,3.9536,11.518
DRYAS,11,C,light,2022,207,1024,13.2,11.869,1.9489,389.77,0.71653,11.464,16.731,3.901,11.5
DRYAS,11,C,light,2022,207,1024,14.2,11.864,1.9579,391.58,0.72277,11.564,16.731,3.866,11.5
DRYAS,11,C,light,2022,207,1024,15.2,11.864,1.9489,389.77,0.73039,11.686,16.731,3.8309,11.5
DRYAS,11,C,light,2022,207,1024,16.2,11.856,1.9503,390.05,0.72519,11.603,16.731,3.8484,11.5
DRYAS,11,C,light,2022,207,1024,17.2,11.861,1.9475,389.5,0.73247,11.72,16.731,3.8484,11.5
DRYAS,11,C,light,2022,207,1024,18.2,11.823,1.9503,390.05,0.73455,11.753,16.731,3.8309,11.5
DRYAS,11,C,light,2022,207,1024,19.2,11.806,1.9489,389.77,0.7349,11.758,16.731,3.7772,11.5
