site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+41.2   ,+11.700 ,+2.1839 ,+436.77,+.80989 ,+12.958 ,+23.956 ,+8.6244 ,+19.477 ,+.00343 ,+.18434
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+42.2   ,+11.634 ,+2.1666 ,+433.32,+.81370 ,+13.019 ,+23.956 ,+8.6244 ,+19.477 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+43.2   ,+11.692 ,+2.1839 ,+436.78,+.80893 ,+12.943 ,+23.956 ,+8.6417 ,+19.494 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+44.2   ,+11.763 ,+2.1962 ,+439.23,+.82069 ,+13.131 ,+23.956 ,+8.6244 ,+19.511 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+45.2   ,+11.670 ,+2.1719 ,+434.39,+.81654 ,+13.065 ,+23.956 ,+8.6417 ,+19.494 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+46.2   ,+11.788 ,+2.1718 ,+434.35,+.81266 ,+13.003 ,+23.956 ,+8.6417 ,+19.477 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+47.2   ,+11.815 ,+2.1934 ,+438.68,+.82000 ,+13.120 ,+23.956 ,+8.6417 ,+19.409 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+48.2   ,+11.763 ,+2.1811 ,+436.23,+.81723 ,+13.076 ,+23.956 ,+8.6417 ,+19.341 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+49.2   ,+11.807 ,+2.1733 ,+434.67,+.82200 ,+13.152 ,+23.956 ,+8.6417 ,+19.272 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+50.2   ,+11.719 ,+2.1756 ,+435.12,+.81993 ,+13.119 ,+23.956 ,+8.6417 ,+19.238 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+51.2   ,+11.761 ,+2.1906 ,+438.12,+.82069 ,+13.131 ,+23.956 ,+8.6417 ,+19.170 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+52.2   ,+11.667 ,+2.1891 ,+437.82,+.82346 ,+13.175 ,+23.956 ,+8.6417 ,+19.118 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+53.2   ,+11.815 ,+2.1746 ,+434.91,+.82519 ,+13.203 ,+23.956 ,+8.6404 ,+19.067 ,+.00343 ,+.18434
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+54.2   ,+11.895 ,+2.1821 ,+436.43,+.83169 ,+13.307 ,+23.956 ,+8.6591 ,+19.016 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+55.2   ,+11.791 ,+2.1756 ,+435.12,+.82277 ,+13.164 ,+23.956 ,+8.6417 ,+18.930 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+179.   ,+1429.  ,+56.2   ,+11.719 ,+2.1911 ,+438.23,+.82677 ,+13.228 ,+23.956 ,+8.6591 ,+18.862 ,+0.0000 ,+0.0000
