site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+29.2   ,+11.797 ,+1.6848 ,+336.97,+.31326 ,+5.0122 ,+18.123 ,+12.732 ,+17.110 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+30.2   ,+11.857 ,+1.6814 ,+336.27,+.31326 ,+5.0122 ,+18.145 ,+12.720 ,+17.167 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+31.2   ,+11.871 ,+1.6821 ,+336.41,+.31396 ,+5.0233 ,+18.147 ,+12.705 ,+17.169 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+32.2   ,+11.841 ,+1.6838 ,+336.76,+.31465 ,+5.0344 ,+18.159 ,+12.700 ,+17.147 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+33.2   ,+11.838 ,+1.6828 ,+336.55,+.31465 ,+5.0344 ,+18.159 ,+12.665 ,+17.147 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+34.2   ,+11.849 ,+1.6828 ,+336.55,+.31534 ,+5.0455 ,+18.172 ,+12.660 ,+17.159 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+35.2   ,+11.832 ,+1.6841 ,+336.83,+.31534 ,+5.0455 ,+18.184 ,+12.638 ,+17.188 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+36.2   ,+11.843 ,+1.6848 ,+336.97,+.31604 ,+5.0566 ,+18.196 ,+12.633 ,+17.218 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+37.2   ,+11.846 ,+1.6855 ,+337.10,+.31604 ,+5.0566 ,+18.208 ,+12.628 ,+17.230 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+38.2   ,+11.736 ,+1.6841 ,+336.83,+.31676 ,+5.0681 ,+18.221 ,+12.606 ,+17.242 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+39.2   ,+11.761 ,+1.6883 ,+337.66,+.31742 ,+5.0787 ,+18.233 ,+12.601 ,+17.254 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+40.2   ,+11.747 ,+1.6904 ,+338.07,+.31708 ,+5.0732 ,+18.245 ,+12.596 ,+17.267 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+41.2   ,+11.755 ,+1.6918 ,+338.35,+.31777 ,+5.0843 ,+18.257 ,+12.573 ,+17.279 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+42.2   ,+11.734 ,+1.6884 ,+337.69,+.31811 ,+5.0898 ,+18.269 ,+12.569 ,+17.291 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+43.2   ,+11.736 ,+1.6921 ,+338.42,+.31811 ,+5.0898 ,+18.282 ,+12.547 ,+17.269 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+44.2   ,+11.734 ,+1.6904 ,+338.07,+.31950 ,+5.1120 ,+18.294 ,+12.542 ,+17.247 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+45.2   ,+11.714 ,+1.6945 ,+338.91,+.31881 ,+5.1009 ,+18.306 ,+12.536 ,+17.225 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+46.2   ,+11.720 ,+1.6914 ,+338.28,+.32019 ,+5.1231 ,+18.318 ,+12.531 ,+17.237 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+47.2   ,+11.681 ,+1.6952 ,+339.05,+.32019 ,+5.1231 ,+18.331 ,+12.526 ,+17.250 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1600.  ,+48.2   ,+11.687 ,+1.6928 ,+338.56,+.32019 ,+5.1231 ,+18.343 ,+12.521 ,+17.279 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1602.  ,+37.2   ,+11.802 ,+1.8072 ,+361.43,+.35866 ,+5.7385 ,+19.133 ,+11.779 ,+15.372 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1602.  ,+38.2   ,+11.816 ,+1.8124 ,+362.47,+.35970 ,+5.7552 ,+19.133 ,+11.779 ,+15.372 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1602.  ,+39.2   ,+11.830 ,+1.8130 ,+362.61,+.35970 ,+5.7552 ,+19.146 ,+11.757 ,+15.401 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1602.  ,+40.2   ,+11.777 ,+1.8158 ,+363.16,+.36004 ,+5.7607 ,+19.146 ,+11.757 ,+15.401 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1602.  ,+41.2   ,+11.791 ,+1.8096 ,+361.92,+.36039 ,+5.7663 ,+19.146 ,+11.740 ,+15.384 
MEAD,NA,NA,NA,+2022.  ,+190.   ,+1602.  ,+42.2   ,+11.838 ,+1.8117 ,+362.33,+.36074 ,+5.7718 ,+19.146 ,+11.723 ,+15.384 
