site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1637.  ,+13.2   ,+11.924 ,+2.0404 ,+408.08,+.51114 ,+8.1782 ,+14.070 ,+11.266 ,-58.376 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1637.  ,+14.2   ,+11.920 ,+2.0387 ,+407.73,+.51114 ,+8.1782 ,+14.070 ,+9.0944 ,-85.399 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1637.  ,+15.2   ,+11.907 ,+2.0383 ,+407.66,+.51183 ,+8.1893 ,+14.070 ,+14.035 ,-64.178 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1637.  ,+16.2   ,+11.981 ,+2.0390 ,+407.80,+.51253 ,+8.2004 ,+14.070 ,+10.503 ,-77.554 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+7.2    ,+11.969 ,+2.0494 ,+409.88,+.56454 ,+9.0327 ,+13.840 ,+4.3918 ,-105.47 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+8.2    ,+11.967 ,+2.0446 ,+408.91,+.56524 ,+9.0438 ,+13.840 ,+4.4093 ,-79.446 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+9.2    ,+11.967 ,+2.0529 ,+410.58,+.56524 ,+9.0438 ,+13.840 ,+4.4093 ,-33.262 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+10.2   ,+11.967 ,+2.0473 ,+409.47,+.56524 ,+9.0438 ,+13.828 ,+4.4152 ,-38.180 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+11.2   ,+11.964 ,+2.0501 ,+410.02,+.56593 ,+9.0549 ,+13.828 ,+4.4152 ,-224.93 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+12.2   ,+11.963 ,+2.0484 ,+409.67,+.56524 ,+9.0438 ,+13.828 ,+4.4152 ,-98.633 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+13.2   ,+11.961 ,+2.0508 ,+410.16,+.56593 ,+9.0549 ,+13.817 ,+4.4212 ,-99999. ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+14.2   ,+11.910 ,+2.0446 ,+408.91,+.56593 ,+9.0549 ,+13.817 ,+4.4212 ,-12.537 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+15.2   ,+11.909 ,+2.0536 ,+410.72,+.56662 ,+9.0660 ,+13.825 ,+4.4297 ,-102.47 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+16.2   ,+11.911 ,+2.0480 ,+409.61,+.56662 ,+9.0660 ,+13.817 ,+4.4212 ,-232.80 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+17.2   ,+11.911 ,+2.0466 ,+409.33,+.56662 ,+9.0660 ,+13.806 ,+4.4095 ,-29.666 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+18.2   ,+11.909 ,+2.0442 ,+408.84,+.56662 ,+9.0660 ,+13.806 ,+4.4095 ,-88.494 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+19.2   ,+11.912 ,+2.0508 ,+410.16,+.56662 ,+9.0660 ,+13.806 ,+4.4095 ,+45.673 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+20.2   ,+11.912 ,+2.0487 ,+409.74,+.56732 ,+9.0771 ,+13.794 ,+4.3979 ,-73.966 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+21.2   ,+11.909 ,+2.0470 ,+409.40,+.56662 ,+9.0660 ,+13.794 ,+4.3979 ,-49.602 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+22.2   ,+11.906 ,+2.0529 ,+410.58,+.56732 ,+9.0771 ,+13.794 ,+4.4154 ,-80.660 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+23.2   ,+11.901 ,+2.0480 ,+409.61,+.56732 ,+9.0771 ,+13.783 ,+4.4038 ,-62.701 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+24.2   ,+11.879 ,+2.0501 ,+410.02,+.56732 ,+9.0771 ,+13.783 ,+4.4038 ,-47.789 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+25.2   ,+11.967 ,+2.0477 ,+409.54,+.56732 ,+9.0771 ,+13.771 ,+4.3922 ,-19.064 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+26.2   ,+11.969 ,+2.0466 ,+409.33,+.56732 ,+9.0771 ,+13.780 ,+4.4007 ,-93.837 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+27.2   ,+11.967 ,+2.0508 ,+410.16,+.56801 ,+9.0882 ,+13.771 ,+4.3922 ,-130.33 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+28.2   ,+11.967 ,+2.0511 ,+410.23,+.56801 ,+9.0882 ,+13.771 ,+4.3922 ,-3274.6 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+29.2   ,+11.969 ,+2.0473 ,+409.47,+.56801 ,+9.0882 ,+13.760 ,+4.3805 ,-155.12 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+30.2   ,+11.967 ,+2.0425 ,+408.50,+.56801 ,+9.0882 ,+13.760 ,+4.3805 ,-2.7372 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+31.2   ,+11.966 ,+2.0553 ,+411.06,+.56870 ,+9.0993 ,+13.760 ,+4.3805 ,-99999. ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+32.2   ,+11.964 ,+2.0511 ,+410.23,+.56870 ,+9.0993 ,+13.748 ,+4.3689 ,+5.1921 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+33.2   ,+11.964 ,+2.0515 ,+410.30,+.56870 ,+9.0993 ,+13.748 ,+4.3689 ,-129.26 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+34.2   ,+11.961 ,+2.0463 ,+409.26,+.56870 ,+9.0993 ,+13.748 ,+4.3689 ,+5.0345 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+35.2   ,+11.956 ,+2.0518 ,+410.37,+.56940 ,+9.1104 ,+13.737 ,+4.3573 ,-59.813 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+36.2   ,+11.909 ,+2.0466 ,+409.33,+.56870 ,+9.0993 ,+13.737 ,+4.3573 ,-70.873 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+37.2   ,+11.909 ,+2.0501 ,+410.02,+.56940 ,+9.1104 ,+13.737 ,+4.3573 ,-67.121 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1643.  ,+38.2   ,+11.909 ,+2.0505 ,+410.09,+.56940 ,+9.1104 ,+13.725 ,+4.3456 ,-318.31 ,+0.0000 ,+0.0000
