site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+36.2   ,+12.042 ,+2.0383 ,+407.66,+.43547 ,+6.9675 ,+15.558 ,+14.282 ,+10.126 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+37.2   ,+12.017 ,+2.0456 ,+409.12,+.43200 ,+6.9120 ,+15.558 ,+14.282 ,+10.109 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+38.2   ,+11.905 ,+2.0442 ,+408.84,+.43131 ,+6.9009 ,+15.558 ,+14.282 ,+10.074 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+39.2   ,+11.871 ,+2.0380 ,+407.59,+.42715 ,+6.8344 ,+15.570 ,+14.294 ,+10.069 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+40.2   ,+11.957 ,+2.0418 ,+408.36,+.42645 ,+6.8233 ,+15.570 ,+14.294 ,+10.051 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+41.2   ,+12.078 ,+2.0439 ,+408.77,+.42507 ,+6.8011 ,+15.570 ,+14.311 ,+10.069 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+42.2   ,+12.062 ,+2.0411 ,+408.22,+.42888 ,+6.8621 ,+15.570 ,+14.328 ,+10.086 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+43.2   ,+11.944 ,+2.0484 ,+409.67,+.42923 ,+6.8676 ,+15.570 ,+14.328 ,+10.086 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+44.2   ,+12.059 ,+2.0501 ,+410.02,+.42923 ,+6.8676 ,+15.570 ,+14.328 ,+10.086 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+45.2   ,+12.059 ,+2.0449 ,+408.98,+.43200 ,+6.9120 ,+15.570 ,+14.328 ,+10.121 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+46.2   ,+12.055 ,+2.0421 ,+408.42,+.42992 ,+6.8787 ,+15.570 ,+14.346 ,+10.156 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+47.2   ,+12.001 ,+2.0407 ,+408.15,+.43269 ,+6.9231 ,+15.570 ,+14.363 ,+10.190 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+48.2   ,+11.935 ,+2.0484 ,+409.67,+.43547 ,+6.9675 ,+15.570 ,+14.363 ,+10.190 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+49.2   ,+11.867 ,+2.0387 ,+407.73,+.43686 ,+6.9897 ,+15.581 ,+14.375 ,+10.167 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+50.2   ,+11.905 ,+2.0449 ,+408.98,+.43477 ,+6.9564 ,+15.581 ,+14.392 ,+10.133 ,-.00344 ,-.18476
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1116.  ,+51.2   ,+12.040 ,+2.0407 ,+408.15,+.43616 ,+6.9786 ,+15.581 ,+14.409 ,+10.133 ,+0.0000 ,+0.0000
