site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+31.2   ,+11.704 ,+2.0338 ,+406.76,+.70195 ,+11.231 ,+19.073 ,+18.062 ,+19.125 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+32.2   ,+11.704 ,+2.0324 ,+406.48,+.70160 ,+11.226 ,+19.073 ,+18.097 ,+19.125 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+33.2   ,+10.935 ,+2.0331 ,+406.62,+.70126 ,+11.220 ,+19.061 ,+18.118 ,+19.112 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+34.2   ,+11.320 ,+2.1339 ,+426.78,+.72482 ,+11.597 ,+19.061 ,+18.118 ,+19.130 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+35.2   ,+11.300 ,+1.8155 ,+363.10,+.59385 ,+9.5016 ,+19.061 ,+18.118 ,+19.130 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+36.2   ,+11.523 ,+2.1360 ,+427.20,+.67285 ,+10.766 ,+19.061 ,+18.118 ,+19.130 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+37.2   ,+11.427 ,+2.0532 ,+410.64,+.63196 ,+10.111 ,+19.061 ,+18.084 ,+19.147 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+38.2   ,+11.644 ,+1.9974 ,+399.48,+.56267 ,+9.0027 ,+19.061 ,+17.998 ,+19.147 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+39.2   ,+11.613 ,+1.9790 ,+395.81,+.53530 ,+8.5647 ,+19.059 ,+17.910 ,+19.127 
MEAD,NA,NA,NA,+2022.  ,+206.   ,+1505.  ,+40.2   ,+11.468 ,+1.9860 ,+397.19,+.52941 ,+8.4705 ,+19.061 ,+17.981 ,+19.147 
