site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+50.2   ,+12.051 ,+2.0151 ,+403.02,+.46659 ,+7.4655 ,+16.790 ,+10.763 ,+11.907 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+51.2   ,+12.073 ,+2.0071 ,+401.42,+.46035 ,+7.3656 ,+16.790 ,+10.728 ,+11.907 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+52.2   ,+12.128 ,+2.0165 ,+403.29,+.47144 ,+7.5431 ,+16.802 ,+10.705 ,+11.919 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+53.2   ,+12.114 ,+2.0147 ,+402.95,+.46243 ,+7.3989 ,+16.802 ,+10.706 ,+11.884 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+54.2   ,+12.015 ,+2.0043 ,+400.87,+.45273 ,+7.2436 ,+16.802 ,+10.706 ,+11.884 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+55.2   ,+12.070 ,+2.0203 ,+404.06,+.46659 ,+7.4655 ,+16.814 ,+10.665 ,+11.896 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+56.2   ,+12.158 ,+2.0154 ,+403.09,+.46105 ,+7.3767 ,+16.814 ,+10.596 ,+11.896 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+57.2   ,+12.125 ,+2.0113 ,+402.25,+.46174 ,+7.3878 ,+16.814 ,+10.492 ,+11.896 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+58.2   ,+12.020 ,+2.0064 ,+401.28,+.46451 ,+7.4322 ,+16.814 ,+10.388 ,+11.896 
DRYAS,NA,NA,NA,+2022.  ,+207.   ,+1022.  ,+59.2   ,+12.056 ,+2.0099 ,+401.98,+.45897 ,+7.3434 ,+16.814 ,+10.249 ,+11.896 
