site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+14.2   ,+11.891 ,+1.9887 ,+397.75,+.84920 ,+13.587 ,+19.913 ,+41.821 ,-70.817 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+15.2   ,+11.883 ,+1.9832 ,+396.64,+.84885 ,+13.582 ,+19.913 ,+42.168 ,-69.881 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+16.2   ,+11.883 ,+1.9846 ,+396.92,+.84920 ,+13.587 ,+19.913 ,+41.423 ,-68.782 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+17.2   ,+11.948 ,+1.9818 ,+396.36,+.84955 ,+13.593 ,+19.913 ,+41.456 ,-69.196 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+18.2   ,+11.948 ,+1.9818 ,+396.36,+.84955 ,+13.593 ,+19.913 ,+41.241 ,-69.881 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+19.2   ,+11.948 ,+1.9790 ,+395.81,+.85024 ,+13.604 ,+19.913 ,+40.578 ,-70.110 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+20.2   ,+11.948 ,+1.9835 ,+396.71,+.84989 ,+13.598 ,+19.926 ,+40.706 ,-68.105 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+21.2   ,+11.946 ,+1.9874 ,+397.47,+.84920 ,+13.587 ,+19.926 ,+39.827 ,-69.928 ,-.00343 ,-.18464
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+22.2   ,+11.946 ,+1.9846 ,+396.92,+.84955 ,+13.593 ,+19.926 ,+40.806 ,-70.053 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+23.2   ,+11.946 ,+1.9839 ,+396.78,+.84885 ,+13.582 ,+19.926 ,+40.773 ,-71.447 ,+0.0000 ,+0.0000
DRYAS,NA,NA,NA,+120.0  ,+2022.  ,+207.   ,+1210.  ,+24.2   ,+11.943 ,+1.9867 ,+397.33,+.84885 ,+13.582 ,+19.926 ,+39.694 ,-69.907 ,+0.0000 ,+0.0000
