site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+41.2   ,+11.795 ,+2.0203 ,+404.05,+.46635 ,+7.4616 ,+19.608 ,+17.912 ,+15.540 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+42.2   ,+11.877 ,+2.0605 ,+412.09,+.47744 ,+7.6390 ,+19.608 ,+17.912 ,+15.540 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+43.2   ,+11.863 ,+2.1623 ,+432.46,+.48575 ,+7.7720 ,+19.608 ,+17.946 ,+15.575 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+44.2   ,+11.877 ,+2.1689 ,+433.78,+.48298 ,+7.7277 ,+19.596 ,+17.934 ,+15.579 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+45.2   ,+11.797 ,+2.1072 ,+421.45,+.48229 ,+7.7166 ,+19.596 ,+17.934 ,+15.614 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+46.2   ,+11.789 ,+2.0684 ,+413.69,+.48540 ,+7.7665 ,+19.596 ,+17.934 ,+15.614 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+47.2   ,+11.979 ,+2.0497 ,+409.94,+.48229 ,+7.7166 ,+19.596 ,+17.968 ,+15.614 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+48.2   ,+11.891 ,+2.0320 ,+406.41,+.49684 ,+7.9494 ,+19.596 ,+18.002 ,+15.631 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+49.2   ,+11.808 ,+2.0234 ,+404.68,+.49961 ,+7.9938 ,+19.583 ,+18.024 ,+15.687 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+50.2   ,+11.789 ,+2.0185 ,+403.71,+.50238 ,+8.0381 ,+19.583 ,+17.990 ,+15.756 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1158.  ,+51.2   ,+11.907 ,+2.0185 ,+403.71,+.49753 ,+7.9605 ,+19.583 ,+17.921 ,+15.808 
