"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
1,07/15/22 02:30:00  PM,19.472,904.2,,,,
2,07/15/22 02:30:30  PM,19.377,904.2,,,,
3,07/15/22 02:31:00  PM,19.282,1022.6,,,,
4,07/15/22 02:31:30  PM,19.282,785.8,,,,
5,07/15/22 02:32:00  PM,19.187,828.8,,,,
6,07/15/22 02:32:30  PM,19.187,785.8,,,,
7,07/15/22 02:33:00  PM,19.092,1377.8,,,,
8,07/15/22 02:33:30  PM,19.092,1280.9,,,,
9,07/15/22 02:34:00  PM,18.996,1248.6,,,,
10,07/15/22 02:34:30  PM,18.996,1345.5,,,,
11,07/15/22 02:35:00  PM,18.996,1216.3,,,,
12,07/15/22 02:35:30  PM,18.996,1377.8,,,,
13,07/15/22 02:36:00  PM,19.092,4650.0,,,,
14,07/15/22 02:36:30  PM,19.187,4305.6,,,,
15,07/15/22 02:37:00  PM,19.282,10.8,,,,
16,07/15/22 02:37:30  PM,19.472,1259.4,,,,
17,07/15/22 02:38:00  PM,19.662,1291.7,,,,
18,07/15/22 02:38:30  PM,19.758,1194.8,,,,
19,07/15/22 02:39:00  PM,19.758,947.2,,,,
20,07/15/22 02:39:30  PM,19.758,2066.7,,,,
21,07/15/22 02:40:00  PM,19.758,1894.5,,,,
22,07/15/22 02:40:30  PM,19.662,1894.5,,,,
23,07/15/22 02:41:00  PM,19.662,2238.9,,,,
24,07/15/22 02:41:30  PM,19.567,1808.3,,,,
25,07/15/22 02:42:00  PM,19.567,1808.3,,,,
26,07/15/22 02:42:30  PM,19.472,1894.5,,,,
27,07/15/22 02:43:00  PM,19.472,1980.6,,,,
28,07/15/22 02:43:30  PM,19.377,1894.5,,,,
29,07/15/22 02:44:00  PM,19.377,1894.5,,,,
30,07/15/22 02:44:30  PM,19.282,1636.1,,,,
31,07/15/22 02:45:00  PM,19.948,115734.1,,,,
32,07/15/22 02:45:30  PM,20.043,115734.1,,,,
33,07/15/22 02:46:00  PM,19.948,115734.1,,,,
34,07/15/22 02:46:30  PM,19.853,115734.1,,,,
35,07/15/22 02:47:00  PM,19.472,115734.1,,,,
36,07/15/22 02:47:30  PM,18.901,115734.1,,,,
37,07/15/22 02:48:00  PM,17.665,462.9,,,,
38,07/15/22 02:48:30  PM,17.284,355.2,,,,
39,07/15/22 02:49:00  PM,17.094,344.4,,,,
40,07/15/22 02:49:30  PM,16.999,452.1,,,,
41,07/15/22 02:50:00  PM,16.903,161.5,,,,
42,07/15/22 02:50:30  PM,16.999,193.8,,,,
43,07/15/22 02:51:00  PM,17.094,183.0,,,,
44,07/15/22 02:51:30  PM,17.189,183.0,,,,
45,07/15/22 02:52:00  PM,17.284,161.5,,,,
46,07/15/22 02:52:30  PM,17.379,183.0,,,,
47,07/15/22 02:53:00  PM,17.379,150.7,,,,
48,07/15/22 02:53:30  PM,17.475,183.0,,,,
49,07/15/22 02:54:00  PM,17.570,204.5,,,,
50,07/15/22 02:54:30  PM,17.665,75.3,,,,
51,07/15/22 02:55:00  PM,17.760,193.8,,,,
52,07/15/22 02:55:30  PM,17.855,215.3,,,,
53,07/15/22 02:56:00  PM,17.950,226.0,,,,
54,07/15/22 02:56:30  PM,18.711,110223.0,,,,
55,07/15/22 02:57:00  PM,20.234,110223.0,,,,
56,07/15/22 02:57:30  PM,20.805,110223.0,,,,
57,07/15/22 02:58:00  PM,21.187,110223.0,,,,
58,07/15/22 02:58:30  PM,19.853,247.6,,,,
59,07/15/22 02:59:00  PM,19.282,193.8,,,,
60,07/15/22 02:59:30  PM,18.901,215.3,,,,
61,07/15/22 03:00:00  PM,18.806,0.0,,,,
62,07/15/22 03:00:30  PM,18.521,0.0,,,,
63,07/15/22 03:01:00  PM,18.331,0.0,,,,
64,07/15/22 03:01:30  PM,18.331,0.0,,,,
65,07/15/22 03:02:00  PM,18.331,0.0,,,,
66,07/15/22 03:02:30  PM,18.616,96.9,,,,
67,07/15/22 03:03:00  PM,18.616,236.8,,,,
68,07/15/22 03:03:30  PM,18.806,172.2,,,,
69,07/15/22 03:04:00  PM,18.901,150.7,,,,
70,07/15/22 03:04:30  PM,18.996,107.6,,,,
71,07/15/22 03:05:00  PM,19.092,226.0,,,,
72,07/15/22 03:05:30  PM,19.282,473.6,,,,
