"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
1,07/09/22 10:00:00  AM,21.091,1636.1,,,,
2,07/09/22 10:00:30  AM,21.187,1808.3,,,,
3,07/09/22 10:01:00  AM,21.282,2755.6,,,,
4,07/09/22 10:01:30  AM,21.282,269.1,,,,
5,07/09/22 10:02:00  AM,21.282,366.0,,,,
6,07/09/22 10:02:30  AM,21.378,269.1,,,,
7,07/09/22 10:03:00  AM,21.378,4477.8,,,,
8,07/09/22 10:03:30  AM,21.473,1894.5,,,,
9,07/09/22 10:04:00  AM,21.569,5166.7,,,,
10,07/09/22 10:04:30  AM,21.664,6200.0,,,,
11,07/09/22 10:05:00  AM,21.664,1550.0,,,,
12,07/09/22 10:05:30  AM,21.664,1808.3,,,,
13,07/09/22 10:06:00  AM,21.664,1808.3,,,,
14,07/09/22 10:06:30  AM,21.664,2669.5,,,,
15,07/09/22 10:07:00  AM,21.569,1173.3,,,,
16,07/09/22 10:07:30  AM,21.473,1980.6,,,,
17,07/09/22 10:08:00  AM,21.473,2755.6,,,,
18,07/09/22 10:08:30  AM,21.378,2755.6,,,,
19,07/09/22 10:09:00  AM,21.378,2152.8,,,,
20,07/09/22 10:09:30  AM,21.282,1808.3,,,,
21,07/09/22 10:10:00  AM,21.187,2497.2,,,,
22,07/09/22 10:10:30  AM,21.187,1550.0,,,,
23,07/09/22 10:11:00  AM,21.187,1550.0,,,,
24,07/09/22 10:11:30  AM,21.187,5338.9,,,,
25,07/09/22 10:12:00  AM,21.282,4650.0,,,,
26,07/09/22 10:12:30  AM,21.282,1894.5,,,,
27,07/09/22 10:13:00  AM,21.282,1894.5,,,,
28,07/09/22 10:13:30  AM,21.091,1894.5,,,,
29,07/09/22 10:14:00  AM,20.996,5338.9,,,,
30,07/09/22 10:14:30  AM,20.996,5166.7,,,,
31,07/09/22 10:15:00  AM,21.091,2066.7,,,,
32,07/09/22 10:15:30  AM,21.091,2066.7,,,,
33,07/09/22 10:16:00  AM,20.996,1894.5,,,,
34,07/09/22 10:16:30  AM,20.996,1894.5,,,,
35,07/09/22 10:17:00  AM,20.901,1894.5,,,,
36,07/09/22 10:17:30  AM,20.805,1722.2,,,,
37,07/09/22 10:18:00  AM,20.901,1894.5,,,,
38,07/09/22 10:18:30  AM,20.901,3616.7,,,,
39,07/09/22 10:19:00  AM,20.996,1980.6,,,,
40,07/09/22 10:19:30  AM,20.996,1980.6,,,,
41,07/09/22 10:20:00  AM,20.901,1894.5,,,,
42,07/09/22 10:20:30  AM,20.805,2238.9,,,,
43,07/09/22 10:21:00  AM,20.519,5166.7,,,,
44,07/09/22 10:21:30  AM,20.234,1550.0,,,,
45,07/09/22 10:22:00  AM,20.043,1463.9,,,,
46,07/09/22 10:22:30  AM,19.758,1463.9,,,,
47,07/09/22 10:23:00  AM,19.662,1808.3,,,,
48,07/09/22 10:23:30  AM,19.567,1636.1,,,,
49,07/09/22 10:24:00  AM,19.472,1722.2,,,,
50,07/09/22 10:24:30  AM,19.282,1636.1,,,,
51,07/09/22 10:25:00  AM,19.662,82667.2,,,,
52,07/09/22 10:25:30  AM,19.758,110223.0,,,,
53,07/09/22 10:26:00  AM,19.567,115734.1,,,,
54,07/09/22 10:26:30  AM,19.472,143289.8,,,,
55,07/09/22 10:27:00  AM,19.377,115734.1,,,,
56,07/09/22 10:27:30  AM,18.426,1237.9,,,,
57,07/09/22 10:28:00  AM,18.426,1722.2,,,,
58,07/09/22 10:28:30  AM,18.616,1636.1,,,,
59,07/09/22 10:29:00  AM,18.711,0.0,,,,
60,07/09/22 10:29:30  AM,18.521,0.0,,,,
61,07/09/22 10:30:00  AM,18.426,0.0,,,,
62,07/09/22 10:30:30  AM,18.331,0.0,,,,
63,07/09/22 10:31:00  AM,18.616,2066.7,,,,
64,07/09/22 10:31:30  AM,18.236,2238.9,,,,
65,07/09/22 10:32:00  AM,18.045,5338.9,,,,
66,07/09/22 10:32:30  AM,17.950,1130.2,,,,
