"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9860465, SEN S/N: 9860465, LBL: on IRGA chamber)","Intensity, Lux (LGR S/N: 9860465, SEN S/N: 9860465, LBL: on IRGA chamber)","Good Battery (LGR S/N: 9860465)","End Of File (LGR S/N: 9860465)"
1,07/01/22 10:40:00  AM,28.853,1270.1,Logged,
2,07/01/22 10:40:30  AM,28.754,1270.1,,
3,07/01/22 10:41:00  AM,28.655,1980.6,,
4,07/01/22 10:41:30  AM,28.555,1894.5,,
5,07/01/22 10:42:00  AM,28.456,958.0,,
6,07/01/22 10:42:30  AM,28.357,968.8,,
7,07/01/22 10:43:00  AM,28.159,753.5,,
8,07/01/22 10:43:30  AM,27.862,570.5,,
9,07/01/22 10:44:00  AM,27.665,570.5,,
10,07/01/22 10:44:30  AM,27.468,538.2,,
11,07/01/22 10:45:00  AM,27.272,32.3,,
12,07/01/22 10:45:30  AM,27.075,1087.2,,
13,07/01/22 10:46:00  AM,26.879,958.0,,
14,07/01/22 10:46:30  AM,26.781,1194.8,,
15,07/01/22 10:47:00  AM,26.781,1227.1,,
16,07/01/22 10:47:30  AM,26.781,710.4,,
17,07/01/22 10:48:00  AM,26.781,1087.2,,
18,07/01/22 10:48:30  AM,26.879,710.4,,
19,07/01/22 10:49:00  AM,26.781,516.7,,
20,07/01/22 10:49:30  AM,26.683,452.1,,
21,07/01/22 10:50:00  AM,26.781,74400.5,,
22,07/01/22 10:50:30  AM,26.000,77156.1,,
23,07/01/22 10:51:00  AM,24.545,74400.5,,
24,07/01/22 10:51:30  AM,23.292,71644.9,,
25,07/01/22 10:52:00  AM,22.333,71644.9,,
26,07/01/22 10:52:30  AM,20.996,21.5,,
27,07/01/22 10:53:00  AM,20.615,32.3,,
28,07/01/22 10:53:30  AM,20.805,0.0,,
29,07/01/22 10:54:00  AM,21.282,247.6,,
30,07/01/22 10:54:30  AM,22.046,150.7,,
31,07/01/22 10:55:00  AM,22.621,32.3,,
32,07/01/22 10:55:30  AM,22.908,53.8,,
33,07/01/22 10:56:00  AM,23.196,0.0,,
34,07/01/22 10:56:30  AM,23.581,344.4,,
35,07/01/22 10:57:00  AM,23.773,21.5,,
36,07/01/22 10:57:30  AM,23.869,279.9,,
37,07/01/22 10:58:00  AM,23.966,183.0,,
38,07/01/22 10:58:30  AM,24.255,409.0,,
39,07/01/22 10:59:00  AM,24.448,258.3,,
40,07/01/22 10:59:30  AM,24.641,0.0,,
41,07/01/22 11:00:00  AM,25.028,0.0,,
42,07/01/22 11:00:30  AM,25.222,290.6,,
43,07/01/22 11:01:00  AM,25.125,312.2,,
44,07/01/22 11:01:30  AM,25.513,44089.2,,
45,07/01/22 11:02:00  AM,25.513,55111.5,,
46,07/01/22 11:02:30  AM,24.158,55111.5,,
47,07/01/22 11:03:00  AM,23.004,55111.5,,
48,07/01/22 11:03:30  AM,21.855,55111.5,,
49,07/01/22 11:04:00  AM,20.519,1237.9,,
50,07/01/22 11:04:30  AM,19.187,21.5,,
51,07/01/22 11:05:00  AM,18.996,21.5,,
52,07/01/22 11:05:30  AM,19.092,0.0,,
53,07/01/22 11:06:00  AM,19.377,0.0,,
54,07/01/22 11:06:30  AM,19.662,0.0,,
55,07/01/22 11:07:00  AM,19.948,0.0,,
56,07/01/22 11:07:30  AM,20.329,0.0,,
57,07/01/22 11:08:00  AM,20.615,0.0,,
58,07/01/22 11:08:30  AM,20.996,32.3,,
59,07/01/22 11:09:00  AM,21.282,32.3,,
60,07/01/22 11:09:30  AM,21.473,32.3,,
61,07/01/22 11:10:00  AM,21.664,10.8,,
62,07/01/22 11:10:30  AM,21.760,10.8,,
