"Plot Title: MEAD_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
1,07/14/22 03:30:00  PM,17.950,1001.0,,,,
2,07/14/22 03:30:30  PM,17.950,1054.9,,,,
3,07/14/22 03:31:00  PM,17.855,914.9,,,,
4,07/14/22 03:31:30  PM,17.665,1280.9,,,,
5,07/14/22 03:32:00  PM,17.570,10.8,,,,
6,07/14/22 03:32:30  PM,17.475,925.7,,,,
7,07/14/22 03:33:00  PM,17.379,172.2,,,,
8,07/14/22 03:33:30  PM,17.284,21.5,,,,
9,07/14/22 03:34:00  PM,17.284,53.8,,,,
10,07/14/22 03:34:30  PM,17.284,10.8,,,,
11,07/14/22 03:35:00  PM,17.379,850.4,,,,
12,07/14/22 03:35:30  PM,17.379,452.1,,,,
13,07/14/22 03:36:00  PM,17.379,656.6,,,,
14,07/14/22 03:36:30  PM,17.284,1270.1,,,,
15,07/14/22 03:37:00  PM,17.189,861.1,,,,
16,07/14/22 03:37:30  PM,17.094,979.5,,,,
17,07/14/22 03:38:00  PM,16.999,1130.2,,,,
18,07/14/22 03:38:30  PM,16.903,1463.9,,,,
19,07/14/22 03:39:00  PM,16.808,818.1,,,,
20,07/14/22 03:39:30  PM,16.713,785.8,,,,
21,07/14/22 03:40:00  PM,16.713,904.2,,,,
22,07/14/22 03:40:30  PM,16.618,893.4,,,,
23,07/14/22 03:41:00  PM,16.523,1205.6,,,,
24,07/14/22 03:41:30  PM,16.427,559.7,,,,
25,07/14/22 03:42:00  PM,16.427,1173.3,,,,
26,07/14/22 03:42:30  PM,16.427,893.4,,,,
27,07/14/22 03:43:00  PM,16.427,1550.0,,,,
28,07/14/22 03:43:30  PM,16.427,1636.1,,,,
29,07/14/22 03:44:00  PM,16.523,721.2,,,,
30,07/14/22 03:44:30  PM,16.427,914.9,,,,
31,07/14/22 03:45:00  PM,16.427,1550.0,,,,
32,07/14/22 03:45:30  PM,16.427,1463.9,,,,
33,07/14/22 03:46:00  PM,16.332,936.5,,,,
34,07/14/22 03:46:30  PM,16.332,1130.2,,,,
35,07/14/22 03:47:00  PM,16.332,721.2,,,,
36,07/14/22 03:47:30  PM,16.332,1001.0,,,,
37,07/14/22 03:48:00  PM,16.332,1054.9,,,,
38,07/14/22 03:48:30  PM,16.332,796.5,,,,
39,07/14/22 03:49:00  PM,16.332,527.4,,,,
40,07/14/22 03:49:30  PM,16.332,1334.7,,,,
41,07/14/22 03:50:00  PM,16.332,1463.9,,,,
42,07/14/22 03:50:30  PM,16.237,1130.2,,,,
43,07/14/22 03:51:00  PM,16.237,1356.3,,,,
44,07/14/22 03:51:30  PM,16.141,1141.0,,,,
45,07/14/22 03:52:00  PM,16.141,333.7,,,,
46,07/14/22 03:52:30  PM,16.141,1173.3,,,,
47,07/14/22 03:53:00  PM,16.141,150.7,,,,
48,07/14/22 03:53:30  PM,16.237,279.9,,,,
49,07/14/22 03:54:00  PM,16.237,1151.7,,,,
50,07/14/22 03:54:30  PM,16.141,1162.5,,,,
51,07/14/22 03:55:00  PM,16.141,322.9,,,,
52,07/14/22 03:55:30  PM,16.141,979.5,,,,
53,07/14/22 03:56:00  PM,16.332,38578.0,,,,
54,07/14/22 03:56:30  PM,15.569,41333.6,,,,
55,07/14/22 03:57:00  PM,14.517,42711.4,,,,
56,07/14/22 03:57:30  PM,13.750,42711.4,,,,
57,07/14/22 03:58:00  PM,13.076,42711.4,,,,
58,07/14/22 03:58:30  PM,12.304,1722.2,,,,
59,07/14/22 03:59:00  PM,12.013,1065.6,,,,
60,07/14/22 03:59:30  PM,12.013,2152.8,,,,
61,07/14/22 04:00:00  PM,12.013,2066.7,,,,
62,07/14/22 04:00:30  PM,11.916,0.0,,,,
63,07/14/22 04:01:00  PM,11.625,0.0,,,,
64,07/14/22 04:01:30  PM,11.431,0.0,,,,
65,07/14/22 04:02:00  PM,11.236,0.0,,,,
66,07/14/22 04:02:30  PM,11.139,37200.2,,,,
67,07/14/22 04:03:00  PM,10.944,366.0,,,,
68,07/14/22 04:03:30  PM,10.944,312.2,,,,
69,07/14/22 04:04:00  PM,10.944,344.4,,,,
70,07/14/22 04:04:30  PM,11.041,430.6,,,,
71,07/14/22 04:05:00  PM,11.139,301.4,,,,
72,07/14/22 04:05:30  PM,11.139,86.1,,,,
73,07/14/22 04:06:00  PM,11.334,344.4,,,,
74,07/14/22 04:06:30  PM,11.431,344.4,,,,
75,07/14/22 04:07:00  PM,11.625,344.4,,,,
76,07/14/22 04:07:30  PM,11.722,430.6,,,,
77,07/14/22 04:08:00  PM,12.110,38578.0,,,,
78,07/14/22 04:08:30  PM,11.819,39955.8,,,,
79,07/14/22 04:09:00  PM,11.431,41333.6,,,,
