"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
1,07/25/22 10:30:00  AM,27.961,236.8,,,,
2,07/25/22 10:30:30  AM,27.961,226.0,,,,
3,07/25/22 10:31:00  AM,27.862,269.1,,,,
4,07/25/22 10:31:30  AM,27.665,0.0,,,,
5,07/25/22 10:32:00  AM,27.567,344.4,,,,
6,07/25/22 10:32:30  AM,27.468,0.0,,,,
7,07/25/22 10:33:00  AM,27.370,21.5,,,,
8,07/25/22 10:33:30  AM,27.272,204.5,,,,
9,07/25/22 10:34:00  AM,27.173,247.6,,,,
10,07/25/22 10:34:30  AM,27.075,129.2,,,,
11,07/25/22 10:35:00  AM,27.075,172.2,,,,
12,07/25/22 10:35:30  AM,26.977,236.8,,,,
13,07/25/22 10:36:00  AM,26.977,2325.0,,,,
14,07/25/22 10:36:30  AM,26.977,172.2,,,,
15,07/25/22 10:37:00  AM,26.977,236.8,,,,
16,07/25/22 10:37:30  AM,26.879,204.5,,,,
17,07/25/22 10:38:00  AM,26.781,247.6,,,,
18,07/25/22 10:38:30  AM,26.683,721.2,,,,
19,07/25/22 10:39:00  AM,26.683,75.3,,,,
20,07/25/22 10:39:30  AM,26.683,688.9,,,,
21,07/25/22 10:40:00  AM,26.781,667.4,,,,
22,07/25/22 10:40:30  AM,26.683,1894.5,,,,
23,07/25/22 10:41:00  AM,26.683,107.6,,,,
24,07/25/22 10:41:30  AM,26.683,1808.3,,,,
25,07/25/22 10:42:00  AM,26.390,1980.6,,,,
26,07/25/22 10:42:30  AM,25.805,2152.8,,,,
27,07/25/22 10:43:00  AM,25.222,3100.0,,,,
28,07/25/22 10:43:30  AM,24.641,3272.2,,,,
29,07/25/22 10:44:00  AM,24.062,3616.7,,,,
30,07/25/22 10:44:30  AM,23.484,2669.5,,,,
31,07/25/22 10:45:00  AM,23.100,4822.3,,,,
32,07/25/22 10:45:30  AM,22.621,5166.7,,,,
33,07/25/22 10:46:00  AM,22.333,3788.9,,,,
34,07/25/22 10:46:30  AM,22.429,34444.7,,,,
35,07/25/22 10:47:00  AM,22.525,17911.2,,,,
36,07/25/22 10:47:30  AM,22.621,24800.2,,,,
37,07/25/22 10:48:00  AM,22.621,2583.4,,,,
38,07/25/22 10:48:30  AM,22.525,31689.1,,,,
39,07/25/22 10:49:00  AM,22.429,37200.2,,,,
40,07/25/22 10:49:30  AM,22.621,24800.2,,,,
41,07/25/22 10:50:00  AM,22.908,23422.4,,,,
42,07/25/22 10:50:30  AM,23.004,0.0,,,,
43,07/25/22 10:51:00  AM,23.100,0.0,,,,
44,07/25/22 10:51:30  AM,23.292,0.0,,,,
45,07/25/22 10:52:00  AM,23.581,3444.5,,,,
46,07/25/22 10:52:30  AM,23.677,3444.5,,,,
47,07/25/22 10:53:00  AM,23.388,5511.1,,,,
48,07/25/22 10:53:30  AM,23.100,1808.3,,,,
49,07/25/22 10:54:00  AM,22.621,2927.8,,,,
50,07/25/22 10:54:30  AM,24.255,121245.2,,,,
51,07/25/22 10:55:00  AM,24.545,121245.2,,,,
52,07/25/22 10:55:30  AM,24.545,121245.2,,,,
53,07/25/22 10:56:00  AM,24.351,121245.2,,,,
54,07/25/22 10:56:30  AM,22.525,1377.8,,,,
55,07/25/22 10:57:00  AM,21.473,1313.2,,,,
56,07/25/22 10:57:30  AM,20.615,1636.1,,,,
57,07/25/22 10:58:00  AM,19.948,10.8,,,,
58,07/25/22 10:58:30  AM,19.472,10.8,,,,
59,07/25/22 10:59:00  AM,19.092,10.8,,,,
60,07/25/22 10:59:30  AM,18.901,10.8,,,,
