"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Good Battery (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
1,07/07/22 04:00:00  PM,23.004,279.9,Logged,,,,
2,07/07/22 04:00:30  PM,23.004,258.3,,,,,
3,07/07/22 04:01:00  PM,22.908,258.3,,,,,
4,07/07/22 04:01:30  PM,22.908,226.0,,,,,
5,07/07/22 04:02:00  PM,22.812,215.3,,,,,
6,07/07/22 04:02:30  PM,22.621,226.0,,,,,
7,07/07/22 04:03:00  PM,22.621,226.0,,,,,
8,07/07/22 04:03:30  PM,22.525,183.0,,,,,
9,07/07/22 04:04:00  PM,22.717,1894.5,,,,,
10,07/07/22 04:04:30  PM,23.100,1463.9,,,,,
11,07/07/22 04:05:00  PM,23.292,215.3,,,,,
12,07/07/22 04:05:30  PM,23.292,226.0,,,,,
13,07/07/22 04:06:00  PM,23.292,236.8,,,,,
14,07/07/22 04:06:30  PM,23.292,312.2,,,,,
15,07/07/22 04:07:00  PM,23.292,258.3,,,,,
16,07/07/22 04:07:30  PM,23.292,226.0,,,,,
17,07/07/22 04:08:00  PM,23.196,1463.9,,,,,
18,07/07/22 04:08:30  PM,23.292,1463.9,,,,,
19,07/07/22 04:09:00  PM,23.484,247.6,,,,,
20,07/07/22 04:09:30  PM,23.581,441.3,,,,,
21,07/07/22 04:10:00  PM,23.581,409.0,,,,,
22,07/07/22 04:10:30  PM,23.484,247.6,,,,,
23,07/07/22 04:11:00  PM,23.292,279.9,,,,,
24,07/07/22 04:11:30  PM,23.196,1722.2,,,,,
25,07/07/22 04:12:00  PM,23.196,269.1,,,,,
26,07/07/22 04:12:30  PM,23.196,247.6,,,,,
27,07/07/22 04:13:00  PM,23.100,226.0,,,,,
28,07/07/22 04:13:30  PM,22.908,258.3,,,,,
29,07/07/22 04:14:00  PM,22.812,559.7,,,,,
30,07/07/22 04:14:30  PM,22.812,301.4,,,,,
31,07/07/22 04:15:00  PM,22.812,279.9,,,,,
32,07/07/22 04:15:30  PM,22.717,226.0,,,,,
33,07/07/22 04:16:00  PM,22.621,183.0,,,,,
34,07/07/22 04:16:30  PM,22.717,258.3,,,,,
35,07/07/22 04:17:00  PM,22.812,183.0,,,,,
36,07/07/22 04:17:30  PM,22.812,258.3,,,,,
37,07/07/22 04:18:00  PM,22.717,258.3,,,,,
38,07/07/22 04:18:30  PM,22.717,258.3,,,,,
39,07/07/22 04:19:00  PM,22.621,236.8,,,,,
40,07/07/22 04:19:30  PM,22.429,344.4,,,,,
41,07/07/22 04:20:00  PM,22.333,312.2,,,,,
42,07/07/22 04:20:30  PM,22.142,279.9,,,,,
43,07/07/22 04:21:00  PM,21.951,269.1,,,,,
44,07/07/22 04:21:30  PM,21.760,193.8,,,,,
45,07/07/22 04:22:00  PM,21.569,183.0,,,,,
46,07/07/22 04:22:30  PM,21.473,183.0,,,,,
47,07/07/22 04:23:00  PM,21.473,193.8,,,,,
48,07/07/22 04:23:30  PM,21.473,193.8,,,,,
49,07/07/22 04:24:00  PM,21.473,269.1,,,,,
50,07/07/22 04:24:30  PM,21.569,635.1,,,,,
51,07/07/22 04:25:00  PM,21.664,215.3,,,,,
52,07/07/22 04:25:30  PM,21.855,204.5,,,,,
53,07/07/22 04:26:00  PM,21.855,193.8,,,,,
54,07/07/22 04:26:30  PM,21.760,226.0,,,,,
55,07/07/22 04:27:00  PM,21.760,215.3,,,,,
56,07/07/22 04:27:30  PM,21.664,366.0,,,,,
57,07/07/22 04:28:00  PM,21.760,226.0,,,,,
58,07/07/22 04:28:30  PM,21.951,204.5,,,,,
59,07/07/22 04:29:00  PM,21.951,344.4,,,,,
60,07/07/22 04:29:30  PM,22.142,2238.9,,,,,
61,07/07/22 04:30:00  PM,22.142,226.0,,,,,
62,07/07/22 04:30:30  PM,22.525,1636.1,,,,,
63,07/07/22 04:31:00  PM,22.812,538.2,,,,,
64,07/07/22 04:31:30  PM,23.100,1334.7,,,,,
65,07/07/22 04:32:00  PM,23.484,2583.4,,,,,
66,07/07/22 04:32:30  PM,24.158,2411.1,,,,,
67,07/07/22 04:33:00  PM,25.513,57867.0,,,,,
68,07/07/22 04:33:30  PM,27.468,55111.5,,,,,
69,07/07/22 04:34:00  PM,27.567,55111.5,,,,,
70,07/07/22 04:34:30  PM,27.272,55111.5,,,,,
71,07/07/22 04:35:00  PM,26.879,55111.5,,,,,
72,07/07/22 04:35:30  PM,24.448,3444.5,,,,,
73,07/07/22 04:36:00  PM,23.869,2152.8,,,,,
74,07/07/22 04:36:30  PM,23.869,2238.9,,,,,
75,07/07/22 04:37:00  PM,24.158,1980.6,,,,,
76,07/07/22 04:37:30  PM,24.448,2497.2,,,,,
77,07/07/22 04:38:00  PM,24.835,1980.6,,,,,
78,07/07/22 04:38:30  PM,25.125,968.8,,,,,
79,07/07/22 04:39:00  PM,25.416,2669.5,,,,,
80,07/07/22 04:39:30  PM,25.708,2411.1,,,,,
81,07/07/22 04:40:00  PM,25.708,1808.3,,,,,
82,07/07/22 04:40:30  PM,26.097,1894.5,,,,,
83,07/07/22 04:41:00  PM,26.390,2669.5,,,,,
84,07/07/22 04:41:30  PM,26.585,2411.1,,,,,
85,07/07/22 04:42:00  PM,26.683,258.3,,,,,
86,07/07/22 04:42:30  PM,26.683,2066.7,,,,,
87,07/07/22 04:43:00  PM,26.781,21.5,,,,,
88,07/07/22 04:43:30  PM,26.683,1044.1,,,,,
89,07/07/22 04:44:00  PM,27.272,2411.1,,,,,
90,07/07/22 04:44:30  PM,27.665,2238.9,,,,,
91,07/07/22 04:45:00  PM,28.159,2497.2,,,,,
92,07/07/22 04:45:30  PM,28.655,57867.0,,,,,
93,07/07/22 04:46:00  PM,28.258,57867.0,,,,,
94,07/07/22 04:46:30  PM,27.370,57867.0,,,,,
95,07/07/22 04:47:00  PM,26.390,57867.0,,,,,
96,07/07/22 04:47:30  PM,25.513,57867.0,,,,,
97,07/07/22 04:48:00  PM,24.738,3100.0,,,,,
98,07/07/22 04:48:30  PM,24.738,2755.6,,,,,
99,07/07/22 04:49:00  PM,25.125,3100.0,,,,,
100,07/07/22 04:49:30  PM,25.513,1722.2,,,,,
101,07/07/22 04:50:00  PM,26.000,2927.8,,,,,
102,07/07/22 04:50:30  PM,26.195,376.7,,,,,
103,07/07/22 04:51:00  PM,26.683,2669.5,,,,,
104,07/07/22 04:51:30  PM,27.075,2755.6,,,,,
105,07/07/22 04:52:00  PM,27.468,86.1,,,,,
106,07/07/22 04:52:30  PM,27.567,204.5,,,,,
107,07/07/22 04:53:00  PM,27.567,344.4,,,,,
108,07/07/22 04:53:30  PM,27.468,3100.0,,,,,
109,07/07/22 04:54:00  PM,27.370,161.5,,,,,
110,07/07/22 04:54:30  PM,27.764,2669.5,,,,,
111,07/07/22 04:55:00  PM,28.159,2669.5,,,,,
112,07/07/22 04:55:30  PM,28.555,785.8,,,,,
113,07/07/22 04:56:00  PM,28.655,2238.9,,,,,
114,07/07/22 04:56:30  PM,28.754,2325.0,,,,,
115,07/07/22 04:57:00  PM,28.754,1808.3,,,,,
116,07/07/22 04:57:30  PM,30.963,77156.1,,,,,
