"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","End Of File (LGR S/N: 20553056)"
1,07/11/22 10:00:00  AM,21.855,28933.5,
2,07/11/22 10:00:30  AM,22.717,19977.9,
3,07/11/22 10:01:00  AM,23.581,23422.4,
4,07/11/22 10:01:30  AM,23.966,28933.5,
5,07/11/22 10:02:00  AM,24.062,30311.3,
6,07/11/22 10:02:30  AM,24.351,5166.7,
7,07/11/22 10:03:00  AM,24.931,12400.1,
8,07/11/22 10:03:30  AM,25.902,31689.1,
9,07/11/22 10:04:00  AM,26.390,34444.7,
10,07/11/22 10:04:30  AM,26.292,12400.1,
11,07/11/22 10:05:00  AM,26.390,6200.0,
12,07/11/22 10:05:30  AM,26.879,17911.2,
13,07/11/22 10:06:00  AM,26.977,18600.1,
14,07/11/22 10:06:30  AM,26.781,11711.2,
15,07/11/22 10:07:00  AM,27.075,18600.1,
16,07/11/22 10:07:30  AM,26.781,19289.0,
17,07/11/22 10:08:00  AM,26.585,3961.1,
18,07/11/22 10:08:30  AM,26.488,6200.0,
19,07/11/22 10:09:00  AM,26.390,14466.8,
20,07/11/22 10:09:30  AM,26.195,14466.8,
21,07/11/22 10:10:00  AM,26.000,441.3,
22,07/11/22 10:10:30  AM,23.966,312.2,
23,07/11/22 10:11:00  AM,23.004,312.2,
24,07/11/22 10:11:30  AM,22.238,409.0,
25,07/11/22 10:12:00  AM,21.760,409.0,
26,07/11/22 10:12:30  AM,21.378,473.6,
27,07/11/22 10:13:00  AM,20.996,419.8,
28,07/11/22 10:13:30  AM,20.615,452.1,
29,07/11/22 10:14:00  AM,20.329,290.6,
30,07/11/22 10:14:30  AM,20.234,409.0,
31,07/11/22 10:15:00  AM,20.138,398.3,
32,07/11/22 10:15:30  AM,20.043,96.9,
33,07/11/22 10:16:00  AM,19.853,193.8,
34,07/11/22 10:16:30  AM,19.853,183.0,
35,07/11/22 10:17:00  AM,19.853,290.6,
36,07/11/22 10:17:30  AM,19.948,344.4,
37,07/11/22 10:18:00  AM,19.948,269.1,
