"Plot Title: DRYAS_11T_Backup"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740237, SEN S/N: 9740237, LBL: If 11T resets and fails.)","Coupler Attached (LGR S/N: 9740237)","Coupler Detached (LGR S/N: 9740237)","Host Connected (LGR S/N: 9740237)","Stopped (LGR S/N: 9740237)","End Of File (LGR S/N: 9740237)"
1,07/03/22 03:30:00  PM,7.782,,,,,
2,07/03/22 03:45:00  PM,5.347,,,,,
3,07/03/22 04:00:00  PM,5.450,,,,,
4,07/03/22 04:15:00  PM,5.450,,,,,
5,07/03/22 04:30:00  PM,4.934,,,,,
6,07/03/22 04:45:00  PM,5.037,,,,,
7,07/03/22 05:00:00  PM,5.244,,,,,
8,07/03/22 05:15:00  PM,5.244,,,,,
9,07/03/22 05:30:00  PM,4.415,,,,,
10,07/03/22 05:45:00  PM,4.727,,,,,
11,07/03/22 06:00:00  PM,4.623,,,,,
12,07/03/22 06:15:00  PM,3.998,,,,,
13,07/03/22 06:30:00  PM,4.311,,,,,
14,07/03/22 06:45:00  PM,5.037,,,,,
15,07/03/22 07:00:00  PM,5.141,,,,,
16,07/03/22 07:15:00  PM,5.141,,,,,
17,07/03/22 07:30:00  PM,5.244,,,,,
18,07/03/22 07:45:00  PM,4.727,,,,,
19,07/03/22 08:00:00  PM,4.207,,,,,
20,07/03/22 08:15:00  PM,4.102,,,,,
21,07/03/22 08:30:00  PM,4.311,,,,,
22,07/03/22 08:45:00  PM,3.998,,,,,
23,07/03/22 09:00:00  PM,3.683,,,,,
24,07/03/22 09:15:00  PM,3.683,,,,,
25,07/03/22 09:30:00  PM,3.155,,,,,
26,07/03/22 09:45:00  PM,3.367,,,,,
27,07/03/22 10:00:00  PM,2.730,,,,,
28,07/03/22 10:15:00  PM,3.261,,,,,
29,07/03/22 10:30:00  PM,2.410,,,,,
30,07/03/22 10:45:00  PM,2.088,,,,,
31,07/03/22 11:00:00  PM,2.088,,,,,
32,07/03/22 11:15:00  PM,2.517,,,,,
33,07/03/22 11:30:00  PM,2.943,,,,,
34,07/03/22 11:45:00  PM,2.624,,,,,
35,07/04/22 12:00:00  AM,2.517,,,,,
36,07/04/22 12:15:00  AM,2.517,,,,,
37,07/04/22 12:30:00  AM,2.943,,,,,
38,07/04/22 12:45:00  AM,3.367,,,,,
39,07/04/22 01:00:00  AM,3.683,,,,,
40,07/04/22 01:15:00  AM,3.472,,,,,
41,07/04/22 01:30:00  AM,3.367,,,,,
42,07/04/22 01:45:00  AM,3.472,,,,,
43,07/04/22 02:00:00  AM,3.893,,,,,
44,07/04/22 02:15:00  AM,4.727,,,,,
45,07/04/22 02:30:00  AM,4.415,,,,,
46,07/04/22 02:45:00  AM,4.102,,,,,
47,07/04/22 03:00:00  AM,3.998,,,,,
48,07/04/22 03:15:00  AM,3.788,,,,,
49,07/04/22 03:30:00  AM,3.683,,,,,
50,07/04/22 03:45:00  AM,3.788,,,,,
51,07/04/22 04:00:00  AM,3.472,,,,,
52,07/04/22 04:15:00  AM,3.578,,,,,
53,07/04/22 04:30:00  AM,3.998,,,,,
54,07/04/22 04:45:00  AM,4.102,,,,,
55,07/04/22 05:00:00  AM,4.311,,,,,
56,07/04/22 05:15:00  AM,4.207,,,,,
57,07/04/22 05:30:00  AM,4.623,,,,,
58,07/04/22 05:45:00  AM,4.415,,,,,
59,07/04/22 06:00:00  AM,4.727,,,,,
60,07/04/22 06:15:00  AM,4.934,,,,,
61,07/04/22 06:30:00  AM,5.347,,,,,
62,07/04/22 06:45:00  AM,5.757,,,,,
63,07/04/22 07:00:00  AM,5.757,,,,,
64,07/04/22 07:15:00  AM,5.757,,,,,
65,07/04/22 07:30:00  AM,6.471,,,,,
66,07/04/22 07:45:00  AM,7.682,,,,,
67,07/04/22 08:00:00  AM,8.182,,,,,
68,07/04/22 08:15:00  AM,7.983,,,,,
69,07/04/22 08:30:00  AM,8.680,,,,,
70,07/04/22 08:45:00  AM,9.275,,,,,
71,07/04/22 09:00:00  AM,9.669,,,,,
72,07/04/22 09:15:00  AM,12.207,,,,,
73,07/04/22 09:30:00  AM,11.528,,,,,
74,07/04/22 09:45:00  AM,10.357,,,,,
75,07/04/22 10:00:00  AM,10.259,,,,,
76,07/04/22 10:15:00  AM,10.748,,,,,
77,07/04/22 10:30:00  AM,11.819,,,,,
78,07/04/22 10:45:00  AM,11.916,,,,,
79,07/04/22 11:00:00  AM,10.944,,,,,
80,07/04/22 11:15:00  AM,10.944,,,,,
81,07/04/22 11:30:00  AM,11.139,,,,,
82,07/04/22 11:45:00  AM,11.916,,,,,
83,07/04/22 12:00:00  PM,11.625,,,,,
84,07/04/22 12:15:00  PM,11.722,,,,,
85,07/04/22 12:30:00  PM,12.594,,,,,
86,07/04/22 12:45:00  PM,12.497,,,,,
87,07/04/22 01:00:00  PM,12.013,,,,,
88,07/04/22 01:15:00  PM,12.110,,,,,
89,07/04/22 01:30:00  PM,12.594,,,,,
90,07/04/22 01:45:00  PM,12.787,,,,,
91,07/04/22 02:00:00  PM,12.594,,,,,
92,07/04/22 02:15:00  PM,12.690,,,,,
93,07/04/22 02:30:00  PM,12.401,,,,,
94,07/04/22 02:45:00  PM,12.401,,,,,
95,07/04/22 03:00:00  PM,12.013,,,,,
96,07/04/22 03:15:00  PM,11.819,,,,,
97,07/04/22 03:30:00  PM,11.819,,,,,
98,07/04/22 03:45:00  PM,12.207,,,,,
99,07/04/22 04:00:00  PM,11.625,,,,,
100,07/04/22 04:15:00  PM,11.139,,,,,
101,07/04/22 04:30:00  PM,11.041,,,,,
102,07/04/22 04:45:00  PM,10.944,,,,,
103,07/04/22 05:00:00  PM,9.965,,,,,
104,07/04/22 05:15:00  PM,10.846,,,,,
105,07/04/22 05:30:00  PM,9.965,,,,,
106,07/04/22 05:45:00  PM,10.161,,,,,
107,07/04/22 06:00:00  PM,11.041,,,,,
108,07/04/22 06:15:00  PM,11.431,,,,,
109,07/04/22 06:30:00  PM,12.497,,,,,
110,07/04/22 06:45:00  PM,11.236,,,,,
111,07/04/22 07:00:00  PM,11.431,,,,,
112,07/04/22 07:15:00  PM,11.334,,,,,
113,07/04/22 07:30:00  PM,11.041,,,,,
114,07/04/22 07:45:00  PM,9.275,,,,,
115,07/04/22 08:00:00  PM,7.481,,,,,
116,07/04/22 08:15:00  PM,5.757,,,,,
117,07/04/22 08:30:00  PM,7.381,,,,,
118,07/04/22 08:45:00  PM,11.625,,,,,
119,07/04/22 09:00:00  PM,9.768,,,,,
120,07/04/22 09:15:00  PM,6.064,,,,,
121,07/04/22 09:30:00  PM,5.962,,,,,
122,07/04/22 09:45:00  PM,7.280,,,,,
123,07/04/22 10:00:00  PM,9.472,,,,,
124,07/04/22 10:15:00  PM,7.782,,,,,
125,07/04/22 10:30:00  PM,5.450,,,,,
126,07/04/22 10:45:00  PM,6.775,,,,,
127,07/04/22 11:00:00  PM,8.282,,,,,
128,07/04/22 11:15:00  PM,9.669,,,,,
129,07/04/22 11:30:00  PM,9.176,,,,,
130,07/04/22 11:45:00  PM,8.581,,,,,
131,07/05/22 12:00:00  AM,6.877,,,,,
132,07/05/22 12:15:00  AM,5.757,,,,,
133,07/05/22 12:30:00  AM,7.582,,,,,
134,07/05/22 12:45:00  AM,9.866,,,,,
135,07/05/22 01:00:00  AM,7.079,,,,,
136,07/05/22 01:15:00  AM,5.655,,,,,
137,07/05/22 01:30:00  AM,5.655,,,,,
138,07/05/22 01:45:00  AM,8.481,,,,,
139,07/05/22 02:00:00  AM,11.041,,,,,
140,07/05/22 02:15:00  AM,11.528,,,,,
141,07/05/22 02:30:00  AM,8.978,,,,,
142,07/05/22 02:45:00  AM,8.082,,,,,
143,07/05/22 03:00:00  AM,10.748,,,,,
144,07/05/22 03:15:00  AM,10.161,,,,,
145,07/05/22 03:30:00  AM,9.669,,,,,
146,07/05/22 03:45:00  AM,11.431,,,,,
147,07/05/22 04:00:00  AM,10.748,,,,,
148,07/05/22 04:15:00  AM,9.768,,,,,
149,07/05/22 04:30:00  AM,6.775,,,,,
150,07/05/22 04:45:00  AM,6.370,,,,,
151,07/05/22 05:00:00  AM,7.983,,,,,
152,07/05/22 05:15:00  AM,10.944,,,,,
153,07/05/22 05:30:00  AM,12.110,,,,,
154,07/05/22 05:45:00  AM,11.625,,,,,
155,07/05/22 06:00:00  AM,12.497,,,,,
156,07/05/22 06:15:00  AM,13.173,,,,,
157,07/05/22 06:30:00  AM,12.013,,,,,
158,07/05/22 06:45:00  AM,13.846,,,,,
159,07/05/22 07:00:00  AM,12.594,,,,,
160,07/05/22 07:15:00  AM,10.944,,,,,
161,07/05/22 07:30:00  AM,11.528,,,,,
162,07/05/22 07:45:00  AM,14.804,,,,,
163,07/05/22 08:00:00  AM,18.045,,,,,
164,07/05/22 08:15:00  AM,17.950,,,,,
165,07/05/22 08:30:00  AM,15.187,,,,,
166,07/05/22 08:45:00  AM,12.401,,,,,
167,07/05/22 09:00:00  AM,13.076,,,,,
168,07/05/22 09:15:00  AM,14.421,,,,,
169,07/05/22 09:30:00  AM,15.282,,,,,
170,07/05/22 09:45:00  AM,15.569,,,,,
171,07/05/22 10:00:00  AM,16.237,,,,,
172,07/05/22 10:15:00  AM,14.804,,,,,
173,07/05/22 10:30:00  AM,14.134,,,,,
174,07/05/22 10:45:00  AM,14.517,,,,,
175,07/05/22 11:00:00  AM,13.750,,,,,
176,07/05/22 11:15:00  AM,13.365,,,,,
177,07/05/22 11:30:00  AM,13.269,,,,,
178,07/05/22 11:45:00  AM,12.980,,,,,
179,07/05/22 12:00:00  PM,12.110,,,,,
180,07/05/22 12:15:00  PM,12.690,,,,,
181,07/05/22 12:30:00  PM,15.473,,,,,
182,07/05/22 12:45:00  PM,15.378,,,,,
183,07/05/22 01:00:00  PM,14.900,,,,,
184,07/05/22 01:15:00  PM,14.804,,,,,
185,07/05/22 01:30:00  PM,13.750,,,,,
186,07/05/22 01:45:00  PM,13.942,,,,,
187,07/05/22 02:00:00  PM,16.332,,,,,
188,07/05/22 02:15:00  PM,15.855,,,,,
189,07/05/22 02:30:00  PM,14.996,,,,,
