"Plot Title: DRYAS 12C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740224, SEN S/N: 9740224)","Coupler Attached (LGR S/N: 9740224)","Host Connected (LGR S/N: 9740224)","Stopped (LGR S/N: 9740224)","End Of File (LGR S/N: 9740224)"
1,07/03/22 03:30:00  PM,8.581,,,,
2,07/03/22 03:45:00  PM,6.674,,,,
3,07/03/22 04:00:00  PM,6.268,,,,
4,07/03/22 04:15:00  PM,6.471,,,,
5,07/03/22 04:30:00  PM,6.064,,,,
6,07/03/22 04:45:00  PM,5.962,,,,
7,07/03/22 05:00:00  PM,6.268,,,,
8,07/03/22 05:15:00  PM,6.370,,,,
9,07/03/22 05:30:00  PM,5.757,,,,
10,07/03/22 05:45:00  PM,5.757,,,,
11,07/03/22 06:00:00  PM,5.552,,,,
12,07/03/22 06:15:00  PM,4.934,,,,
13,07/03/22 06:30:00  PM,4.831,,,,
14,07/03/22 06:45:00  PM,5.552,,,,
15,07/03/22 07:00:00  PM,5.655,,,,
16,07/03/22 07:15:00  PM,5.450,,,,
17,07/03/22 07:30:00  PM,5.347,,,,
18,07/03/22 07:45:00  PM,5.037,,,,
19,07/03/22 08:00:00  PM,4.623,,,,
20,07/03/22 08:15:00  PM,4.519,,,,
21,07/03/22 08:30:00  PM,4.727,,,,
22,07/03/22 08:45:00  PM,4.623,,,,
23,07/03/22 09:00:00  PM,4.519,,,,
24,07/03/22 09:15:00  PM,4.207,,,,
25,07/03/22 09:30:00  PM,3.788,,,,
26,07/03/22 09:45:00  PM,3.893,,,,
27,07/03/22 10:00:00  PM,3.472,,,,
28,07/03/22 10:15:00  PM,3.788,,,,
29,07/03/22 10:30:00  PM,3.155,,,,
30,07/03/22 10:45:00  PM,2.837,,,,
31,07/03/22 11:00:00  PM,2.730,,,,
32,07/03/22 11:15:00  PM,2.837,,,,
33,07/03/22 11:30:00  PM,2.943,,,,
34,07/03/22 11:45:00  PM,3.155,,,,
35,07/04/22 12:00:00  AM,3.155,,,,
36,07/04/22 12:15:00  AM,3.049,,,,
37,07/04/22 12:30:00  AM,3.155,,,,
38,07/04/22 12:45:00  AM,3.367,,,,
39,07/04/22 01:00:00  AM,3.472,,,,
40,07/04/22 01:15:00  AM,3.578,,,,
41,07/04/22 01:30:00  AM,3.261,,,,
42,07/04/22 01:45:00  AM,3.367,,,,
43,07/04/22 02:00:00  AM,3.788,,,,
44,07/04/22 02:15:00  AM,4.415,,,,
45,07/04/22 02:30:00  AM,4.415,,,,
46,07/04/22 02:45:00  AM,4.311,,,,
47,07/04/22 03:00:00  AM,4.519,,,,
48,07/04/22 03:15:00  AM,4.102,,,,
49,07/04/22 03:30:00  AM,4.415,,,,
50,07/04/22 03:45:00  AM,4.623,,,,
51,07/04/22 04:00:00  AM,4.519,,,,
