"Plot Title: DRYAS_13T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740249, SEN S/N: 9740249)","Coupler Attached (LGR S/N: 9740249)","Host Connected (LGR S/N: 9740249)","Stopped (LGR S/N: 9740249)","End Of File (LGR S/N: 9740249)"
1,07/02/22 04:00:00  PM,10.651,,,,
2,07/02/22 04:15:00  PM,9.373,,,,
3,07/02/22 04:30:00  PM,10.553,,,,
4,07/02/22 04:45:00  PM,10.259,,,,
5,07/02/22 05:00:00  PM,8.978,,,,
6,07/02/22 05:15:00  PM,9.768,,,,
7,07/02/22 05:30:00  PM,9.373,,,,
8,07/02/22 05:45:00  PM,8.581,,,,
9,07/02/22 06:00:00  PM,7.280,,,,
10,07/02/22 06:15:00  PM,7.481,,,,
11,07/02/22 06:30:00  PM,8.779,,,,
12,07/02/22 06:45:00  PM,8.978,,,,
13,07/02/22 07:00:00  PM,7.983,,,,
14,07/02/22 07:15:00  PM,6.877,,,,
15,07/02/22 07:30:00  PM,7.179,,,,
16,07/02/22 07:45:00  PM,8.382,,,,
17,07/02/22 08:00:00  PM,8.879,,,,
18,07/02/22 08:15:00  PM,6.877,,,,
19,07/02/22 08:30:00  PM,6.166,,,,
20,07/02/22 08:45:00  PM,6.370,,,,
21,07/02/22 09:00:00  PM,7.179,,,,
22,07/02/22 09:15:00  PM,6.573,,,,
23,07/02/22 09:30:00  PM,6.674,,,,
24,07/02/22 09:45:00  PM,5.962,,,,
25,07/02/22 10:00:00  PM,6.471,,,,
26,07/02/22 10:15:00  PM,6.471,,,,
27,07/02/22 10:30:00  PM,6.370,,,,
28,07/02/22 10:45:00  PM,6.268,,,,
29,07/02/22 11:00:00  PM,5.757,,,,
30,07/02/22 11:15:00  PM,6.064,,,,
31,07/02/22 11:30:00  PM,6.166,,,,
32,07/02/22 11:45:00  PM,6.268,,,,
33,07/03/22 12:00:00  AM,5.962,,,,
34,07/03/22 12:15:00  AM,5.757,,,,
35,07/03/22 12:30:00  AM,5.757,,,,
36,07/03/22 12:45:00  AM,5.037,,,,
37,07/03/22 01:00:00  AM,5.141,,,,
38,07/03/22 01:15:00  AM,5.141,,,,
39,07/03/22 01:30:00  AM,4.831,,,,
40,07/03/22 01:45:00  AM,5.450,,,,
41,07/03/22 02:00:00  AM,5.962,,,,
42,07/03/22 02:15:00  AM,5.552,,,,
43,07/03/22 02:30:00  AM,5.141,,,,
44,07/03/22 02:45:00  AM,5.037,,,,
45,07/03/22 03:00:00  AM,5.141,,,,
46,07/03/22 03:15:00  AM,4.519,,,,
47,07/03/22 03:30:00  AM,3.683,,,,
48,07/03/22 03:45:00  AM,4.102,,,,
49,07/03/22 04:00:00  AM,4.727,,,,
50,07/03/22 04:15:00  AM,4.727,,,,
51,07/03/22 04:30:00  AM,4.102,,,,
52,07/03/22 04:45:00  AM,3.893,,,,
53,07/03/22 05:00:00  AM,3.788,,,,
54,07/03/22 05:15:00  AM,3.893,,,,
55,07/03/22 05:30:00  AM,4.311,,,,
56,07/03/22 05:45:00  AM,4.415,,,,
57,07/03/22 06:00:00  AM,4.311,,,,
58,07/03/22 06:15:00  AM,4.519,,,,
59,07/03/22 06:30:00  AM,5.037,,,,
60,07/03/22 06:45:00  AM,5.757,,,,
61,07/03/22 07:00:00  AM,5.860,,,,
62,07/03/22 07:15:00  AM,6.064,,,,
63,07/03/22 07:30:00  AM,7.381,,,,
64,07/03/22 07:45:00  AM,8.082,,,,
65,07/03/22 08:00:00  AM,6.573,,,,
66,07/03/22 08:15:00  AM,6.370,,,,
67,07/03/22 08:30:00  AM,6.471,,,,
68,07/03/22 08:45:00  AM,6.166,,,,
69,07/03/22 09:00:00  AM,6.775,,,,
70,07/03/22 09:15:00  AM,5.962,,,,
71,07/03/22 09:30:00  AM,6.064,,,,
72,07/03/22 09:45:00  AM,6.573,,,,
73,07/03/22 10:00:00  AM,6.775,,,,
74,07/03/22 10:15:00  AM,7.582,,,,
75,07/03/22 10:30:00  AM,8.082,,,,
76,07/03/22 10:45:00  AM,7.782,,,,
77,07/03/22 11:00:00  AM,6.877,,,,
78,07/03/22 11:15:00  AM,7.079,,,,
79,07/03/22 11:30:00  AM,6.775,,,,
80,07/03/22 11:45:00  AM,6.370,,,,
81,07/03/22 12:00:00  PM,6.674,,,,
82,07/03/22 12:15:00  PM,6.573,,,,
83,07/03/22 12:30:00  PM,6.573,,,,
84,07/03/22 12:45:00  PM,6.674,,,,
85,07/03/22 01:00:00  PM,6.877,,,,
86,07/03/22 01:15:00  PM,6.877,,,,
87,07/03/22 01:30:00  PM,6.370,,,,
88,07/03/22 01:45:00  PM,6.166,,,,
89,07/03/22 02:00:00  PM,7.179,,,,
90,07/03/22 02:15:00  PM,8.282,,,,
91,07/03/22 02:30:00  PM,6.978,,,,
92,07/03/22 02:45:00  PM,6.166,,,,
93,07/03/22 03:00:00  PM,6.674,,,,
94,07/03/22 03:15:00  PM,6.775,,,,
95,07/03/22 03:30:00  PM,7.381,,,,
96,07/03/22 03:45:00  PM,6.166,,,,
97,07/03/22 04:00:00  PM,5.962,,,,
98,07/03/22 04:15:00  PM,6.166,,,,
99,07/03/22 04:30:00  PM,5.860,,,,
100,07/03/22 04:45:00  PM,5.757,,,,
101,07/03/22 05:00:00  PM,5.860,,,,
102,07/03/22 05:15:00  PM,5.860,,,,
