"Plot Title: DRYAS_14C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20444010, SEN S/N: 20444010)","Coupler Attached (LGR S/N: 20444010)","Host Connected (LGR S/N: 20444010)","Stopped (LGR S/N: 20444010)","End Of File (LGR S/N: 20444010)"
1,07/03/22 03:30:00  PM,8.282,,,,
2,07/03/22 03:45:00  PM,6.166,,,,
3,07/03/22 04:00:00  PM,5.962,,,,
4,07/03/22 04:15:00  PM,6.166,,,,
5,07/03/22 04:30:00  PM,5.655,,,,
6,07/03/22 04:45:00  PM,5.552,,,,
7,07/03/22 05:00:00  PM,5.860,,,,
8,07/03/22 05:15:00  PM,5.860,,,,
9,07/03/22 05:30:00  PM,5.347,,,,
10,07/03/22 05:45:00  PM,5.244,,,,
11,07/03/22 06:00:00  PM,5.037,,,,
12,07/03/22 06:15:00  PM,4.519,,,,
13,07/03/22 06:30:00  PM,4.623,,,,
14,07/03/22 06:45:00  PM,5.244,,,,
15,07/03/22 07:00:00  PM,5.347,,,,
16,07/03/22 07:15:00  PM,5.141,,,,
17,07/03/22 07:30:00  PM,5.037,,,,
18,07/03/22 07:45:00  PM,4.727,,,,
19,07/03/22 08:00:00  PM,4.311,,,,
20,07/03/22 08:15:00  PM,4.311,,,,
21,07/03/22 08:30:00  PM,4.415,,,,
22,07/03/22 08:45:00  PM,4.311,,,,
23,07/03/22 09:00:00  PM,4.207,,,,
24,07/03/22 09:15:00  PM,3.893,,,,
25,07/03/22 09:30:00  PM,3.472,,,,
26,07/03/22 09:45:00  PM,3.788,,,,
27,07/03/22 10:00:00  PM,3.367,,,,
28,07/03/22 10:15:00  PM,3.578,,,,
29,07/03/22 10:30:00  PM,2.943,,,,
30,07/03/22 10:45:00  PM,2.624,,,,
31,07/03/22 11:00:00  PM,2.410,,,,
32,07/03/22 11:15:00  PM,2.624,,,,
33,07/03/22 11:30:00  PM,2.943,,,,
34,07/03/22 11:45:00  PM,2.943,,,,
35,07/04/22 12:00:00  AM,2.837,,,,
36,07/04/22 12:15:00  AM,2.943,,,,
37,07/04/22 12:30:00  AM,3.049,,,,
38,07/04/22 12:45:00  AM,3.155,,,,
39,07/04/22 01:00:00  AM,3.367,,,,
40,07/04/22 01:15:00  AM,3.367,,,,
41,07/04/22 01:30:00  AM,3.155,,,,
42,07/04/22 01:45:00  AM,3.261,,,,
