"Plot Title: DRY_14T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740221, SEN S/N: 9740221)","Coupler Attached (LGR S/N: 9740221)","Host Connected (LGR S/N: 9740221)","Stopped (LGR S/N: 9740221)","End Of File (LGR S/N: 9740221)"
1,07/02/22 04:00:00  PM,12.304,,,,
2,07/02/22 04:15:00  PM,11.334,,,,
3,07/02/22 04:30:00  PM,11.916,,,,
4,07/02/22 04:45:00  PM,11.528,,,,
5,07/02/22 05:00:00  PM,10.553,,,,
6,07/02/22 05:15:00  PM,10.846,,,,
7,07/02/22 05:30:00  PM,11.139,,,,
8,07/02/22 05:45:00  PM,10.259,,,,
9,07/02/22 06:00:00  PM,9.176,,,,
10,07/02/22 06:15:00  PM,8.680,,,,
11,07/02/22 06:30:00  PM,9.768,,,,
12,07/02/22 06:45:00  PM,9.176,,,,
13,07/02/22 07:00:00  PM,8.680,,,,
14,07/02/22 07:15:00  PM,7.882,,,,
15,07/02/22 07:30:00  PM,8.182,,,,
16,07/02/22 07:45:00  PM,8.680,,,,
17,07/02/22 08:00:00  PM,8.978,,,,
18,07/02/22 08:15:00  PM,7.983,,,,
19,07/02/22 08:30:00  PM,7.381,,,,
20,07/02/22 08:45:00  PM,7.079,,,,
21,07/02/22 09:00:00  PM,7.481,,,,
22,07/02/22 09:15:00  PM,7.381,,,,
23,07/02/22 09:30:00  PM,7.381,,,,
24,07/02/22 09:45:00  PM,6.775,,,,
25,07/02/22 10:00:00  PM,6.877,,,,
26,07/02/22 10:15:00  PM,6.775,,,,
27,07/02/22 10:30:00  PM,6.674,,,,
28,07/02/22 10:45:00  PM,6.573,,,,
29,07/02/22 11:00:00  PM,6.166,,,,
30,07/02/22 11:15:00  PM,6.370,,,,
31,07/02/22 11:30:00  PM,6.471,,,,
32,07/02/22 11:45:00  PM,6.370,,,,
33,07/03/22 12:00:00  AM,6.268,,,,
34,07/03/22 12:15:00  AM,6.064,,,,
35,07/03/22 12:30:00  AM,5.962,,,,
36,07/03/22 12:45:00  AM,5.347,,,,
37,07/03/22 01:00:00  AM,5.141,,,,
38,07/03/22 01:15:00  AM,5.347,,,,
39,07/03/22 01:30:00  AM,5.450,,,,
40,07/03/22 01:45:00  AM,5.757,,,,
41,07/03/22 02:00:00  AM,6.166,,,,
42,07/03/22 02:15:00  AM,5.962,,,,
