"Plot Title: DRYAS OTC 2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9702263, SEN S/N: 9702263, LBL: 10 cm)","RH, % (LGR S/N: 9702263, SEN S/N: 9702263, LBL: 10 cm)","Good Battery (LGR S/N: 9702263)","Coupler Detached (LGR S/N: 9702263)","Coupler Attached (LGR S/N: 9702263)","Host Connected (LGR S/N: 9702263)","Stopped (LGR S/N: 9702263)","End Of File (LGR S/N: 9702263)"
1,07/02/22 04:00:00  PM,11.029,62.187,Logged,Logged,,,,
2,07/02/22 05:00:00  PM,10.565,65.446,,,,,,
3,07/02/22 06:00:00  PM,8.817,70.024,,,,,,
4,07/02/22 07:00:00  PM,9.238,68.635,,,,,,
5,07/02/22 08:00:00  PM,9.509,67.891,,,,,,
6,07/02/22 09:00:00  PM,7.343,74.736,,,,,,
7,07/02/22 10:00:00  PM,6.611,78.955,,,,,,
8,07/02/22 11:00:00  PM,5.334,84.413,,,,,,
9,07/03/22 12:00:00  AM,6.026,80.565,,,,,,
10,07/03/22 01:00:00  AM,5.514,83.985,,,,,,
11,07/03/22 02:00:00  AM,5.360,83.582,,,,,,
12,07/03/22 03:00:00  AM,4.662,95.378,,,,,,
13,07/03/22 04:00:00  AM,4.662,97.558,,,,,,
14,07/03/22 05:00:00  AM,4.115,95.794,,,,,,
15,07/03/22 06:00:00  AM,4.999,95.050,,,,,,
16,07/03/22 07:00:00  AM,6.636,91.880,,,,,,
17,07/03/22 08:00:00  AM,7.142,91.351,,,,,,
18,07/03/22 09:00:00  AM,7.116,91.395,,,,,,
19,07/03/22 10:00:00  AM,6.636,94.070,,,,,,
20,07/03/22 11:00:00  AM,7.444,94.310,,,,,,
21,07/03/22 12:00:00  PM,7.444,92.546,,,,,,
22,07/03/22 01:00:00  PM,7.995,91.111,,,,,,
23,07/03/22 02:00:00  PM,7.695,91.391,,,,,,
24,07/03/22 03:00:00  PM,5.693,96.423,,,,,,
25,07/03/22 04:00:00  PM,5.257,98.406,,,,,,
26,07/03/22 05:00:00  PM,5.488,97.715,,,,,,
27,07/03/22 06:00:00  PM,4.506,94.001,,,,,,
28,07/03/22 07:00:00  PM,4.947,94.293,,,,,,
29,07/03/22 08:00:00  PM,4.115,94.712,,,,,,
30,07/03/22 09:00:00  PM,3.617,96.927,,,,,,
31,07/03/22 10:00:00  PM,2.610,96.356,,,,,,
32,07/03/22 11:00:00  PM,2.236,98.038,,,,,,
33,07/04/22 12:00:00  AM,2.316,96.856,,,,,,
34,07/04/22 01:00:00  AM,3.142,96.260,,,,,,
35,07/04/22 02:00:00  AM,3.880,96.073,,,,,,
36,07/04/22 03:00:00  AM,4.063,92.690,,,,,,
37,07/04/22 04:00:00  AM,3.274,93.795,,,,,,
38,07/04/22 05:00:00  AM,3.985,91.646,,,,,,
39,07/04/22 06:00:00  AM,4.869,90.566,,,,,,
40,07/04/22 07:00:00  AM,5.360,88.144,,,,,,
41,07/04/22 08:00:00  AM,7.318,82.241,,,,,,
42,07/04/22 09:00:00  AM,10.001,74.730,,,,,,
43,07/04/22 10:00:00  AM,11.904,68.048,,,,,,
44,07/04/22 11:00:00  AM,13.882,62.757,,,,,,
45,07/04/22 12:00:00  PM,14.385,62.193,,,,,,
46,07/04/22 01:00:00  PM,14.673,59.564,,,,,,
47,07/04/22 02:00:00  PM,13.522,63.959,,,,,,
48,07/04/22 03:00:00  PM,15.676,55.985,,,,,,
49,07/04/22 04:00:00  PM,14.936,55.904,,,,,,
50,07/04/22 05:00:00  PM,12.823,63.634,,,,,,
51,07/04/22 06:00:00  PM,15.557,53.742,,,,,,
52,07/04/22 07:00:00  PM,13.714,60.659,,,,,,
53,07/04/22 08:00:00  PM,8.319,69.197,,,,,,
54,07/04/22 09:00:00  PM,9.756,66.308,,,,,,
55,07/04/22 10:00:00  PM,8.469,73.310,,,,,,
56,07/04/22 11:00:00  PM,7.368,72.590,,,,,,
57,07/05/22 12:00:00  AM,5.821,75.459,,,,,,
58,07/05/22 01:00:00  AM,6.077,74.420,,,,,,
59,07/05/22 02:00:00  AM,8.568,64.143,,,,,,
60,07/05/22 03:00:00  AM,10.001,62.072,,,,,,
61,07/05/22 04:00:00  AM,10.247,59.298,,,,,,
62,07/05/22 05:00:00  AM,8.095,69.295,,,,,,
63,07/05/22 06:00:00  AM,10.785,58.557,,,,,,
64,07/05/22 07:00:00  AM,11.807,60.554,,,,,,
65,07/05/22 08:00:00  AM,14.361,54.088,,,,,,
66,07/05/22 09:00:00  AM,13.786,57.927,,,,,,
67,07/05/22 10:00:00  AM,16.129,51.797,,,,,,
68,07/05/22 11:00:00  AM,15.963,54.718,,,,,,
69,07/05/22 12:00:00  PM,15.199,56.640,,,,,,
70,07/05/22 01:00:00  PM,16.987,47.683,,,,,,
71,07/05/22 02:00:00  PM,17.748,49.503,,,,,,
72,07/05/22 03:00:00  PM,20.627,43.625,,,,,,
73,07/05/22 04:00:00  PM,11.759,64.266,,,,,,
74,07/05/22 05:00:00  PM,12.678,62.906,,,,,,
75,07/05/22 06:00:00  PM,12.171,64.484,,,,,,
76,07/05/22 07:00:00  PM,9.163,70.513,,,,,,
77,07/05/22 08:00:00  PM,7.645,82.688,,,,,,
78,07/05/22 09:00:00  PM,6.712,89.173,,,,,,
79,07/05/22 10:00:00  PM,5.462,88.681,,,,,,
80,07/05/22 11:00:00  PM,6.382,92.673,,,,,,
81,07/06/22 12:00:00  AM,5.437,95.514,,,,,,
82,07/06/22 01:00:00  AM,5.847,98.084,,,,,,
83,07/06/22 02:00:00  AM,6.990,98.893,,,,,,
84,07/06/22 03:00:00  AM,7.066,99.403,,,,,,
85,07/06/22 04:00:00  AM,7.192,99.145,,,,,,
86,07/06/22 05:00:00  AM,6.661,98.360,,,,,,
87,07/06/22 06:00:00  AM,4.298,95.771,,,,,,
88,07/06/22 07:00:00  AM,3.221,98.533,,,,,,
89,07/06/22 08:00:00  AM,3.958,98.331,,,,,,
90,07/06/22 09:00:00  AM,4.688,95.286,,,,,,
91,07/06/22 10:00:00  AM,6.026,91.571,,,,,,
92,07/06/22 11:00:00  AM,7.745,90.125,,,,,,
93,07/06/22 12:00:00  PM,6.535,88.075,,,,,,
94,07/06/22 01:00:00  PM,6.204,88.918,,,,,,
95,07/06/22 02:00:00  PM,6.636,86.962,,,,,,
96,07/06/22 03:00:00  PM,8.469,86.625,,,,,,
97,07/06/22 04:00:00  PM,8.866,82.274,,,,,,
98,07/06/22 05:00:00  PM,7.444,84.439,,,,,,
99,07/06/22 06:00:00  PM,7.995,81.756,,,,,,
100,07/06/22 07:00:00  PM,8.120,84.017,,,,,,
101,07/06/22 08:00:00  PM,7.670,81.895,,,,,,
102,07/06/22 09:00:00  PM,5.821,88.207,,,,,,
103,07/06/22 10:00:00  PM,5.102,89.458,,,,,,
104,07/06/22 11:00:00  PM,5.128,90.429,,,,,,
105,07/07/22 12:00:00  AM,5.282,92.184,,,,,,
106,07/07/22 01:00:00  AM,4.766,90.514,,,,,,
107,07/07/22 02:00:00  AM,5.488,93.066,,,,,,
108,07/07/22 03:00:00  AM,8.070,84.744,,,,,,
109,07/07/22 04:00:00  AM,10.541,69.817,,,,,,
110,07/07/22 05:00:00  AM,7.745,74.158,,,,,,
111,07/07/22 06:00:00  AM,10.687,64.746,,,,,,
112,07/07/22 07:00:00  AM,10.858,70.614,,,,,,
113,07/07/22 08:00:00  AM,13.714,61.104,,,,,,
114,07/07/22 09:00:00  AM,13.738,61.493,,,,,,
115,07/07/22 10:00:00  AM,13.762,62.590,,,,,,
116,07/07/22 11:00:00  AM,15.247,58.426,,,,,,
117,07/07/22 12:00:00  PM,15.509,59.248,,,,,,
118,07/07/22 01:00:00  PM,17.486,59.472,,,,,,
119,07/07/22 02:00:00  PM,16.225,56.249,,,,,,
120,07/07/22 03:00:00  PM,18.604,48.393,,,,,,
121,07/07/22 04:00:00  PM,19.199,52.721,,,,,,
122,07/07/22 05:00:00  PM,16.654,54.667,,,,,,
123,07/07/22 06:00:00  PM,17.082,52.485,,,,,,
124,07/07/22 07:00:00  PM,14.936,61.246,,,,,,
125,07/07/22 08:00:00  PM,16.749,52.777,,,,,,
126,07/07/22 09:00:00  PM,14.625,53.272,,,,,,
127,07/07/22 10:00:00  PM,9.854,64.628,,,,,,
128,07/07/22 11:00:00  PM,11.078,64.148,,,,,,
129,07/08/22 12:00:00  AM,8.095,73.234,,,,,,
130,07/08/22 01:00:00  AM,9.534,69.314,,,,,,
131,07/08/22 02:00:00  AM,9.952,65.539,,,,,,
132,07/08/22 03:00:00  AM,8.767,68.688,,,,,,
133,07/08/22 04:00:00  AM,8.120,70.059,,,,,,
134,07/08/22 05:00:00  AM,9.583,65.041,,,,,,
135,07/08/22 06:00:00  AM,13.112,58.031,,,,,,
136,07/08/22 07:00:00  AM,16.129,51.303,,,,,,
137,07/08/22 08:00:00  AM,14.314,55.659,,,,,,
138,07/08/22 09:00:00  AM,15.605,51.446,,,,,,
139,07/08/22 10:00:00  AM,15.294,57.319,,,,,,
140,07/08/22 11:00:00  AM,16.225,54.787,,,,,,
141,07/08/22 12:00:00  PM,17.843,53.086,,,,,,
142,07/08/22 01:00:00  PM,15.199,52.773,,,,,,
143,07/08/22 02:00:00  PM,8.866,74.692,,,,,,
144,07/08/22 03:00:00  PM,8.344,74.695,,,,,,
145,07/08/22 04:00:00  PM,8.045,73.224,,,,,,
146,07/08/22 05:00:00  PM,8.020,85.416,,,,,,
147,07/08/22 06:00:00  PM,10.418,69.766,,,,,,
148,07/08/22 07:00:00  PM,16.392,60.229,,,,,,
149,07/08/22 08:00:00  PM,9.410,70.195,,,,,,
150,07/08/22 09:00:00  PM,6.763,78.935,,,,,,
151,07/08/22 10:00:00  PM,7.318,89.659,,,,,,
152,07/08/22 11:00:00  PM,5.462,88.015,,,,,,
153,07/09/22 12:00:00  AM,6.153,86.197,,,,,,
154,07/09/22 01:00:00  AM,7.318,84.567,,,,,,
155,07/09/22 02:00:00  AM,6.712,83.636,,,,,,
156,07/09/22 03:00:00  AM,8.444,81.108,,,,,,
157,07/09/22 04:00:00  AM,8.990,68.844,,,,,,
158,07/09/22 05:00:00  AM,10.541,71.118,,,,,,
159,07/09/22 06:00:00  AM,11.807,70.371,,,,,,
160,07/09/22 07:00:00  AM,13.088,63.621,,,,,,
161,07/09/22 08:00:00  AM,17.629,53.919,,,,,,
162,07/09/22 09:00:00  AM,17.796,52.090,,,,,,
163,07/09/22 10:00:00  AM,14.074,58.691,,,,,,
164,07/09/22 11:00:00  AM,16.725,51.075,,,,,,
165,07/09/22 12:00:00  PM,17.962,52.207,,,,,,
166,07/09/22 01:00:00  PM,17.296,52.299,,,,,,
167,07/09/22 02:00:00  PM,19.627,48.431,,,,,,
168,07/09/22 03:00:00  PM,18.557,49.140,,,,,,
169,07/09/22 04:00:00  PM,16.225,56.280,,,,,,
170,07/09/22 05:00:00  PM,9.361,69.423,,,,,,
171,07/09/22 06:00:00  PM,10.590,66.659,,,,,,
172,07/09/22 07:00:00  PM,10.565,64.493,,,,,,
173,07/09/22 08:00:00  PM,12.316,60.608,,,,,,
174,07/09/22 09:00:00  PM,7.519,75.705,,,,,,
175,07/09/22 10:00:00  PM,5.924,82.451,,,,,,
176,07/09/22 11:00:00  PM,7.695,69.557,,,,,,
177,07/10/22 12:00:00  AM,8.990,71.602,,,,,,
178,07/10/22 01:00:00  AM,5.616,81.137,,,,,,
179,07/10/22 02:00:00  AM,8.344,70.692,,,,,,
180,07/10/22 03:00:00  AM,9.213,61.356,,,,,,
181,07/10/22 04:00:00  AM,8.469,69.564,,,,,,
182,07/10/22 05:00:00  AM,11.370,64.286,,,,,,
183,07/10/22 06:00:00  AM,9.608,70.063,,,,,,
184,07/10/22 07:00:00  AM,8.145,77.856,,,,,,
185,07/10/22 08:00:00  AM,9.928,87.291,,,,,,
186,07/10/22 09:00:00  AM,11.248,79.016,,,,,,
187,07/10/22 10:00:00  AM,8.295,79.837,,,,,,
188,07/10/22 11:00:00  AM,10.001,80.971,,,,,,
189,07/10/22 12:00:00  PM,9.756,86.198,,,,,,
190,07/10/22 01:00:00  PM,11.443,75.915,,,,,,
191,07/10/22 02:00:00  PM,14.745,70.531,,,,,,
192,07/10/22 03:00:00  PM,13.185,71.318,,,,,,
193,07/10/22 04:00:00  PM,19.294,54.560,,,,,,
194,07/10/22 05:00:00  PM,18.747,58.398,,,,,,
195,07/10/22 06:00:00  PM,18.010,55.540,,,,,,
196,07/10/22 07:00:00  PM,14.266,60.452,,,,,,
197,07/10/22 08:00:00  PM,16.368,58.119,,,,,,
198,07/10/22 09:00:00  PM,11.759,63.859,,,,,,
199,07/10/22 10:00:00  PM,7.895,73.747,,,,,,
200,07/10/22 11:00:00  PM,7.343,74.076,,,,,,
201,07/11/22 12:00:00  AM,5.462,80.837,,,,,,
202,07/11/22 01:00:00  AM,5.668,77.970,,,,,,
203,07/11/22 02:00:00  AM,6.661,74.568,,,,,,
204,07/11/22 03:00:00  AM,9.015,67.401,,,,,,
205,07/11/22 04:00:00  AM,9.879,63.881,,,,,,
206,07/11/22 05:00:00  AM,11.029,58.506,,,,,,
207,07/11/22 06:00:00  AM,10.271,59.920,,,,,,
208,07/11/22 07:00:00  AM,10.001,64.365,,,,,,
209,07/11/22 08:00:00  AM,13.353,52.511,,,,,,
210,07/11/22 09:00:00  AM,13.738,56.447,,,,,,
211,07/11/22 10:00:00  AM,14.936,52.276,,,,,,
212,07/11/22 11:00:00  AM,15.843,54.090,,,,,,
213,07/11/22 12:00:00  PM,14.840,55.070,,,,,,
214,07/11/22 01:00:00  PM,16.177,51.927,,,,,,
215,07/11/22 02:00:00  PM,15.008,55.217,,,,,,
216,07/11/22 03:00:00  PM,15.031,52.841,,,,,,
217,07/11/22 04:00:00  PM,17.415,50.144,,,,,,
218,07/11/22 05:00:00  PM,16.201,51.127,,,,,,
219,07/11/22 06:00:00  PM,17.153,51.320,,,,,,
220,07/11/22 07:00:00  PM,14.361,57.777,,,,,,
221,07/11/22 08:00:00  PM,13.930,54.844,,,,,,
222,07/11/22 09:00:00  PM,14.314,60.609,,,,,,
223,07/11/22 10:00:00  PM,7.318,70.269,,,,,,
224,07/11/22 11:00:00  PM,6.813,77.109,,,,,,
225,07/12/22 12:00:00  AM,6.661,78.778,,,,,,
226,07/12/22 01:00:00  AM,8.369,78.230,,,,,,
227,07/12/22 02:00:00  AM,7.895,75.948,,,,,,
228,07/12/22 03:00:00  AM,12.340,57.104,,,,,,
229,07/12/22 04:00:00  AM,12.195,55.792,,,,,,
230,07/12/22 05:00:00  AM,14.026,49.411,,,,,,
231,07/12/22 06:00:00  AM,11.904,57.484,,,,,,
232,07/12/22 07:00:00  AM,14.194,51.190,,,,,,
233,07/12/22 08:00:00  AM,16.558,46.687,,,,,,
234,07/12/22 09:00:00  AM,18.200,43.756,,,,,,
235,07/12/22 10:00:00  AM,11.492,59.499,,,,,,
236,07/12/22 11:00:00  AM,11.662,62.440,,,,,,
237,07/12/22 12:00:00  PM,11.200,59.599,,,,,,
238,07/12/22 01:00:00  PM,9.163,69.837,,,,,,
239,07/12/22 02:00:00  PM,11.662,67.084,,,,,,
240,07/12/22 03:00:00  PM,15.414,51.574,,,,,,
241,07/12/22 04:00:00  PM,16.415,47.829,,,,,,
242,07/12/22 05:00:00  PM,11.662,59.111,,,,,,
243,07/12/22 06:00:00  PM,9.977,62.126,,,,,,
244,07/12/22 07:00:00  PM,6.458,77.277,,,,,,
245,07/12/22 08:00:00  PM,8.369,74.755,,,,,,
246,07/12/22 09:00:00  PM,5.796,80.700,,,,,,
247,07/12/22 10:00:00  PM,5.693,83.346,,,,,,
248,07/12/22 11:00:00  PM,4.610,87.420,,,,,,
249,07/13/22 12:00:00  AM,4.973,84.458,,,,,,
250,07/13/22 01:00:00  AM,5.898,83.787,,,,,,
251,07/13/22 02:00:00  AM,4.895,86.074,,,,,,
252,07/13/22 03:00:00  AM,5.128,87.368,,,,,,
253,07/13/22 04:00:00  AM,5.668,81.547,,,,,,
254,07/13/22 05:00:00  AM,6.788,78.806,,,,,,
255,07/13/22 06:00:00  AM,9.756,73.569,,,,,,
256,07/13/22 07:00:00  AM,7.770,78.073,,,,,,
257,07/13/22 08:00:00  AM,8.792,73.708,,,,,,
258,07/13/22 09:00:00  AM,9.706,65.696,,,,,,
259,07/13/22 10:00:00  AM,17.439,47.615,,,,,,
260,07/13/22 11:00:00  AM,16.701,51.536,,,,,,
261,07/13/22 12:00:00  PM,15.151,52.551,,,,,,
262,07/13/22 01:00:00  PM,13.137,61.187,,,,,,
263,07/13/22 02:00:00  PM,12.678,61.081,,,,,,
264,07/13/22 03:00:00  PM,13.281,59.430,,,,,,
265,07/13/22 04:00:00  PM,13.594,58.286,,,,,,
266,07/13/22 05:00:00  PM,11.662,61.061,,,,,,
267,07/13/22 06:00:00  PM,12.437,59.473,,,,,,
268,07/13/22 07:00:00  PM,10.124,67.176,,,,,,
269,07/13/22 08:00:00  PM,11.443,60.377,,,,,,
270,07/13/22 09:00:00  PM,7.645,78.426,,,,,,
271,07/13/22 10:00:00  PM,4.999,82.659,,,,,,
272,07/13/22 11:00:00  PM,5.231,83.133,,,,,,
273,07/14/22 12:00:00  AM,5.076,83.018,,,,,,
274,07/14/22 01:00:00  AM,4.636,89.544,,,,,,
275,07/14/22 02:00:00  AM,4.558,92.846,,,,,,
276,07/14/22 03:00:00  AM,4.141,95.899,,,,,,
277,07/14/22 04:00:00  AM,3.643,95.983,,,,,,
278,07/14/22 05:00:00  AM,5.050,93.823,,,,,,
279,07/14/22 06:00:00  AM,5.179,92.584,,,,,,
280,07/14/22 07:00:00  AM,5.796,93.847,,,,,,
281,07/14/22 08:00:00  AM,8.020,89.783,,,,,,
282,07/14/22 09:00:00  AM,7.670,84.492,,,,,,
283,07/14/22 10:00:00  AM,7.695,82.034,,,,,,
284,07/14/22 11:00:00  AM,6.458,85.619,,,,,,
285,07/14/22 12:00:00  PM,9.312,72.867,,,,,,
286,07/14/22 01:00:00  PM,7.318,79.353,,,,,,
287,07/14/22 02:00:00  PM,8.593,73.778,,,,,,
288,07/14/22 03:00:00  PM,10.907,72.091,,,,,,
289,07/14/22 04:00:00  PM,8.369,75.388,,,,,,
290,07/14/22 05:00:00  PM,4.636,83.701,,,,,,
291,07/14/22 06:00:00  PM,5.872,80.956,,,,,,
292,07/14/22 07:00:00  PM,5.024,87.008,,,,,,
293,07/14/22 08:00:00  PM,4.376,87.286,,,,,,
294,07/14/22 09:00:00  PM,5.539,83.598,,,,,,
295,07/14/22 10:00:00  PM,3.932,88.350,,,,,,
296,07/14/22 11:00:00  PM,2.557,91.324,,,,,,
297,07/15/22 12:00:00  AM,1.805,96.569,,,,,,
298,07/15/22 01:00:00  AM,2.396,98.419,,,,,,
299,07/15/22 02:00:00  AM,2.182,98.837,,,,,,
300,07/15/22 03:00:00  AM,2.047,99.418,,,,,,
301,07/15/22 04:00:00  AM,1.967,99.205,,,,,,
302,07/15/22 05:00:00  AM,2.343,98.644,,,,,,
303,07/15/22 06:00:00  AM,3.327,99.164,,,,,,
304,07/15/22 07:00:00  AM,3.696,98.692,,,,,,
305,07/15/22 08:00:00  AM,7.217,89.608,,,,,,
306,07/15/22 09:00:00  AM,5.488,91.306,,,,,,
307,07/15/22 10:00:00  AM,11.005,73.765,,,,,,
308,07/15/22 11:00:00  AM,11.078,70.628,,,,,,
309,07/15/22 12:00:00  PM,12.001,72.249,,,,,,
310,07/15/22 01:00:00  PM,9.163,76.982,,,,,,
311,07/15/22 02:00:00  PM,13.497,64.978,,,,,,
312,07/15/22 03:00:00  PM,17.320,59.536,,,,,,
313,07/15/22 04:00:00  PM,19.746,53.666,,,,,,
314,07/15/22 05:00:00  PM,16.796,53.522,,,,,,
315,07/15/22 06:00:00  PM,18.937,52.094,,,,,,
316,07/15/22 07:00:00  PM,17.463,58.077,,,,,,
317,07/15/22 08:00:00  PM,14.385,60.055,,,,,,
318,07/15/22 09:00:00  PM,14.481,60.636,,,,,,
319,07/15/22 10:00:00  PM,10.956,67.042,,,,,,
320,07/15/22 11:00:00  PM,9.015,72.417,,,,,,
321,07/16/22 12:00:00  AM,5.154,82.747,,,,,,
322,07/16/22 01:00:00  AM,5.616,80.074,,,,,,
323,07/16/22 02:00:00  AM,7.995,73.961,,,,,,
324,07/16/22 03:00:00  AM,7.419,74.422,,,,,,
325,07/16/22 04:00:00  AM,6.940,74.131,,,,,,
326,07/16/22 05:00:00  AM,10.198,67.990,,,,,,
327,07/16/22 06:00:00  AM,10.296,64.156,,,,,,
328,07/16/22 07:00:00  AM,9.608,64.642,,,,,,
329,07/16/22 08:00:00  AM,11.321,60.710,,,,,,
330,07/16/22 09:00:00  AM,13.666,60.355,,,,,,
331,07/16/22 10:00:00  AM,15.008,54.821,,,,,,
332,07/16/22 11:00:00  AM,14.122,54.357,,,,,,
333,07/16/22 12:00:00  PM,16.034,53.842,,,,,,
334,07/16/22 01:00:00  PM,15.605,57.306,,,,,,
