"Plot Title: DRYAS OTC 7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9694112, SEN S/N: 9694112, LBL: 10 cm)","RH, % (LGR S/N: 9694112, SEN S/N: 9694112, LBL: 10 cm)","Coupler Detached (LGR S/N: 9694112)","Coupler Attached (LGR S/N: 9694112)","Host Connected (LGR S/N: 9694112)","Stopped (LGR S/N: 9694112)","End Of File (LGR S/N: 9694112)"
1,07/02/22 04:00:00  PM,11.078,1.000,Logged,,,,
2,07/02/22 05:00:00  PM,10.001,1.000,,,,,
3,07/02/22 06:00:00  PM,8.369,1.000,,,,,
4,07/02/22 07:00:00  PM,8.990,1.000,,,,,
5,07/02/22 08:00:00  PM,9.188,1.000,,,,,
6,07/02/22 09:00:00  PM,7.167,1.000,,,,,
7,07/02/22 10:00:00  PM,6.433,1.000,,,,,
8,07/02/22 11:00:00  PM,5.334,1.000,,,,,
9,07/03/22 12:00:00  AM,5.898,1.000,,,,,
10,07/03/22 01:00:00  AM,5.334,1.000,,,,,
11,07/03/22 02:00:00  AM,5.437,1.000,,,,,
12,07/03/22 03:00:00  AM,4.688,1.000,,,,,
13,07/03/22 04:00:00  AM,4.584,1.000,,,,,
14,07/03/22 05:00:00  AM,3.985,1.000,,,,,
15,07/03/22 06:00:00  AM,4.766,1.000,,,,,
16,07/03/22 07:00:00  AM,6.382,1.000,,,,,
17,07/03/22 08:00:00  AM,6.839,1.000,,,,,
18,07/03/22 09:00:00  AM,6.990,1.000,,,,,
19,07/03/22 10:00:00  AM,6.661,1.000,,,,,
20,07/03/22 11:00:00  AM,7.293,1.000,,,,,
21,07/03/22 12:00:00  PM,7.293,1.000,,,,,
22,07/03/22 01:00:00  PM,7.594,1.000,,,,,
23,07/03/22 02:00:00  PM,7.519,1.000,,,,,
24,07/03/22 03:00:00  PM,5.924,1.000,,,,,
25,07/03/22 04:00:00  PM,5.488,1.000,,,,,
26,07/03/22 05:00:00  PM,5.437,1.000,,,,,
27,07/03/22 06:00:00  PM,4.714,1.000,,,,,
28,07/03/22 07:00:00  PM,5.076,1.000,,,,,
29,07/03/22 08:00:00  PM,4.168,1.000,,,,,
30,07/03/22 09:00:00  PM,3.775,1.000,,,,,
31,07/03/22 10:00:00  PM,2.717,1.000,,,,,
32,07/03/22 11:00:00  PM,2.155,1.000,,,,,
33,07/04/22 12:00:00  AM,2.503,1.000,,,,,
34,07/04/22 01:00:00  AM,3.354,1.000,,,,,
35,07/04/22 02:00:00  AM,3.749,1.000,,,,,
36,07/04/22 03:00:00  AM,3.775,1.000,,,,,
37,07/04/22 04:00:00  AM,3.354,1.000,,,,,
38,07/04/22 05:00:00  AM,4.115,1.000,,,,,
39,07/04/22 06:00:00  AM,4.714,1.000,,,,,
40,07/04/22 07:00:00  AM,5.437,1.000,,,,,
41,07/04/22 08:00:00  AM,7.041,1.000,,,,,
42,07/04/22 09:00:00  AM,9.040,1.000,,,,,
43,07/04/22 10:00:00  AM,10.001,1.000,,,,,
44,07/04/22 11:00:00  AM,12.147,1.000,,,,,
45,07/04/22 12:00:00  PM,13.209,1.000,,,,,
46,07/04/22 01:00:00  PM,14.050,1.000,,,,,
47,07/04/22 02:00:00  PM,13.810,1.000,,,,,
48,07/04/22 03:00:00  PM,14.337,1.000,,,,,
49,07/04/22 04:00:00  PM,14.002,1.000,,,,,
50,07/04/22 05:00:00  PM,12.920,1.000,,,,,
51,07/04/22 06:00:00  PM,13.642,1.000,,,,,
52,07/04/22 07:00:00  PM,12.654,1.000,,,,,
53,07/04/22 08:00:00  PM,7.142,1.000,,,,,
54,07/04/22 09:00:00  PM,8.519,1.000,,,,,
55,07/04/22 10:00:00  PM,7.167,1.000,,,,,
56,07/04/22 11:00:00  PM,6.000,1.000,,,,,
57,07/05/22 12:00:00  AM,6.509,1.000,,,,,
58,07/05/22 01:00:00  AM,6.331,1.000,,,,,
59,07/05/22 02:00:00  AM,8.070,1.000,,,,,
60,07/05/22 03:00:00  AM,9.509,1.000,,,,,
61,07/05/22 04:00:00  AM,10.247,1.000,,,,,
62,07/05/22 05:00:00  AM,7.970,1.000,,,,,
63,07/05/22 06:00:00  AM,11.419,1.000,,,,,
64,07/05/22 07:00:00  AM,12.001,1.000,,,,,
65,07/05/22 08:00:00  AM,13.666,1.000,,,,,
66,07/05/22 09:00:00  AM,13.016,1.000,,,,,
67,07/05/22 10:00:00  AM,14.625,1.000,,,,,
68,07/05/22 11:00:00  AM,14.768,1.000,,,,,
69,07/05/22 12:00:00  PM,14.146,1.000,,,,,
70,07/05/22 01:00:00  PM,16.725,1.000,,,,,
71,07/05/22 02:00:00  PM,17.653,1.000,,,,,
72,07/05/22 03:00:00  PM,17.534,1.000,,,,,
73,07/05/22 04:00:00  PM,11.297,1.000,,,,,
74,07/05/22 05:00:00  PM,12.413,1.000,,,,,
75,07/05/22 06:00:00  PM,12.122,1.000,,,,,
76,07/05/22 07:00:00  PM,9.188,1.000,,,,,
77,07/05/22 08:00:00  PM,7.569,1.000,,,,,
78,07/05/22 09:00:00  PM,6.585,1.000,,,,,
79,07/05/22 10:00:00  PM,5.437,1.000,,,,,
80,07/05/22 11:00:00  PM,6.357,1.000,,,,,
81,07/06/22 12:00:00  AM,5.462,1.000,,,,,
82,07/06/22 01:00:00  AM,5.821,1.000,,,,,
83,07/06/22 02:00:00  AM,6.965,1.000,,,,,
84,07/06/22 03:00:00  AM,7.041,1.000,,,,,
85,07/06/22 04:00:00  AM,7.167,1.000,,,,,
86,07/06/22 05:00:00  AM,6.788,1.000,,,,,
87,07/06/22 06:00:00  AM,4.480,1.000,,,,,
88,07/06/22 07:00:00  AM,3.406,1.000,,,,,
89,07/06/22 08:00:00  AM,4.115,1.000,,,,,
90,07/06/22 09:00:00  AM,4.921,1.000,,,,,
91,07/06/22 10:00:00  AM,6.306,1.000,,,,,
92,07/06/22 11:00:00  AM,7.469,1.000,,,,,
