"Plot Title: MEAD_10C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20444002, SEN S/N: 20444002)","Coupler Attached (LGR S/N: 20444002)","Host Connected (LGR S/N: 20444002)","Stopped (LGR S/N: 20444002)","End Of File (LGR S/N: 20444002)"
1,06/30/22 02:00:00  PM,15.187,,,,
2,06/30/22 02:15:00  PM,15.378,,,,
3,06/30/22 02:30:00  PM,15.378,,,,
4,06/30/22 02:45:00  PM,14.613,,,,
5,06/30/22 03:00:00  PM,13.942,,,,
6,06/30/22 03:15:00  PM,13.750,,,,
7,06/30/22 03:30:00  PM,14.038,,,,
8,06/30/22 03:45:00  PM,14.709,,,,
9,06/30/22 04:00:00  PM,14.900,,,,
10,06/30/22 04:15:00  PM,14.996,,,,
11,06/30/22 04:30:00  PM,15.187,,,,
12,06/30/22 04:45:00  PM,14.804,,,,
13,06/30/22 05:00:00  PM,14.325,,,,
14,06/30/22 05:15:00  PM,13.461,,,,
15,06/30/22 05:30:00  PM,13.558,,,,
16,06/30/22 05:45:00  PM,13.461,,,,
17,06/30/22 06:00:00  PM,13.558,,,,
18,06/30/22 06:15:00  PM,14.038,,,,
19,06/30/22 06:30:00  PM,14.134,,,,
20,06/30/22 06:45:00  PM,13.750,,,,
21,06/30/22 07:00:00  PM,13.365,,,,
22,06/30/22 07:15:00  PM,13.269,,,,
23,06/30/22 07:30:00  PM,13.654,,,,
24,06/30/22 07:45:00  PM,13.076,,,,
25,06/30/22 08:00:00  PM,12.883,,,,
26,06/30/22 08:15:00  PM,11.528,,,,
27,06/30/22 08:30:00  PM,11.722,,,,
28,06/30/22 08:45:00  PM,8.282,,,,
29,06/30/22 09:00:00  PM,5.757,,,,
30,06/30/22 09:15:00  PM,5.141,,,,
31,06/30/22 09:30:00  PM,7.582,,,,
32,06/30/22 09:45:00  PM,10.553,,,,
33,06/30/22 10:00:00  PM,11.916,,,,
34,06/30/22 10:15:00  PM,8.779,,,,
35,06/30/22 10:30:00  PM,7.280,,,,
36,06/30/22 10:45:00  PM,6.064,,,,
37,06/30/22 11:00:00  PM,5.655,,,,
38,06/30/22 11:15:00  PM,6.573,,,,
39,06/30/22 11:30:00  PM,5.962,,,,
40,06/30/22 11:45:00  PM,5.552,,,,
41,07/01/22 12:00:00  AM,5.244,,,,
42,07/01/22 12:15:00  AM,5.037,,,,
43,07/01/22 12:30:00  AM,4.727,,,,
44,07/01/22 12:45:00  AM,4.207,,,,
45,07/01/22 01:00:00  AM,3.998,,,,
46,07/01/22 01:15:00  AM,3.683,,,,
47,07/01/22 01:30:00  AM,3.998,,,,
