"Plot Title: MEAD_12T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547744, SEN S/N: 20547744, LBL: 10cm_air_CO2)","Good Battery (LGR S/N: 20547744)","Coupler Attached (LGR S/N: 20547744)","Host Connected (LGR S/N: 20547744)","Stopped (LGR S/N: 20547744)","End Of File (LGR S/N: 20547744)"
1,06/30/22 02:00:00  PM,19.662,Logged,,,,
2,06/30/22 02:30:00  PM,20.710,,,,,
3,06/30/22 03:00:00  PM,19.377,,,,,
4,06/30/22 03:30:00  PM,18.616,,,,,
5,06/30/22 04:00:00  PM,19.092,,,,,
6,06/30/22 04:30:00  PM,18.901,,,,,
7,06/30/22 05:00:00  PM,17.665,,,,,
8,06/30/22 05:30:00  PM,15.760,,,,,
9,06/30/22 06:00:00  PM,14.517,,,,,
10,06/30/22 06:30:00  PM,15.091,,,,,
11,06/30/22 07:00:00  PM,13.750,,,,,
12,06/30/22 07:30:00  PM,13.461,,,,,
13,06/30/22 08:00:00  PM,13.558,,,,,
14,06/30/22 08:30:00  PM,13.076,,,,,
15,06/30/22 09:00:00  PM,7.782,,,,,
16,06/30/22 09:30:00  PM,7.381,,,,,
17,06/30/22 10:00:00  PM,11.236,,,,,
18,06/30/22 10:30:00  PM,8.680,,,,,
19,06/30/22 11:00:00  PM,6.573,,,,,
20,06/30/22 11:30:00  PM,7.381,,,,,
21,07/01/22 12:00:00  AM,6.573,,,,,
22,07/01/22 12:30:00  AM,5.962,,,,,
23,07/01/22 01:00:00  AM,5.244,,,,,
24,07/01/22 01:30:00  AM,5.141,,,,,
25,07/01/22 02:00:00  AM,5.757,,,,,
26,07/01/22 02:30:00  AM,6.268,,,,,
27,07/01/22 03:00:00  AM,7.983,,,,,
28,07/01/22 03:30:00  AM,9.472,,,,,
29,07/01/22 04:00:00  AM,8.382,,,,,
30,07/01/22 04:30:00  AM,7.582,,,,,
31,07/01/22 05:00:00  AM,7.079,,,,,
32,07/01/22 05:30:00  AM,7.381,,,,,
33,07/01/22 06:00:00  AM,7.782,,,,,
34,07/01/22 06:30:00  AM,7.582,,,,,
35,07/01/22 07:00:00  AM,9.373,,,,,
36,07/01/22 07:30:00  AM,11.625,,,,,
37,07/01/22 08:00:00  AM,11.334,,,,,
38,07/01/22 08:30:00  AM,10.944,,,,,
39,07/01/22 09:00:00  AM,12.883,,,,,
40,07/01/22 09:30:00  AM,16.046,,,,,
41,07/01/22 10:00:00  AM,20.234,,,,,
42,07/01/22 10:30:00  AM,20.805,,,,,
