"Plot Title: MEAD_T13_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547750, SEN S/N: 20547750, LBL: 10cm_air_CO2)","Coupler Attached (LGR S/N: 20547750)","Host Connected (LGR S/N: 20547750)","Stopped (LGR S/N: 20547750)","End Of File (LGR S/N: 20547750)"
1,06/30/22 02:00:00  PM,25.902,,,,
2,06/30/22 02:30:00  PM,25.902,,,,
3,06/30/22 03:00:00  PM,20.901,,,,
4,06/30/22 03:30:00  PM,20.043,,,,
5,06/30/22 04:00:00  PM,22.046,,,,
6,06/30/22 04:30:00  PM,19.853,,,,
7,06/30/22 05:00:00  PM,18.331,,,,
8,06/30/22 05:30:00  PM,16.713,,,,
9,06/30/22 06:00:00  PM,15.951,,,,
10,06/30/22 06:30:00  PM,16.427,,,,
11,06/30/22 07:00:00  PM,14.709,,,,
12,06/30/22 07:30:00  PM,15.091,,,,
13,06/30/22 08:00:00  PM,14.996,,,,
14,06/30/22 08:30:00  PM,13.846,,,,
15,06/30/22 09:00:00  PM,6.978,,,,
16,06/30/22 09:30:00  PM,8.082,,,,
17,06/30/22 10:00:00  PM,12.401,,,,
18,06/30/22 10:30:00  PM,8.879,,,,
19,06/30/22 11:00:00  PM,6.674,,,,
20,06/30/22 11:30:00  PM,7.983,,,,
21,07/01/22 12:00:00  AM,7.079,,,,
22,07/01/22 12:30:00  AM,6.370,,,,
23,07/01/22 01:00:00  AM,5.450,,,,
24,07/01/22 01:30:00  AM,5.244,,,,
25,07/01/22 02:00:00  AM,6.268,,,,
26,07/01/22 02:30:00  AM,6.674,,,,
27,07/01/22 03:00:00  AM,9.768,,,,
28,07/01/22 03:30:00  AM,11.236,,,,
29,07/01/22 04:00:00  AM,9.965,,,,
30,07/01/22 04:30:00  AM,8.481,,,,
31,07/01/22 05:00:00  AM,8.082,,,,
32,07/01/22 05:30:00  AM,8.779,,,,
33,07/01/22 06:00:00  AM,9.472,,,,
34,07/01/22 06:30:00  AM,9.077,,,,
35,07/01/22 07:00:00  AM,12.401,,,,
36,07/01/22 07:30:00  AM,15.282,,,,
37,07/01/22 08:00:00  AM,14.709,,,,
38,07/01/22 08:30:00  AM,13.942,,,,
39,07/01/22 09:00:00  AM,16.903,,,,
40,07/01/22 09:30:00  AM,24.738,,,,
41,07/01/22 10:00:00  AM,27.468,,,,
42,07/01/22 10:30:00  AM,26.683,,,,
43,07/01/22 11:00:00  AM,20.996,,,,
