"Plot Title: MEAD_14C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547754, SEN S/N: 20547754, LBL: 10cm_air_CO2)","Coupler Attached (LGR S/N: 20547754)","Host Connected (LGR S/N: 20547754)","Stopped (LGR S/N: 20547754)","End Of File (LGR S/N: 20547754)"
1,06/30/22 02:00:00  PM,16.713,,,,
2,06/30/22 02:30:00  PM,15.760,,,,
3,06/30/22 03:00:00  PM,13.269,,,,
4,06/30/22 03:30:00  PM,14.325,,,,
5,06/30/22 04:00:00  PM,14.421,,,,
6,06/30/22 04:30:00  PM,14.325,,,,
7,06/30/22 05:00:00  PM,12.594,,,,
8,06/30/22 05:30:00  PM,12.207,,,,
9,06/30/22 06:00:00  PM,11.819,,,,
10,06/30/22 06:30:00  PM,11.431,,,,
11,06/30/22 07:00:00  PM,10.357,,,,
12,06/30/22 07:30:00  PM,10.161,,,,
13,06/30/22 08:00:00  PM,10.161,,,,
14,06/30/22 08:30:00  PM,9.669,,,,
15,06/30/22 09:00:00  PM,5.347,,,,
16,06/30/22 09:30:00  PM,6.674,,,,
17,06/30/22 10:00:00  PM,9.275,,,,
18,06/30/22 10:30:00  PM,6.775,,,,
19,06/30/22 11:00:00  PM,5.860,,,,
20,06/30/22 11:30:00  PM,5.962,,,,
21,07/01/22 12:00:00  AM,5.347,,,,
22,07/01/22 12:30:00  AM,4.934,,,,
23,07/01/22 01:00:00  AM,4.311,,,,
24,07/01/22 01:30:00  AM,4.519,,,,
25,07/01/22 02:00:00  AM,5.037,,,,
26,07/01/22 02:30:00  AM,5.347,,,,
27,07/01/22 03:00:00  AM,7.280,,,,
28,07/01/22 03:30:00  AM,7.882,,,,
29,07/01/22 04:00:00  AM,6.978,,,,
30,07/01/22 04:30:00  AM,5.962,,,,
31,07/01/22 05:00:00  AM,6.166,,,,
32,07/01/22 05:30:00  AM,6.471,,,,
33,07/01/22 06:00:00  AM,6.370,,,,
34,07/01/22 06:30:00  AM,5.450,,,,
35,07/01/22 07:00:00  AM,8.481,,,,
36,07/01/22 07:30:00  AM,8.182,,,,
37,07/01/22 08:00:00  AM,8.382,,,,
38,07/01/22 08:30:00  AM,9.077,,,,
39,07/01/22 09:00:00  AM,8.779,,,,
40,07/01/22 09:30:00  AM,14.038,,,,
41,07/01/22 10:00:00  AM,12.980,,,,
42,07/01/22 10:30:00  AM,15.091,,,,
43,07/01/22 11:00:00  AM,11.528,,,,
44,07/01/22 11:30:00  AM,10.063,,,,
45,07/01/22 12:00:00  PM,10.161,,,,
46,07/01/22 12:30:00  PM,9.373,,,,
47,07/01/22 01:00:00  PM,11.819,,,,
48,07/01/22 01:30:00  PM,12.883,,,,
49,07/01/22 02:00:00  PM,11.528,,,,
50,07/01/22 02:30:00  PM,10.357,,,,
51,07/01/22 03:00:00  PM,10.161,,,,
52,07/01/22 03:30:00  PM,8.879,,,,
53,07/01/22 04:00:00  PM,7.381,,,,
54,07/01/22 04:30:00  PM,6.370,,,,
55,07/01/22 05:00:00  PM,6.166,,,,
56,07/01/22 05:30:00  PM,5.860,,,,
57,07/01/22 06:00:00  PM,5.962,,,,
58,07/01/22 06:30:00  PM,5.347,,,,
59,07/01/22 07:00:00  PM,5.037,,,,
60,07/01/22 07:30:00  PM,5.037,,,,
61,07/01/22 08:00:00  PM,4.727,,,,
62,07/01/22 08:30:00  PM,4.102,,,,
63,07/01/22 09:00:00  PM,5.037,,,,
64,07/01/22 09:30:00  PM,4.934,,,,
65,07/01/22 10:00:00  PM,5.141,,,,
66,07/01/22 10:30:00  PM,4.311,,,,
67,07/01/22 11:00:00  PM,4.831,,,,
68,07/01/22 11:30:00  PM,3.683,,,,
69,07/02/22 12:00:00  AM,4.727,,,,
70,07/02/22 12:30:00  AM,5.347,,,,
71,07/02/22 01:00:00  AM,3.683,,,,
72,07/02/22 01:30:00  AM,4.311,,,,
73,07/02/22 02:00:00  AM,3.998,,,,
74,07/02/22 02:30:00  AM,3.683,,,,
75,07/02/22 03:00:00  AM,5.037,,,,
76,07/02/22 03:30:00  AM,4.831,,,,
77,07/02/22 04:00:00  AM,5.450,,,,
78,07/02/22 04:30:00  AM,5.860,,,,
79,07/02/22 05:00:00  AM,6.370,,,,
80,07/02/22 05:30:00  AM,5.552,,,,
81,07/02/22 06:00:00  AM,5.962,,,,
82,07/02/22 06:30:00  AM,4.519,,,,
83,07/02/22 07:00:00  AM,5.347,,,,
84,07/02/22 07:30:00  AM,5.655,,,,
85,07/02/22 08:00:00  AM,7.280,,,,
86,07/02/22 08:30:00  AM,6.471,,,,
87,07/02/22 09:00:00  AM,7.582,,,,
88,07/02/22 09:30:00  AM,9.965,,,,
89,07/02/22 10:00:00  AM,9.373,,,,
90,07/02/22 10:30:00  AM,10.748,,,,
91,07/02/22 11:00:00  AM,11.722,,,,
92,07/02/22 11:30:00  AM,12.304,,,,
93,07/02/22 12:00:00  PM,12.690,,,,
94,07/02/22 12:30:00  PM,12.690,,,,
95,07/02/22 01:00:00  PM,11.236,,,,
96,07/02/22 01:30:00  PM,11.334,,,,
97,07/02/22 02:00:00  PM,11.041,,,,
98,07/02/22 02:30:00  PM,12.013,,,,
99,07/02/22 03:00:00  PM,9.571,,,,
100,07/02/22 03:30:00  PM,10.944,,,,
101,07/02/22 04:00:00  PM,10.553,,,,
102,07/02/22 04:30:00  PM,11.236,,,,
103,07/02/22 05:00:00  PM,9.571,,,,
104,07/02/22 05:30:00  PM,9.768,,,,
105,07/02/22 06:00:00  PM,6.877,,,,
106,07/02/22 06:30:00  PM,8.879,,,,
107,07/02/22 07:00:00  PM,7.582,,,,
108,07/02/22 07:30:00  PM,7.582,,,,
109,07/02/22 08:00:00  PM,7.782,,,,
110,07/02/22 08:30:00  PM,6.268,,,,
111,07/02/22 09:00:00  PM,6.775,,,,
112,07/02/22 09:30:00  PM,6.573,,,,
113,07/02/22 10:00:00  PM,6.268,,,,
114,07/02/22 10:30:00  PM,5.962,,,,
115,07/02/22 11:00:00  PM,5.450,,,,
116,07/02/22 11:30:00  PM,5.962,,,,
117,07/03/22 12:00:00  AM,5.655,,,,
118,07/03/22 12:30:00  AM,5.757,,,,
119,07/03/22 01:00:00  AM,5.037,,,,
120,07/03/22 01:30:00  AM,5.037,,,,
121,07/03/22 02:00:00  AM,5.757,,,,
122,07/03/22 02:30:00  AM,4.831,,,,
123,07/03/22 03:00:00  AM,4.311,,,,
124,07/03/22 03:30:00  AM,3.472,,,,
125,07/03/22 04:00:00  AM,4.311,,,,
126,07/03/22 04:30:00  AM,4.311,,,,
127,07/03/22 05:00:00  AM,3.683,,,,
128,07/03/22 05:30:00  AM,4.102,,,,
129,07/03/22 06:00:00  AM,4.519,,,,
130,07/03/22 06:30:00  AM,4.934,,,,
131,07/03/22 07:00:00  AM,5.860,,,,
132,07/03/22 07:30:00  AM,7.280,,,,
133,07/03/22 08:00:00  AM,5.860,,,,
134,07/03/22 08:30:00  AM,6.268,,,,
135,07/03/22 09:00:00  AM,6.674,,,,
136,07/03/22 09:30:00  AM,5.655,,,,
137,07/03/22 10:00:00  AM,6.370,,,,
138,07/03/22 10:30:00  AM,7.179,,,,
139,07/03/22 11:00:00  AM,7.381,,,,
140,07/03/22 11:30:00  AM,7.179,,,,
141,07/03/22 12:00:00  PM,7.079,,,,
142,07/03/22 12:30:00  PM,6.775,,,,
143,07/03/22 01:00:00  PM,6.978,,,,
144,07/03/22 01:30:00  PM,6.166,,,,
145,07/03/22 02:00:00  PM,7.079,,,,
146,07/03/22 02:30:00  PM,5.347,,,,
147,07/03/22 03:00:00  PM,6.268,,,,
148,07/03/22 03:30:00  PM,6.978,,,,
149,07/03/22 04:00:00  PM,5.962,,,,
150,07/03/22 04:30:00  PM,5.244,,,,
