"Plot Title: MEAD_1T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740230, SEN S/N: 9740230)","Good Battery (LGR S/N: 9740230)","Host Connected (LGR S/N: 9740230)","Coupler Attached (LGR S/N: 9740230)","Stopped (LGR S/N: 9740230)","End Of File (LGR S/N: 9740230)"
1,06/30/22 02:00:00  PM,30.255,,,,,
2,06/30/22 02:15:00  PM,31.370,,,,,
3,06/30/22 02:30:00  PM,31.778,,,,,
4,06/30/22 02:45:00  PM,31.268,,,,,
5,06/30/22 03:00:00  PM,29.352,Logged,,,,
6,06/30/22 03:15:00  PM,27.764,,,,,
7,06/30/22 03:30:00  PM,26.879,,,,,
8,06/30/22 03:45:00  PM,29.452,,,,,
9,06/30/22 04:00:00  PM,30.054,,,,,
10,06/30/22 04:15:00  PM,29.552,,,,,
11,06/30/22 04:30:00  PM,29.152,,,,,
12,06/30/22 04:45:00  PM,27.665,,,,,
13,06/30/22 05:00:00  PM,26.292,,,,,
14,06/30/22 05:15:00  PM,24.158,,,,,
15,06/30/22 05:30:00  PM,23.388,,,,,
16,06/30/22 05:45:00  PM,22.333,,,,,
17,06/30/22 06:00:00  PM,22.238,,,,,
18,06/30/22 06:15:00  PM,22.717,,,,,
19,06/30/22 06:30:00  PM,22.333,,,,,
20,06/30/22 06:45:00  PM,20.710,,,,,
21,06/30/22 07:00:00  PM,19.282,,,,,
22,06/30/22 07:15:00  PM,18.996,,,,,
23,06/30/22 07:30:00  PM,18.996,,,,,
24,06/30/22 07:45:00  PM,18.045,,,,,
25,06/30/22 08:00:00  PM,16.618,,,,,
26,06/30/22 08:15:00  PM,14.996,,,,,
27,06/30/22 08:30:00  PM,14.804,,,,,
28,06/30/22 08:45:00  PM,11.431,,,,,
29,06/30/22 09:00:00  PM,8.382,,,,,
30,06/30/22 09:15:00  PM,7.179,,,,,
31,06/30/22 09:30:00  PM,8.382,,,,,
32,06/30/22 09:45:00  PM,11.139,,,,,
33,06/30/22 10:00:00  PM,12.497,,,,,
34,06/30/22 10:15:00  PM,11.431,,,,,
35,06/30/22 10:30:00  PM,10.161,,,,,
36,06/30/22 10:45:00  PM,8.779,,,,,
37,06/30/22 11:00:00  PM,7.582,,,,,
38,06/30/22 11:15:00  PM,7.682,,,,,
39,06/30/22 11:30:00  PM,8.082,,,,,
40,06/30/22 11:45:00  PM,7.882,,,,,
41,07/01/22 12:00:00  AM,7.582,,,,,
42,07/01/22 12:15:00  AM,7.179,,,,,
43,07/01/22 12:30:00  AM,6.775,,,,,
44,07/01/22 12:45:00  AM,6.370,,,,,
45,07/01/22 01:00:00  AM,5.962,,,,,
46,07/01/22 01:15:00  AM,5.655,,,,,
47,07/01/22 01:30:00  AM,5.860,,,,,
48,07/01/22 01:45:00  AM,6.268,,,,,
49,07/01/22 02:00:00  AM,6.775,,,,,
50,07/01/22 02:15:00  AM,6.877,,,,,
51,07/01/22 02:30:00  AM,7.179,,,,,
52,07/01/22 02:45:00  AM,8.282,,,,,
53,07/01/22 03:00:00  AM,9.965,,,,,
54,07/01/22 03:15:00  AM,11.236,,,,,
55,07/01/22 03:30:00  AM,11.139,,,,,
56,07/01/22 03:45:00  AM,10.161,,,,,
57,07/01/22 04:00:00  AM,9.866,,,,,
58,07/01/22 04:15:00  AM,9.571,,,,,
59,07/01/22 04:30:00  AM,8.978,,,,,
60,07/01/22 04:45:00  AM,8.282,,,,,
61,07/01/22 05:00:00  AM,8.382,,,,,
62,07/01/22 05:15:00  AM,8.680,,,,,
63,07/01/22 05:30:00  AM,9.077,,,,,
64,07/01/22 05:45:00  AM,9.275,,,,,
65,07/01/22 06:00:00  AM,9.571,,,,,
66,07/01/22 06:15:00  AM,9.176,,,,,
67,07/01/22 06:30:00  AM,8.978,,,,,
68,07/01/22 06:45:00  AM,9.669,,,,,
69,07/01/22 07:00:00  AM,12.013,,,,,
70,07/01/22 07:15:00  AM,14.038,,,,,
71,07/01/22 07:30:00  AM,14.134,,,,,
72,07/01/22 07:45:00  AM,13.750,,,,,
73,07/01/22 08:00:00  AM,13.750,,,,,
74,07/01/22 08:15:00  AM,14.134,,,,,
75,07/01/22 08:30:00  AM,13.750,,,,,
76,07/01/22 08:45:00  AM,14.230,,,,,
77,07/01/22 09:00:00  AM,16.141,,,,,
78,07/01/22 09:15:00  AM,17.665,,,,,
79,07/01/22 09:30:00  AM,22.812,,,,,
80,07/01/22 09:45:00  AM,25.805,,,,,
81,07/01/22 10:00:00  AM,26.000,,,,,
82,07/01/22 10:15:00  AM,28.060,,,,,
83,07/01/22 10:30:00  AM,26.488,,,,,
84,07/01/22 10:45:00  AM,26.000,,,,,
85,07/01/22 11:00:00  AM,20.329,,,,,
86,07/01/22 11:15:00  AM,16.999,,,,,
87,07/01/22 11:30:00  AM,15.187,,,,,
88,07/01/22 11:45:00  AM,16.332,,,,,
89,07/01/22 12:00:00  PM,16.523,,,,,
90,07/01/22 12:15:00  PM,16.332,,,,,
91,07/01/22 12:30:00  PM,18.616,,,,,
92,07/01/22 12:45:00  PM,21.664,,,,,
93,07/01/22 01:00:00  PM,23.773,,,,,
