"Plot Title: MEAD_2T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10316462, SEN S/N: 10316462)","Coupler Attached (LGR S/N: 10316462)","Host Connected (LGR S/N: 10316462)","Stopped (LGR S/N: 10316462)","End Of File (LGR S/N: 10316462)"
1,06/30/22 02:00:00  PM,23.773,,,,
2,06/30/22 02:15:00  PM,23.773,,,,
3,06/30/22 02:30:00  PM,24.158,,,,
4,06/30/22 02:45:00  PM,23.292,,,,
5,06/30/22 03:00:00  PM,22.812,,,,
6,06/30/22 03:15:00  PM,22.908,,,,
7,06/30/22 03:30:00  PM,23.388,,,,
8,06/30/22 03:45:00  PM,23.196,,,,
9,06/30/22 04:00:00  PM,21.855,,,,
10,06/30/22 04:15:00  PM,23.196,,,,
11,06/30/22 04:30:00  PM,24.062,,,,
12,06/30/22 04:45:00  PM,24.641,,,,
13,06/30/22 05:00:00  PM,23.773,,,,
14,06/30/22 05:15:00  PM,22.908,,,,
15,06/30/22 05:30:00  PM,22.621,,,,
16,06/30/22 05:45:00  PM,22.621,,,,
17,06/30/22 06:00:00  PM,22.333,,,,
18,06/30/22 06:15:00  PM,21.951,,,,
19,06/30/22 06:30:00  PM,21.760,,,,
20,06/30/22 06:45:00  PM,21.378,,,,
21,06/30/22 07:00:00  PM,20.615,,,,
22,06/30/22 07:15:00  PM,19.092,,,,
23,06/30/22 07:30:00  PM,18.236,,,,
24,06/30/22 07:45:00  PM,16.808,,,,
25,06/30/22 08:00:00  PM,14.996,,,,
26,06/30/22 08:15:00  PM,13.365,,,,
27,06/30/22 08:30:00  PM,13.750,,,,
28,06/30/22 08:45:00  PM,9.275,,,,
29,06/30/22 09:00:00  PM,6.370,,,,
30,06/30/22 09:15:00  PM,5.860,,,,
31,06/30/22 09:30:00  PM,8.581,,,,
32,06/30/22 09:45:00  PM,11.431,,,,
33,06/30/22 10:00:00  PM,12.401,,,,
34,06/30/22 10:15:00  PM,9.965,,,,
35,06/30/22 10:30:00  PM,8.581,,,,
36,06/30/22 10:45:00  PM,7.582,,,,
37,06/30/22 11:00:00  PM,6.978,,,,
38,06/30/22 11:15:00  PM,7.481,,,,
39,06/30/22 11:30:00  PM,7.481,,,,
40,06/30/22 11:45:00  PM,6.877,,,,
41,07/01/22 12:00:00  AM,6.674,,,,
42,07/01/22 12:15:00  AM,6.268,,,,
43,07/01/22 12:30:00  AM,5.552,,,,
44,07/01/22 12:45:00  AM,5.244,,,,
45,07/01/22 01:00:00  AM,4.934,,,,
46,07/01/22 01:15:00  AM,4.623,,,,
47,07/01/22 01:30:00  AM,4.623,,,,
48,07/01/22 01:45:00  AM,5.037,,,,
49,07/01/22 02:00:00  AM,5.552,,,,
50,07/01/22 02:15:00  AM,5.347,,,,
51,07/01/22 02:30:00  AM,5.552,,,,
52,07/01/22 02:45:00  AM,6.978,,,,
53,07/01/22 03:00:00  AM,8.879,,,,
54,07/01/22 03:15:00  AM,10.063,,,,
55,07/01/22 03:30:00  AM,8.779,,,,
56,07/01/22 03:45:00  AM,7.381,,,,
57,07/01/22 04:00:00  AM,7.582,,,,
58,07/01/22 04:15:00  AM,7.582,,,,
59,07/01/22 04:30:00  AM,7.481,,,,
60,07/01/22 04:45:00  AM,6.877,,,,
61,07/01/22 05:00:00  AM,6.877,,,,
62,07/01/22 05:15:00  AM,7.381,,,,
63,07/01/22 05:30:00  AM,7.582,,,,
64,07/01/22 05:45:00  AM,7.782,,,,
65,07/01/22 06:00:00  AM,7.882,,,,
66,07/01/22 06:15:00  AM,6.978,,,,
67,07/01/22 06:30:00  AM,6.978,,,,
68,07/01/22 06:45:00  AM,7.882,,,,
69,07/01/22 07:00:00  AM,10.259,,,,
70,07/01/22 07:15:00  AM,12.110,,,,
71,07/01/22 07:30:00  AM,11.431,,,,
72,07/01/22 07:45:00  AM,10.748,,,,
73,07/01/22 08:00:00  AM,11.236,,,,
74,07/01/22 08:15:00  AM,11.528,,,,
75,07/01/22 08:30:00  AM,10.944,,,,
76,07/01/22 08:45:00  AM,12.304,,,,
77,07/01/22 09:00:00  AM,13.365,,,,
78,07/01/22 09:15:00  AM,13.846,,,,
79,07/01/22 09:30:00  AM,17.379,,,,
80,07/01/22 09:45:00  AM,19.948,,,,
81,07/01/22 10:00:00  AM,20.424,,,,
82,07/01/22 10:15:00  AM,21.473,,,,
83,07/01/22 10:30:00  AM,18.806,,,,
84,07/01/22 10:45:00  AM,16.713,,,,
85,07/01/22 11:00:00  AM,12.980,,,,
86,07/01/22 11:15:00  AM,10.944,,,,
87,07/01/22 11:30:00  AM,10.259,,,,
88,07/01/22 11:45:00  AM,11.041,,,,
89,07/01/22 12:00:00  PM,11.041,,,,
90,07/01/22 12:15:00  PM,11.041,,,,
91,07/01/22 12:30:00  PM,13.173,,,,
92,07/01/22 12:45:00  PM,15.187,,,,
93,07/01/22 01:00:00  PM,16.237,,,,
94,07/01/22 01:15:00  PM,16.141,,,,
95,07/01/22 01:30:00  PM,17.094,,,,
96,07/01/22 01:45:00  PM,14.900,,,,
97,07/01/22 02:00:00  PM,13.654,,,,
98,07/01/22 02:15:00  PM,12.304,,,,
99,07/01/22 02:30:00  PM,13.365,,,,
100,07/01/22 02:45:00  PM,15.569,,,,
101,07/01/22 03:00:00  PM,16.237,,,,
102,07/01/22 03:15:00  PM,15.282,,,,
103,07/01/22 03:30:00  PM,14.709,,,,
104,07/01/22 03:45:00  PM,12.207,,,,
105,07/01/22 04:00:00  PM,10.063,,,,
106,07/01/22 04:15:00  PM,8.879,,,,
107,07/01/22 04:30:00  PM,8.082,,,,
108,07/01/22 04:45:00  PM,8.082,,,,
109,07/01/22 05:00:00  PM,8.182,,,,
110,07/01/22 05:15:00  PM,7.983,,,,
111,07/01/22 05:30:00  PM,8.481,,,,
112,07/01/22 05:45:00  PM,8.779,,,,
113,07/01/22 06:00:00  PM,9.176,,,,
114,07/01/22 06:15:00  PM,9.176,,,,
115,07/01/22 06:30:00  PM,8.680,,,,
116,07/01/22 06:45:00  PM,8.481,,,,
117,07/01/22 07:00:00  PM,8.082,,,,
118,07/01/22 07:15:00  PM,7.481,,,,
119,07/01/22 07:30:00  PM,7.079,,,,
120,07/01/22 07:45:00  PM,6.573,,,,
121,07/01/22 08:00:00  PM,6.370,,,,
122,07/01/22 08:15:00  PM,5.860,,,,
123,07/01/22 08:30:00  PM,5.450,,,,
124,07/01/22 08:45:00  PM,5.552,,,,
125,07/01/22 09:00:00  PM,5.860,,,,
126,07/01/22 09:15:00  PM,5.962,,,,
127,07/01/22 09:30:00  PM,5.860,,,,
128,07/01/22 09:45:00  PM,6.166,,,,
129,07/01/22 10:00:00  PM,6.573,,,,
130,07/01/22 10:15:00  PM,5.757,,,,
131,07/01/22 10:30:00  PM,5.141,,,,
132,07/01/22 10:45:00  PM,5.450,,,,
133,07/01/22 11:00:00  PM,5.962,,,,
134,07/01/22 11:15:00  PM,6.064,,,,
135,07/01/22 11:30:00  PM,5.141,,,,
136,07/01/22 11:45:00  PM,4.519,,,,
137,07/02/22 12:00:00  AM,5.655,,,,
138,07/02/22 12:15:00  AM,6.674,,,,
139,07/02/22 12:30:00  AM,6.978,,,,
140,07/02/22 12:45:00  AM,6.775,,,,
141,07/02/22 01:00:00  AM,4.934,,,,
142,07/02/22 01:15:00  AM,4.727,,,,
143,07/02/22 01:30:00  AM,5.347,,,,
144,07/02/22 01:45:00  AM,5.347,,,,
145,07/02/22 02:00:00  AM,5.244,,,,
146,07/02/22 02:15:00  AM,4.831,,,,
147,07/02/22 02:30:00  AM,4.207,,,,
148,07/02/22 02:45:00  AM,4.831,,,,
149,07/02/22 03:00:00  AM,5.450,,,,
150,07/02/22 03:15:00  AM,5.962,,,,
151,07/02/22 03:30:00  AM,5.244,,,,
152,07/02/22 03:45:00  AM,5.757,,,,
153,07/02/22 04:00:00  AM,6.268,,,,
154,07/02/22 04:15:00  AM,6.775,,,,
155,07/02/22 04:30:00  AM,7.481,,,,
156,07/02/22 04:45:00  AM,7.280,,,,
157,07/02/22 05:00:00  AM,7.782,,,,
158,07/02/22 05:15:00  AM,7.882,,,,
159,07/02/22 05:30:00  AM,8.182,,,,
160,07/02/22 05:45:00  AM,8.382,,,,
161,07/02/22 06:00:00  AM,8.182,,,,
162,07/02/22 06:15:00  AM,6.064,,,,
163,07/02/22 06:30:00  AM,5.347,,,,
164,07/02/22 06:45:00  AM,5.655,,,,
165,07/02/22 07:00:00  AM,5.962,,,,
166,07/02/22 07:15:00  AM,5.450,,,,
167,07/02/22 07:30:00  AM,6.268,,,,
168,07/02/22 07:45:00  AM,7.882,,,,
169,07/02/22 08:00:00  AM,8.680,,,,
170,07/02/22 08:15:00  AM,7.983,,,,
171,07/02/22 08:30:00  AM,7.582,,,,
172,07/02/22 08:45:00  AM,7.381,,,,
173,07/02/22 09:00:00  AM,8.481,,,,
174,07/02/22 09:15:00  AM,9.768,,,,
175,07/02/22 09:30:00  AM,11.334,,,,
176,07/02/22 09:45:00  AM,12.110,,,,
177,07/02/22 10:00:00  AM,11.236,,,,
178,07/02/22 10:15:00  AM,11.236,,,,
179,07/02/22 10:30:00  AM,11.528,,,,
180,07/02/22 10:45:00  AM,13.654,,,,
181,07/02/22 11:00:00  AM,14.325,,,,
182,07/02/22 11:15:00  AM,14.134,,,,
183,07/02/22 11:30:00  AM,14.804,,,,
184,07/02/22 11:45:00  AM,15.473,,,,
185,07/02/22 12:00:00  PM,15.664,,,,
186,07/02/22 12:15:00  PM,16.237,,,,
187,07/02/22 12:30:00  PM,15.569,,,,
188,07/02/22 12:45:00  PM,15.091,,,,
189,07/02/22 01:00:00  PM,14.421,,,,
190,07/02/22 01:15:00  PM,14.613,,,,
191,07/02/22 01:30:00  PM,14.996,,,,
192,07/02/22 01:45:00  PM,14.900,,,,
193,07/02/22 02:00:00  PM,14.804,,,,
194,07/02/22 02:15:00  PM,16.141,,,,
195,07/02/22 02:30:00  PM,16.999,,,,
196,07/02/22 02:45:00  PM,16.332,,,,
197,07/02/22 03:00:00  PM,14.230,,,,
198,07/02/22 03:15:00  PM,13.750,,,,
199,07/02/22 03:30:00  PM,13.942,,,,
200,07/02/22 03:45:00  PM,13.942,,,,
201,07/02/22 04:00:00  PM,13.365,,,,
202,07/02/22 04:15:00  PM,12.980,,,,
203,07/02/22 04:30:00  PM,13.846,,,,
204,07/02/22 04:45:00  PM,13.365,,,,
205,07/02/22 05:00:00  PM,11.139,,,,
206,07/02/22 05:15:00  PM,12.013,,,,
207,07/02/22 05:30:00  PM,11.819,,,,
208,07/02/22 05:45:00  PM,10.846,,,,
209,07/02/22 06:00:00  PM,10.063,,,,
210,07/02/22 06:15:00  PM,10.455,,,,
211,07/02/22 06:30:00  PM,11.236,,,,
212,07/02/22 06:45:00  PM,11.431,,,,
213,07/02/22 07:00:00  PM,10.357,,,,
214,07/02/22 07:15:00  PM,9.472,,,,
215,07/02/22 07:30:00  PM,9.571,,,,
216,07/02/22 07:45:00  PM,9.472,,,,
217,07/02/22 08:00:00  PM,9.768,,,,
218,07/02/22 08:15:00  PM,8.879,,,,
219,07/02/22 08:30:00  PM,7.983,,,,
220,07/02/22 08:45:00  PM,7.381,,,,
221,07/02/22 09:00:00  PM,7.882,,,,
222,07/02/22 09:15:00  PM,7.882,,,,
223,07/02/22 09:30:00  PM,7.381,,,,
224,07/02/22 09:45:00  PM,6.775,,,,
225,07/02/22 10:00:00  PM,6.775,,,,
226,07/02/22 10:15:00  PM,6.268,,,,
227,07/02/22 10:30:00  PM,6.166,,,,
228,07/02/22 10:45:00  PM,5.552,,,,
229,07/02/22 11:00:00  PM,5.347,,,,
230,07/02/22 11:15:00  PM,5.962,,,,
231,07/02/22 11:30:00  PM,6.064,,,,
232,07/02/22 11:45:00  PM,6.268,,,,
233,07/03/22 12:00:00  AM,5.860,,,,
234,07/03/22 12:15:00  AM,5.655,,,,
235,07/03/22 12:30:00  AM,5.860,,,,
236,07/03/22 12:45:00  AM,5.655,,,,
237,07/03/22 01:00:00  AM,5.450,,,,
238,07/03/22 01:15:00  AM,5.757,,,,
239,07/03/22 01:30:00  AM,5.860,,,,
240,07/03/22 01:45:00  AM,6.064,,,,
241,07/03/22 02:00:00  AM,5.962,,,,
242,07/03/22 02:15:00  AM,5.141,,,,
243,07/03/22 02:30:00  AM,5.141,,,,
244,07/03/22 02:45:00  AM,4.623,,,,
245,07/03/22 03:00:00  AM,4.519,,,,
246,07/03/22 03:15:00  AM,4.519,,,,
247,07/03/22 03:30:00  AM,3.998,,,,
248,07/03/22 03:45:00  AM,4.102,,,,
249,07/03/22 04:00:00  AM,4.727,,,,
250,07/03/22 04:15:00  AM,5.244,,,,
251,07/03/22 04:30:00  AM,5.244,,,,
252,07/03/22 04:45:00  AM,4.934,,,,
253,07/03/22 05:00:00  AM,4.623,,,,
254,07/03/22 05:15:00  AM,4.519,,,,
255,07/03/22 05:30:00  AM,4.831,,,,
256,07/03/22 05:45:00  AM,5.450,,,,
257,07/03/22 06:00:00  AM,5.757,,,,
258,07/03/22 06:15:00  AM,5.860,,,,
259,07/03/22 06:30:00  AM,6.471,,,,
260,07/03/22 06:45:00  AM,7.682,,,,
261,07/03/22 07:00:00  AM,7.882,,,,
262,07/03/22 07:15:00  AM,8.082,,,,
263,07/03/22 07:30:00  AM,8.581,,,,
264,07/03/22 07:45:00  AM,8.581,,,,
265,07/03/22 08:00:00  AM,8.282,,,,
266,07/03/22 08:15:00  AM,8.680,,,,
267,07/03/22 08:30:00  AM,8.879,,,,
268,07/03/22 08:45:00  AM,8.879,,,,
269,07/03/22 09:00:00  AM,9.176,,,,
270,07/03/22 09:15:00  AM,7.782,,,,
271,07/03/22 09:30:00  AM,7.481,,,,
272,07/03/22 09:45:00  AM,7.582,,,,
273,07/03/22 10:00:00  AM,8.382,,,,
274,07/03/22 10:15:00  AM,8.680,,,,
275,07/03/22 10:30:00  AM,8.879,,,,
276,07/03/22 10:45:00  AM,8.481,,,,
277,07/03/22 11:00:00  AM,8.779,,,,
278,07/03/22 11:15:00  AM,9.176,,,,
279,07/03/22 11:30:00  AM,8.779,,,,
280,07/03/22 11:45:00  AM,8.282,,,,
281,07/03/22 12:00:00  PM,8.282,,,,
282,07/03/22 12:15:00  PM,8.779,,,,
283,07/03/22 12:30:00  PM,9.077,,,,
284,07/03/22 12:45:00  PM,9.373,,,,
285,07/03/22 01:00:00  PM,9.373,,,,
286,07/03/22 01:15:00  PM,9.275,,,,
287,07/03/22 01:30:00  PM,9.077,,,,
288,07/03/22 01:45:00  PM,9.077,,,,
289,07/03/22 02:00:00  PM,8.481,,,,
290,07/03/22 02:15:00  PM,8.978,,,,
291,07/03/22 02:30:00  PM,7.179,,,,
