"Plot Title: HOBO_022 ALE Meadow 3C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10923427, SEN S/N: 10923427, LBL: T_022)","RH, % (LGR S/N: 10923427, SEN S/N: 10923427, LBL: RH_022)","Coupler Detached (LGR S/N: 10923427)","Coupler Attached (LGR S/N: 10923427)","Host Connected (LGR S/N: 10923427)","Stopped (LGR S/N: 10923427)","End Of File (LGR S/N: 10923427)"
1,07/01/22 12:00:00  PM,7.970,61.902,Logged,,,,
2,07/01/22 01:00:00  PM,10.271,53.552,,,,,
3,07/01/22 02:00:00  PM,9.583,57.922,,,,,
4,07/01/22 03:00:00  PM,9.410,57.599,,,,,
5,07/01/22 04:00:00  PM,6.484,68.287,,,,,
6,07/01/22 05:00:00  PM,5.437,72.891,,,,,
7,07/01/22 06:00:00  PM,5.591,72.675,,,,,
8,07/01/22 07:00:00  PM,4.714,75.580,,,,,
9,07/01/22 08:00:00  PM,4.194,78.266,,,,,
10,07/01/22 09:00:00  PM,4.194,78.266,,,,,
11,07/01/22 10:00:00  PM,4.818,75.574,,,,,
12,07/01/22 11:00:00  PM,4.895,79.274,,,,,
13,07/02/22 12:00:00  AM,4.454,79.947,,,,,
14,07/02/22 01:00:00  AM,3.116,83.733,,,,,
15,07/02/22 02:00:00  AM,3.670,81.985,,,,,
16,07/02/22 03:00:00  AM,4.376,82.541,,,,,
17,07/02/22 04:00:00  AM,4.792,79.624,,,,,
18,07/02/22 05:00:00  AM,5.693,75.487,,,,,
19,07/02/22 06:00:00  AM,5.385,75.259,,,,,
20,07/02/22 07:00:00  AM,4.921,84.628,,,,,
21,07/02/22 08:00:00  AM,7.015,76.908,,,,,
22,07/02/22 09:00:00  AM,6.965,74.274,,,,,
23,07/02/22 10:00:00  AM,8.120,68.454,,,,,
24,07/02/22 11:00:00  AM,10.100,62.817,,,,,
25,07/02/22 12:00:00  PM,11.200,58.474,,,,,
26,07/02/22 01:00:00  PM,10.001,61.605,,,,,
27,07/02/22 02:00:00  PM,10.492,61.658,,,,,
28,07/02/22 03:00:00  PM,9.213,62.404,,,,,
29,07/02/22 04:00:00  PM,9.460,62.358,,,,,
30,07/02/22 05:00:00  PM,8.643,66.335,,,,,
31,07/02/22 06:00:00  PM,6.914,71.834,,,,,
32,07/02/22 07:00:00  PM,7.519,69.214,,,,,
33,07/02/22 08:00:00  PM,7.695,69.444,,,,,
34,07/02/22 09:00:00  PM,6.458,75.319,,,,,
35,07/02/22 10:00:00  PM,5.745,78.980,,,,,
36,07/02/22 11:00:00  PM,5.205,82.917,,,,,
37,07/03/22 12:00:00  AM,5.308,81.676,,,,,
38,07/03/22 01:00:00  AM,4.844,83.095,,,,,
39,07/03/22 02:00:00  AM,5.154,83.010,,,,,
40,07/03/22 03:00:00  AM,4.115,81.193,,,,,
41,07/03/22 04:00:00  AM,4.246,51.931,,,,,
42,07/03/22 05:00:00  AM,3.538,42.089,,,,,
43,07/03/22 06:00:00  AM,4.298,41.039,,,,,
44,07/03/22 07:00:00  AM,5.385,40.669,,,,,
45,07/03/22 08:00:00  AM,5.591,34.870,,,,,
46,07/03/22 09:00:00  AM,6.000,32.688,,,,,
47,07/03/22 10:00:00  AM,5.975,33.068,,,,,
48,07/03/22 11:00:00  AM,6.509,30.399,,,,,
49,07/03/22 12:00:00  PM,6.051,30.584,,,,,
50,07/03/22 01:00:00  PM,6.712,31.860,,,,,
51,07/03/22 02:00:00  PM,6.763,32.696,,,,,
52,07/03/22 03:00:00  PM,5.642,33.418,,,,,
53,07/03/22 04:00:00  PM,5.539,33.725,,,,,
54,07/03/22 05:00:00  PM,4.921,35.119,,,,,
55,07/03/22 06:00:00  PM,3.854,36.142,,,,,
56,07/03/22 07:00:00  PM,4.610,38.003,,,,,
57,07/03/22 08:00:00  PM,3.617,38.921,,,,,
58,07/03/22 09:00:00  PM,3.301,40.154,,,,,
59,07/03/22 10:00:00  PM,2.530,40.159,,,,,
