"Plot Title: MEAD_5C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10503880, SEN S/N: 10503880)","Host Connected (LGR S/N: 10503880)","Coupler Attached (LGR S/N: 10503880)","Stopped (LGR S/N: 10503880)","End Of File (LGR S/N: 10503880)"
1,06/30/22 02:00:00  PM,16.808,,,,
2,06/30/22 02:15:00  PM,16.523,,,,
3,06/30/22 02:30:00  PM,17.094,,,,
4,06/30/22 02:45:00  PM,16.046,,,,
5,06/30/22 03:00:00  PM,14.804,,,,
6,06/30/22 03:15:00  PM,14.900,,,,
7,06/30/22 03:30:00  PM,16.237,,,,
8,06/30/22 03:45:00  PM,16.523,,,,
9,06/30/22 04:00:00  PM,16.141,,,,
10,06/30/22 04:15:00  PM,17.094,,,,
11,06/30/22 04:30:00  PM,17.855,,,,
12,06/30/22 04:45:00  PM,17.950,,,,
13,06/30/22 05:00:00  PM,17.475,,,,
14,06/30/22 05:15:00  PM,16.046,,,,
15,06/30/22 05:30:00  PM,16.808,,,,
16,06/30/22 05:45:00  PM,16.808,,,,
17,06/30/22 06:00:00  PM,17.189,,,,
18,06/30/22 06:15:00  PM,17.570,,,,
19,06/30/22 06:30:00  PM,17.570,,,,
20,06/30/22 06:45:00  PM,17.189,,,,
21,06/30/22 07:00:00  PM,16.332,,,,
22,06/30/22 07:15:00  PM,16.046,,,,
23,06/30/22 07:30:00  PM,16.237,,,,
24,06/30/22 07:45:00  PM,14.613,,,,
25,06/30/22 08:00:00  PM,12.594,,,,
26,06/30/22 08:15:00  PM,11.236,,,,
27,06/30/22 08:30:00  PM,12.110,,,,
28,06/30/22 08:45:00  PM,8.082,,,,
29,06/30/22 09:00:00  PM,5.655,,,,
30,06/30/22 09:15:00  PM,5.244,,,,
31,06/30/22 09:30:00  PM,9.077,,,,
32,06/30/22 09:45:00  PM,12.980,,,,
33,06/30/22 10:00:00  PM,13.846,,,,
34,06/30/22 10:15:00  PM,9.669,,,,
