"Plot Title: MEAD_6T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10117436, SEN S/N: 10117436)","Good Battery (LGR S/N: 10117436)","Coupler Attached (LGR S/N: 10117436)","Host Connected (LGR S/N: 10117436)","Stopped (LGR S/N: 10117436)","End Of File (LGR S/N: 10117436)"
1,06/30/22 02:00:00  PM,26.879,Logged,,,,
2,06/30/22 02:15:00  PM,27.272,,,,,
3,06/30/22 02:30:00  PM,27.173,,,,,
4,06/30/22 02:45:00  PM,26.879,,,,,
5,06/30/22 03:00:00  PM,26.097,,,,,
6,06/30/22 03:15:00  PM,25.805,,,,,
7,06/30/22 03:30:00  PM,25.513,,,,,
8,06/30/22 03:45:00  PM,25.513,,,,,
9,06/30/22 04:00:00  PM,25.222,,,,,
10,06/30/22 04:15:00  PM,24.738,,,,,
11,06/30/22 04:30:00  PM,24.738,,,,,
12,06/30/22 04:45:00  PM,23.966,,,,,
13,06/30/22 05:00:00  PM,22.717,,,,,
14,06/30/22 05:15:00  PM,20.424,,,,,
15,06/30/22 05:30:00  PM,18.711,,,,,
16,06/30/22 05:45:00  PM,18.711,,,,,
17,06/30/22 06:00:00  PM,18.521,,,,,
18,06/30/22 06:15:00  PM,18.806,,,,,
19,06/30/22 06:30:00  PM,18.806,,,,,
20,06/30/22 06:45:00  PM,18.331,,,,,
21,06/30/22 07:00:00  PM,17.665,,,,,
22,06/30/22 07:15:00  PM,17.094,,,,,
23,06/30/22 07:30:00  PM,16.808,,,,,
24,06/30/22 07:45:00  PM,16.618,,,,,
25,06/30/22 08:00:00  PM,16.332,,,,,
26,06/30/22 08:15:00  PM,15.473,,,,,
27,06/30/22 08:30:00  PM,15.378,,,,,
28,06/30/22 08:45:00  PM,12.013,,,,,
29,06/30/22 09:00:00  PM,9.077,,,,,
30,06/30/22 09:15:00  PM,7.682,,,,,
31,06/30/22 09:30:00  PM,8.879,,,,,
32,06/30/22 09:45:00  PM,12.497,,,,,
33,06/30/22 10:00:00  PM,14.230,,,,,
34,06/30/22 10:15:00  PM,12.304,,,,,
35,06/30/22 10:30:00  PM,10.259,,,,,
36,06/30/22 10:45:00  PM,9.077,,,,,
37,06/30/22 11:00:00  PM,7.582,,,,,
38,06/30/22 11:15:00  PM,7.882,,,,,
39,06/30/22 11:30:00  PM,8.481,,,,,
40,06/30/22 11:45:00  PM,8.382,,,,,
41,07/01/22 12:00:00  AM,8.182,,,,,
42,07/01/22 12:15:00  AM,7.882,,,,,
43,07/01/22 12:30:00  AM,7.481,,,,,
44,07/01/22 12:45:00  AM,7.079,,,,,
45,07/01/22 01:00:00  AM,6.674,,,,,
46,07/01/22 01:15:00  AM,6.370,,,,,
47,07/01/22 01:30:00  AM,6.370,,,,,
48,07/01/22 01:45:00  AM,6.674,,,,,
49,07/01/22 02:00:00  AM,7.079,,,,,
50,07/01/22 02:15:00  AM,7.280,,,,,
51,07/01/22 02:30:00  AM,7.481,,,,,
52,07/01/22 02:45:00  AM,8.481,,,,,
53,07/01/22 03:00:00  AM,10.161,,,,,
54,07/01/22 03:15:00  AM,11.722,,,,,
55,07/01/22 03:30:00  AM,11.431,,,,,
56,07/01/22 03:45:00  AM,10.455,,,,,
57,07/01/22 04:00:00  AM,9.965,,,,,
58,07/01/22 04:15:00  AM,9.669,,,,,
59,07/01/22 04:30:00  AM,9.176,,,,,
60,07/01/22 04:45:00  AM,8.481,,,,,
61,07/01/22 05:00:00  AM,8.481,,,,,
62,07/01/22 05:15:00  AM,8.680,,,,,
63,07/01/22 05:30:00  AM,9.077,,,,,
64,07/01/22 05:45:00  AM,9.373,,,,,
65,07/01/22 06:00:00  AM,9.571,,,,,
66,07/01/22 06:15:00  AM,9.176,,,,,
67,07/01/22 06:30:00  AM,9.077,,,,,
68,07/01/22 06:45:00  AM,9.472,,,,,
69,07/01/22 07:00:00  AM,11.819,,,,,
70,07/01/22 07:15:00  AM,14.038,,,,,
71,07/01/22 07:30:00  AM,14.038,,,,,
72,07/01/22 07:45:00  AM,13.558,,,,,
73,07/01/22 08:00:00  AM,14.134,,,,,
74,07/01/22 08:15:00  AM,14.325,,,,,
75,07/01/22 08:30:00  AM,13.461,,,,,
76,07/01/22 08:45:00  AM,13.654,,,,,
77,07/01/22 09:00:00  AM,15.091,,,,,
78,07/01/22 09:15:00  AM,16.523,,,,,
79,07/01/22 09:30:00  AM,19.662,,,,,
80,07/01/22 09:45:00  AM,22.525,,,,,
81,07/01/22 10:00:00  AM,23.869,,,,,
82,07/01/22 10:15:00  AM,25.416,,,,,
83,07/01/22 10:30:00  AM,24.062,,,,,
84,07/01/22 10:45:00  AM,23.869,,,,,
85,07/01/22 11:00:00  AM,19.853,,,,,
86,07/01/22 11:15:00  AM,17.189,,,,,
87,07/01/22 11:30:00  AM,15.664,,,,,
88,07/01/22 11:45:00  AM,15.951,,,,,
89,07/01/22 12:00:00  PM,15.951,,,,,
90,07/01/22 12:15:00  PM,15.187,,,,,
91,07/01/22 12:30:00  PM,16.523,,,,,
92,07/01/22 12:45:00  PM,18.806,,,,,
93,07/01/22 01:00:00  PM,20.234,,,,,
94,07/01/22 01:15:00  PM,20.329,,,,,
95,07/01/22 01:30:00  PM,21.760,,,,,
96,07/01/22 01:45:00  PM,20.996,,,,,
97,07/01/22 02:00:00  PM,19.758,,,,,
98,07/01/22 02:15:00  PM,18.331,,,,,
99,07/01/22 02:30:00  PM,17.760,,,,,
100,07/01/22 02:45:00  PM,18.806,,,,,
101,07/01/22 03:00:00  PM,18.996,,,,,
102,07/01/22 03:15:00  PM,18.140,,,,,
