"Plot Title: HOBO_024_ALE_Meadow_7C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10923429, SEN S/N: 10923429, LBL: T_024)","RH, % (LGR S/N: 10923429, SEN S/N: 10923429, LBL: RH_024)","Coupler Detached (LGR S/N: 10923429)","Coupler Attached (LGR S/N: 10923429)","Host Connected (LGR S/N: 10923429)","Stopped (LGR S/N: 10923429)","End Of File (LGR S/N: 10923429)"
1,07/01/22 12:00:00  PM,8.220,63.506,Logged,,,,
2,07/01/22 01:00:00  PM,9.903,62.608,,,,,
3,07/01/22 02:00:00  PM,10.198,61.316,,,,,
4,07/01/22 03:00:00  PM,9.336,60.910,,,,,
5,07/01/22 04:00:00  PM,6.712,70.598,,,,,
6,07/01/22 05:00:00  PM,5.847,74.264,,,,,
7,07/01/22 06:00:00  PM,5.668,73.213,,,,,
8,07/01/22 07:00:00  PM,4.610,78.276,,,,,
9,07/01/22 08:00:00  PM,4.298,79.115,,,,,
10,07/01/22 09:00:00  PM,4.766,80.176,,,,,
11,07/01/22 10:00:00  PM,4.558,77.729,,,,,
12,07/01/22 11:00:00  PM,4.869,80.624,,,,,
13,07/02/22 12:00:00  AM,4.584,77.762,,,,,
14,07/02/22 01:00:00  AM,3.116,83.318,,,,,
15,07/02/22 02:00:00  AM,3.696,81.519,,,,,
16,07/02/22 03:00:00  AM,4.740,81.415,,,,,
17,07/02/22 04:00:00  AM,4.947,79.152,,,,,
18,07/02/22 05:00:00  AM,5.796,75.236,,,,,
19,07/02/22 06:00:00  AM,5.385,74.305,,,,,
20,07/02/22 07:00:00  AM,4.895,82.950,,,,,
21,07/02/22 08:00:00  AM,6.661,77.103,,,,,
22,07/02/22 09:00:00  AM,7.217,72.227,,,,,
23,07/02/22 10:00:00  AM,8.618,66.730,,,,,
24,07/02/22 11:00:00  AM,10.394,61.290,,,,,
25,07/02/22 12:00:00  PM,11.419,60.343,,,,,
26,07/02/22 01:00:00  PM,10.247,63.336,,,,,
27,07/02/22 02:00:00  PM,10.296,63.083,,,,,
28,07/02/22 03:00:00  PM,9.015,64.826,,,,,
29,07/02/22 04:00:00  PM,9.903,62.347,,,,,
30,07/02/22 05:00:00  PM,8.941,66.589,,,,,
31,07/02/22 06:00:00  PM,6.484,74.559,,,,,
32,07/02/22 07:00:00  PM,7.242,72.287,,,,,
33,07/02/22 08:00:00  PM,7.268,72.736,,,,,
34,07/02/22 09:00:00  PM,6.408,75.636,,,,,
35,07/02/22 10:00:00  PM,5.975,80.527,,,,,
36,07/02/22 11:00:00  PM,5.488,83.193,,,,,
37,07/03/22 12:00:00  AM,5.719,82.957,,,,,
38,07/03/22 01:00:00  AM,4.973,83.230,,,,,
39,07/03/22 02:00:00  AM,5.514,83.985,,,,,
