"Plot Title: Hobo_023_ALE_M_7T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10923428, SEN S/N: 10923428, LBL: T_023)","RH, % (LGR S/N: 10923428, SEN S/N: 10923428, LBL: RH_023)","Coupler Detached (LGR S/N: 10923428)","Coupler Attached (LGR S/N: 10923428)","Host Connected (LGR S/N: 10923428)","Stopped (LGR S/N: 10923428)","End Of File (LGR S/N: 10923428)"
1,07/01/22 12:00:00  PM,7.670,63.813,Logged,,,,
2,07/01/22 01:00:00  PM,9.509,60.324,,,,,
3,07/01/22 02:00:00  PM,9.287,60.141,,,,,
4,07/01/22 03:00:00  PM,9.139,60.497,,,,,
5,07/01/22 04:00:00  PM,6.788,68.541,,,,,
6,07/01/22 05:00:00  PM,5.719,72.012,,,,,
7,07/01/22 06:00:00  PM,5.898,71.550,,,,,
8,07/01/22 07:00:00  PM,5.024,74.340,,,,,
9,07/01/22 08:00:00  PM,4.662,77.053,,,,,
10,07/01/22 09:00:00  PM,4.818,76.737,,,,,
11,07/01/22 10:00:00  PM,5.076,74.378,,,,,
12,07/01/22 11:00:00  PM,5.745,79.809,,,,,
13,07/02/22 12:00:00  AM,4.818,77.356,,,,,
14,07/02/22 01:00:00  AM,3.827,79.569,,,,,
15,07/02/22 02:00:00  AM,4.272,78.763,,,,,
16,07/02/22 03:00:00  AM,4.740,79.293,,,,,
17,07/02/22 04:00:00  AM,5.231,78.197,,,,,
18,07/02/22 05:00:00  AM,6.204,72.550,,,,,
19,07/02/22 06:00:00  AM,5.642,72.134,,,,,
20,07/02/22 07:00:00  AM,4.895,81.212,,,,,
21,07/02/22 08:00:00  AM,7.142,76.445,,,,,
22,07/02/22 09:00:00  AM,7.015,73.707,,,,,
23,07/02/22 10:00:00  AM,8.170,67.671,,,,,
24,07/02/22 11:00:00  AM,9.903,62.696,,,,,
25,07/02/22 12:00:00  PM,11.346,59.564,,,,,
26,07/02/22 01:00:00  PM,10.418,60.591,,,,,
27,07/02/22 02:00:00  PM,10.443,62.059,,,,,
28,07/02/22 03:00:00  PM,9.336,62.454,,,,,
29,07/02/22 04:00:00  PM,9.706,61.585,,,,,
30,07/02/22 05:00:00  PM,8.767,65.814,,,,,
31,07/02/22 06:00:00  PM,6.864,71.324,,,,,
32,07/02/22 07:00:00  PM,7.594,69.088,,,,,
33,07/02/22 08:00:00  PM,7.945,68.957,,,,,
34,07/02/22 09:00:00  PM,6.889,72.853,,,,,
35,07/02/22 10:00:00  PM,5.949,77.357,,,,,
36,07/02/22 11:00:00  PM,5.385,80.661,,,,,
37,07/03/22 12:00:00  AM,5.796,80.034,,,,,
38,07/03/22 01:00:00  AM,5.205,81.071,,,,,
39,07/03/22 02:00:00  AM,5.565,83.211,,,,,
40,07/03/22 03:00:00  AM,4.063,92.441,,,,,
41,07/03/22 04:00:00  AM,4.454,93.366,,,,,
42,07/03/22 05:00:00  AM,3.854,93.033,,,,,
43,07/03/22 06:00:00  AM,4.558,93.095,,,,,
44,07/03/22 07:00:00  AM,5.488,93.216,,,,,
45,07/03/22 08:00:00  AM,5.591,92.416,,,,,
46,07/03/22 09:00:00  AM,6.179,92.921,,,,,
47,07/03/22 10:00:00  AM,6.153,93.216,,,,,
48,07/03/22 11:00:00  AM,6.788,93.031,,,,,
49,07/03/22 12:00:00  PM,6.281,92.747,,,,,
50,07/03/22 01:00:00  PM,6.763,92.621,,,,,
51,07/03/22 02:00:00  PM,7.217,92.841,,,,,
52,07/03/22 03:00:00  PM,6.000,93.075,,,,,
53,07/03/22 04:00:00  PM,5.668,93.138,,,,,
54,07/03/22 05:00:00  PM,5.050,93.075,,,,,
55,07/03/22 06:00:00  PM,3.985,92.670,,,,,
56,07/03/22 07:00:00  PM,4.895,93.234,,,,,
57,07/03/22 08:00:00  PM,3.880,93.090,,,,,
58,07/03/22 09:00:00  PM,3.564,93.403,,,,,
59,07/03/22 10:00:00  PM,2.850,93.287,,,,,
60,07/03/22 11:00:00  PM,2.128,93.538,,,,,
61,07/04/22 12:00:00  AM,2.530,93.596,,,,,
62,07/04/22 01:00:00  AM,2.983,93.767,,,,,
63,07/04/22 02:00:00  AM,3.670,93.827,,,,,
64,07/04/22 03:00:00  AM,3.538,93.520,,,,,
65,07/04/22 04:00:00  AM,3.248,93.244,,,,,
66,07/04/22 05:00:00  AM,4.037,93.007,,,,,
67,07/04/22 06:00:00  AM,4.141,92.686,,,,,
68,07/04/22 07:00:00  AM,5.282,92.134,,,,,
69,07/04/22 08:00:00  AM,6.560,91.354,,,,,
70,07/04/22 09:00:00  AM,8.170,90.643,,,,,
71,07/04/22 10:00:00  AM,7.444,90.126,,,,,
72,07/04/22 11:00:00  AM,9.287,88.910,,,,,
73,07/04/22 12:00:00  PM,9.657,87.959,,,,,
74,07/04/22 01:00:00  PM,9.952,86.903,,,,,
75,07/04/22 02:00:00  PM,10.247,86.474,,,,,
76,07/04/22 03:00:00  PM,10.149,84.011,,,,,
77,07/04/22 04:00:00  PM,9.015,82.094,,,,,
78,07/04/22 05:00:00  PM,8.020,82.135,,,,,
79,07/04/22 06:00:00  PM,7.594,76.949,,,,,
80,07/04/22 07:00:00  PM,7.720,73.933,,,,,
81,07/04/22 08:00:00  PM,5.024,80.765,,,,,
82,07/04/22 09:00:00  PM,7.041,72.690,,,,,
83,07/04/22 10:00:00  PM,8.668,68.415,,,,,
84,07/04/22 11:00:00  PM,7.268,72.209,,,,,
85,07/05/22 12:00:00  AM,6.864,68.049,,,,,
86,07/05/22 01:00:00  AM,6.484,68.596,,,,,
87,07/05/22 02:00:00  AM,8.866,68.537,,,,,
88,07/05/22 03:00:00  AM,9.460,61.105,,,,,
89,07/05/22 04:00:00  AM,9.756,59.924,,,,,
90,07/05/22 05:00:00  AM,7.217,73.665,,,,,
91,07/05/22 06:00:00  AM,10.443,64.211,,,,,
92,07/05/22 07:00:00  AM,10.614,63.719,,,,,
93,07/05/22 08:00:00  AM,13.209,56.848,,,,,
94,07/05/22 09:00:00  AM,10.956,63.574,,,,,
95,07/05/22 10:00:00  AM,13.161,58.696,,,,,
96,07/05/22 11:00:00  AM,12.001,60.291,,,,,
97,07/05/22 12:00:00  PM,11.297,62.408,,,,,
98,07/05/22 01:00:00  PM,12.268,59.979,,,,,
99,07/05/22 02:00:00  PM,13.257,59.545,,,,,
100,07/05/22 03:00:00  PM,12.606,59.173,,,,,
101,07/05/22 04:00:00  PM,9.805,67.175,,,,,
102,07/05/22 05:00:00  PM,9.928,66.339,,,,,
103,07/05/22 06:00:00  PM,12.122,65.260,,,,,
104,07/05/22 07:00:00  PM,7.920,71.532,,,,,
105,07/05/22 08:00:00  PM,7.820,86.990,,,,,
106,07/05/22 09:00:00  PM,6.661,88.878,,,,,
107,07/05/22 10:00:00  PM,5.488,88.585,,,,,
108,07/05/22 11:00:00  PM,6.940,89.461,,,,,
109,07/06/22 12:00:00  AM,6.051,90.665,,,,,
110,07/06/22 01:00:00  AM,6.230,91.472,,,,,
111,07/06/22 02:00:00  AM,7.494,91.543,,,,,
112,07/06/22 03:00:00  AM,7.293,91.847,,,,,
113,07/06/22 04:00:00  AM,7.343,91.555,,,,,
114,07/06/22 05:00:00  AM,6.813,91.724,,,,,
115,07/06/22 06:00:00  AM,4.350,91.138,,,,,
116,07/06/22 07:00:00  AM,3.512,91.872,,,,,
117,07/06/22 08:00:00  AM,4.194,91.900,,,,,
118,07/06/22 09:00:00  AM,4.714,91.005,,,,,
119,07/06/22 10:00:00  AM,6.102,90.373,,,,,
120,07/06/22 11:00:00  AM,6.611,89.967,,,,,
121,07/06/22 12:00:00  PM,6.560,88.338,,,,,
122,07/06/22 01:00:00  PM,6.026,88.283,,,,,
123,07/06/22 02:00:00  PM,6.153,87.207,,,,,
124,07/06/22 03:00:00  PM,7.945,85.320,,,,,
125,07/06/22 04:00:00  PM,7.419,83.536,,,,,
126,07/06/22 05:00:00  PM,7.217,83.437,,,,,
127,07/06/22 06:00:00  PM,6.839,83.085,,,,,
128,07/06/22 07:00:00  PM,7.469,82.700,,,,,
129,07/06/22 08:00:00  PM,6.914,85.101,,,,,
130,07/06/22 09:00:00  PM,5.796,84.836,,,,,
131,07/06/22 10:00:00  PM,5.334,85.584,,,,,
132,07/06/22 11:00:00  PM,4.973,86.557,,,,,
133,07/07/22 12:00:00  AM,5.257,88.067,,,,,
134,07/07/22 01:00:00  AM,4.844,87.606,,,,,
135,07/07/22 02:00:00  AM,5.179,87.329,,,,,
136,07/07/22 03:00:00  AM,7.795,80.077,,,,,
137,07/07/22 04:00:00  AM,9.460,70.739,,,,,
138,07/07/22 05:00:00  AM,8.220,76.262,,,,,
139,07/07/22 06:00:00  AM,9.682,73.582,,,,,
140,07/07/22 07:00:00  AM,10.198,72.988,,,,,
141,07/07/22 08:00:00  AM,12.219,68.794,,,,,
142,07/07/22 09:00:00  AM,10.980,71.147,,,,,
143,07/07/22 10:00:00  AM,11.467,68.368,,,,,
144,07/07/22 11:00:00  AM,12.654,65.441,,,,,
145,07/07/22 12:00:00  PM,12.485,66.107,,,,,
146,07/07/22 01:00:00  PM,13.522,65.216,,,,,
147,07/07/22 02:00:00  PM,12.968,64.448,,,,,
148,07/07/22 03:00:00  PM,12.001,65.441,,,,,
149,07/07/22 04:00:00  PM,12.920,63.797,,,,,
150,07/07/22 05:00:00  PM,11.759,67.562,,,,,
151,07/07/22 06:00:00  PM,11.200,67.373,,,,,
152,07/07/22 07:00:00  PM,10.100,69.195,,,,,
153,07/07/22 08:00:00  PM,10.541,68.510,,,,,
154,07/07/22 09:00:00  PM,11.127,62.320,,,,,
155,07/07/22 10:00:00  PM,9.706,63.156,,,,,
156,07/07/22 11:00:00  PM,11.127,65.084,,,,,
157,07/08/22 12:00:00  AM,9.114,65.934,,,,,
158,07/08/22 01:00:00  AM,9.903,63.856,,,,,
159,07/08/22 02:00:00  AM,10.051,65.585,,,,,
160,07/08/22 03:00:00  AM,9.064,66.240,,,,,
161,07/08/22 04:00:00  AM,8.419,67.717,,,,,
162,07/08/22 05:00:00  AM,8.990,67.823,,,,,
163,07/08/22 06:00:00  AM,13.401,58.824,,,,,
164,07/08/22 07:00:00  AM,15.867,57.407,,,,,
165,07/08/22 08:00:00  AM,12.944,63.830,,,,,
166,07/08/22 09:00:00  AM,12.944,59.911,,,,,
167,07/08/22 10:00:00  AM,11.904,63.884,,,,,
168,07/08/22 11:00:00  AM,12.364,61.619,,,,,
169,07/08/22 12:00:00  PM,14.960,55.937,,,,,
170,07/08/22 01:00:00  PM,12.195,59.938,,,,,
171,07/08/22 02:00:00  PM,9.188,74.065,,,,,
172,07/08/22 03:00:00  PM,7.393,79.531,,,,,
173,07/08/22 04:00:00  PM,7.494,79.176,,,,,
174,07/08/22 05:00:00  PM,7.670,85.805,,,,,
175,07/08/22 06:00:00  PM,7.770,75.291,,,,,
176,07/08/22 07:00:00  PM,12.485,63.137,,,,,
177,07/08/22 08:00:00  PM,7.795,76.091,,,,,
178,07/08/22 09:00:00  PM,6.611,81.575,,,,,
179,07/08/22 10:00:00  PM,7.116,88.991,,,,,
180,07/08/22 11:00:00  PM,5.591,86.449,,,,,
181,07/09/22 12:00:00  AM,5.102,82.735,,,,,
182,07/09/22 01:00:00  AM,6.636,83.855,,,,,
183,07/09/22 02:00:00  AM,6.458,85.097,,,,,
184,07/09/22 03:00:00  AM,8.494,80.043,,,,,
185,07/09/22 04:00:00  AM,9.312,66.999,,,,,
186,07/09/22 05:00:00  AM,9.089,72.097,,,,,
187,07/09/22 06:00:00  AM,9.509,74.186,,,,,
188,07/09/22 07:00:00  AM,11.127,69.303,,,,,
189,07/09/22 08:00:00  AM,16.392,61.396,,,,,
190,07/09/22 09:00:00  AM,14.361,60.289,,,,,
191,07/09/22 10:00:00  AM,12.195,65.389,,,,,
192,07/09/22 11:00:00  AM,14.266,60.869,,,,,
193,07/09/22 12:00:00  PM,14.840,58.782,,,,,
194,07/09/22 01:00:00  PM,12.896,64.464,,,,,
195,07/09/22 02:00:00  PM,15.247,55.859,,,,,
196,07/09/22 03:00:00  PM,13.377,60.515,,,,,
197,07/09/22 04:00:00  PM,13.233,60.907,,,,,
198,07/09/22 05:00:00  PM,8.070,71.422,,,,,
199,07/09/22 06:00:00  PM,8.070,71.728,,,,,
200,07/09/22 07:00:00  PM,8.120,73.682,,,,,
201,07/09/22 08:00:00  PM,8.070,74.666,,,,,
202,07/09/22 09:00:00  PM,6.535,82.962,,,,,
203,07/09/22 10:00:00  PM,5.488,80.976,,,,,
204,07/09/22 11:00:00  PM,6.179,74.906,,,,,
205,07/10/22 12:00:00  AM,10.638,66.093,,,,,
206,07/10/22 01:00:00  AM,6.306,80.174,,,,,
207,07/10/22 02:00:00  AM,7.720,72.799,,,,,
208,07/10/22 03:00:00  AM,8.693,64.366,,,,,
209,07/10/22 04:00:00  AM,8.170,69.704,,,,,
210,07/10/22 05:00:00  AM,11.127,69.701,,,,,
211,07/10/22 06:00:00  AM,8.866,69.583,,,,,
212,07/10/22 07:00:00  AM,7.745,77.036,,,,,
213,07/10/22 08:00:00  AM,10.296,88.847,,,,,
214,07/10/22 09:00:00  AM,9.238,83.799,,,,,
215,07/10/22 10:00:00  AM,8.270,79.697,,,,,
216,07/10/22 11:00:00  AM,9.435,82.323,,,,,
217,07/10/22 12:00:00  PM,8.419,87.657,,,,,
218,07/10/22 01:00:00  PM,11.273,86.375,,,,,
219,07/10/22 02:00:00  PM,14.337,70.740,,,,,
220,07/10/22 03:00:00  PM,11.710,74.997,,,,,
221,07/10/22 04:00:00  PM,13.738,67.173,,,,,
222,07/10/22 05:00:00  PM,13.257,67.288,,,,,
