"Plot Title: MEAD_8C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20444009, SEN S/N: 20444009)","Good Battery (LGR S/N: 20444009)","Coupler Attached (LGR S/N: 20444009)","Host Connected (LGR S/N: 20444009)","Stopped (LGR S/N: 20444009)","End Of File (LGR S/N: 20444009)"
1,06/30/22 02:00:00  PM,18.426,Logged,,,,
2,06/30/22 02:15:00  PM,18.711,,,,,
3,06/30/22 02:30:00  PM,18.521,,,,,
4,06/30/22 02:45:00  PM,17.760,,,,,
5,06/30/22 03:00:00  PM,16.332,,,,,
6,06/30/22 03:15:00  PM,15.855,,,,,
7,06/30/22 03:30:00  PM,16.046,,,,,
8,06/30/22 03:45:00  PM,16.523,,,,,
9,06/30/22 04:00:00  PM,16.427,,,,,
10,06/30/22 04:15:00  PM,16.523,,,,,
11,06/30/22 04:30:00  PM,16.523,,,,,
12,06/30/22 04:45:00  PM,16.332,,,,,
13,06/30/22 05:00:00  PM,15.569,,,,,
14,06/30/22 05:15:00  PM,14.613,,,,,
15,06/30/22 05:30:00  PM,14.325,,,,,
16,06/30/22 05:45:00  PM,13.750,,,,,
17,06/30/22 06:00:00  PM,13.558,,,,,
18,06/30/22 06:15:00  PM,13.558,,,,,
19,06/30/22 06:30:00  PM,12.980,,,,,
20,06/30/22 06:45:00  PM,12.497,,,,,
21,06/30/22 07:00:00  PM,11.819,,,,,
22,06/30/22 07:15:00  PM,11.139,,,,,
23,06/30/22 07:30:00  PM,10.846,,,,,
24,06/30/22 07:45:00  PM,11.041,,,,,
25,06/30/22 08:00:00  PM,10.846,,,,,
26,06/30/22 08:15:00  PM,10.161,,,,,
27,06/30/22 08:30:00  PM,9.768,,,,,
28,06/30/22 08:45:00  PM,7.882,,,,,
29,06/30/22 09:00:00  PM,6.268,,,,,
30,06/30/22 09:15:00  PM,5.347,,,,,
31,06/30/22 09:30:00  PM,5.347,,,,,
32,06/30/22 09:45:00  PM,6.775,,,,,
33,06/30/22 10:00:00  PM,7.179,,,,,
34,06/30/22 10:15:00  PM,6.775,,,,,
35,06/30/22 10:30:00  PM,6.471,,,,,
36,06/30/22 10:45:00  PM,6.166,,,,,
37,06/30/22 11:00:00  PM,5.757,,,,,
38,06/30/22 11:15:00  PM,6.775,,,,,
39,06/30/22 11:30:00  PM,6.978,,,,,
40,06/30/22 11:45:00  PM,6.674,,,,,
41,07/01/22 12:00:00  AM,6.471,,,,,
42,07/01/22 12:15:00  AM,6.268,,,,,
43,07/01/22 12:30:00  AM,6.268,,,,,
44,07/01/22 12:45:00  AM,5.860,,,,,
45,07/01/22 01:00:00  AM,5.757,,,,,
46,07/01/22 01:15:00  AM,5.244,,,,,
47,07/01/22 01:30:00  AM,5.450,,,,,
48,07/01/22 01:45:00  AM,5.655,,,,,
49,07/01/22 02:00:00  AM,6.064,,,,,
50,07/01/22 02:15:00  AM,6.370,,,,,
51,07/01/22 02:30:00  AM,6.166,,,,,
