"Plot Title: WILL_11T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20422516, SEN S/N: 20422516, LBL: 10_cm)","Good Battery (LGR S/N: 20422516)","Coupler Attached (LGR S/N: 20422516)","Host Connected (LGR S/N: 20422516)","Stopped (LGR S/N: 20422516)","End Of File (LGR S/N: 20422516)"
1,06/26/22 12:00:00  PM,13.461,Logged,,,,
2,06/26/22 12:30:00  PM,15.569,,,,,
3,06/26/22 01:00:00  PM,15.187,,,,,
4,06/26/22 01:30:00  PM,15.091,,,,,
5,06/26/22 02:00:00  PM,15.091,,,,,
6,06/26/22 02:30:00  PM,14.996,,,,,
7,06/26/22 03:00:00  PM,14.804,,,,,
8,06/26/22 03:30:00  PM,10.357,,,,,
9,06/26/22 04:00:00  PM,9.373,,,,,
10,06/26/22 04:30:00  PM,8.082,,,,,
11,06/26/22 05:00:00  PM,8.581,,,,,
12,06/26/22 05:30:00  PM,8.779,,,,,
13,06/26/22 06:00:00  PM,8.481,,,,,
14,06/26/22 06:30:00  PM,9.669,,,,,
15,06/26/22 07:00:00  PM,10.259,,,,,
16,06/26/22 07:30:00  PM,10.259,,,,,
17,06/26/22 08:00:00  PM,11.334,,,,,
18,06/26/22 08:30:00  PM,10.455,,,,,
19,06/26/22 09:00:00  PM,7.983,,,,,
20,06/26/22 09:30:00  PM,6.573,,,,,
21,06/26/22 10:00:00  PM,7.179,,,,,
22,06/26/22 10:30:00  PM,8.282,,,,,
23,06/26/22 11:00:00  PM,7.079,,,,,
24,06/26/22 11:30:00  PM,5.860,,,,,
25,06/27/22 12:00:00  AM,7.782,,,,,
26,06/27/22 12:30:00  AM,6.268,,,,,
27,06/27/22 01:00:00  AM,6.166,,,,,
28,06/27/22 01:30:00  AM,6.370,,,,,
29,06/27/22 02:00:00  AM,7.079,,,,,
30,06/27/22 02:30:00  AM,8.779,,,,,
31,06/27/22 03:00:00  AM,9.571,,,,,
32,06/27/22 03:30:00  AM,8.978,,,,,
33,06/27/22 04:00:00  AM,12.690,,,,,
34,06/27/22 04:30:00  AM,13.173,,,,,
35,06/27/22 05:00:00  AM,10.357,,,,,
36,06/27/22 05:30:00  AM,9.965,,,,,
37,06/27/22 06:00:00  AM,12.594,,,,,
38,06/27/22 06:30:00  AM,11.236,,,,,
39,06/27/22 07:00:00  AM,9.571,,,,,
40,06/27/22 07:30:00  AM,12.594,,,,,
41,06/27/22 08:00:00  AM,14.900,,,,,
42,06/27/22 08:30:00  AM,14.230,,,,,
43,06/27/22 09:00:00  AM,14.613,,,,,
44,06/27/22 09:30:00  AM,13.558,,,,,
45,06/27/22 10:00:00  AM,15.760,,,,,
46,06/27/22 10:30:00  AM,18.331,,,,,
47,06/27/22 11:00:00  AM,17.855,,,,,
48,06/27/22 11:30:00  AM,17.189,,,,,
49,06/27/22 12:00:00  PM,16.332,,,,,
50,06/27/22 12:30:00  PM,15.282,,,,,
51,06/27/22 01:00:00  PM,14.613,,,,,
52,06/27/22 01:30:00  PM,17.284,,,,,
53,06/27/22 02:00:00  PM,17.094,,,,,
54,06/27/22 02:30:00  PM,14.996,,,,,
55,06/27/22 03:00:00  PM,14.421,,,,,
56,06/27/22 03:30:00  PM,13.654,,,,,
57,06/27/22 04:00:00  PM,14.134,,,,,
58,06/27/22 04:30:00  PM,15.378,,,,,
59,06/27/22 05:00:00  PM,13.365,,,,,
60,06/27/22 05:30:00  PM,15.187,,,,,
61,06/27/22 06:00:00  PM,14.900,,,,,
62,06/27/22 06:30:00  PM,15.760,,,,,
63,06/27/22 07:00:00  PM,15.282,,,,,
64,06/27/22 07:30:00  PM,16.237,,,,,
65,06/27/22 08:00:00  PM,15.473,,,,,
66,06/27/22 08:30:00  PM,15.855,,,,,
67,06/27/22 09:00:00  PM,14.709,,,,,
