"Plot Title: WILL_13T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547752, SEN S/N: 20547752, LBL: 10_cm)","Coupler Attached (LGR S/N: 20547752)","Host Connected (LGR S/N: 20547752)","Stopped (LGR S/N: 20547752)","End Of File (LGR S/N: 20547752)"
1,06/26/22 12:00:00  PM,11.916,,,,
2,06/26/22 12:30:00  PM,13.269,,,,
3,06/26/22 01:00:00  PM,13.654,,,,
4,06/26/22 01:30:00  PM,12.980,,,,
5,06/26/22 02:00:00  PM,13.558,,,,
6,06/26/22 02:30:00  PM,13.846,,,,
7,06/26/22 03:00:00  PM,13.558,,,,
8,06/26/22 03:30:00  PM,9.373,,,,
9,06/26/22 04:00:00  PM,8.382,,,,
10,06/26/22 04:30:00  PM,7.179,,,,
11,06/26/22 05:00:00  PM,7.582,,,,
12,06/26/22 05:30:00  PM,7.782,,,,
13,06/26/22 06:00:00  PM,7.481,,,,
14,06/26/22 06:30:00  PM,8.581,,,,
15,06/26/22 07:00:00  PM,9.275,,,,
16,06/26/22 07:30:00  PM,9.077,,,,
17,06/26/22 08:00:00  PM,9.866,,,,
18,06/26/22 08:30:00  PM,9.176,,,,
19,06/26/22 09:00:00  PM,7.079,,,,
20,06/26/22 09:30:00  PM,5.962,,,,
21,06/26/22 10:00:00  PM,6.573,,,,
22,06/26/22 10:30:00  PM,7.381,,,,
23,06/26/22 11:00:00  PM,6.268,,,,
24,06/26/22 11:30:00  PM,5.347,,,,
25,06/27/22 12:00:00  AM,6.775,,,,
26,06/27/22 12:30:00  AM,5.757,,,,
27,06/27/22 01:00:00  AM,5.552,,,,
28,06/27/22 01:30:00  AM,5.552,,,,
29,06/27/22 02:00:00  AM,6.268,,,,
30,06/27/22 02:30:00  AM,7.582,,,,
31,06/27/22 03:00:00  AM,8.282,,,,
32,06/27/22 03:30:00  AM,8.082,,,,
33,06/27/22 04:00:00  AM,10.748,,,,
34,06/27/22 04:30:00  AM,11.819,,,,
35,06/27/22 05:00:00  AM,9.176,,,,
36,06/27/22 05:30:00  AM,8.978,,,,
37,06/27/22 06:00:00  AM,11.236,,,,
38,06/27/22 06:30:00  AM,9.866,,,,
39,06/27/22 07:00:00  AM,8.481,,,,
40,06/27/22 07:30:00  AM,11.041,,,,
41,06/27/22 08:00:00  AM,13.076,,,,
42,06/27/22 08:30:00  AM,12.690,,,,
43,06/27/22 09:00:00  AM,12.690,,,,
44,06/27/22 09:30:00  AM,11.625,,,,
45,06/27/22 10:00:00  AM,12.304,,,,
46,06/27/22 10:30:00  AM,14.709,,,,
47,06/27/22 11:00:00  AM,15.187,,,,
48,06/27/22 11:30:00  AM,15.951,,,,
49,06/27/22 12:00:00  PM,15.664,,,,
50,06/27/22 12:30:00  PM,14.517,,,,
51,06/27/22 01:00:00  PM,14.230,,,,
52,06/27/22 01:30:00  PM,16.332,,,,
53,06/27/22 02:00:00  PM,14.900,,,,
54,06/27/22 02:30:00  PM,13.461,,,,
55,06/27/22 03:00:00  PM,14.613,,,,
56,06/27/22 03:30:00  PM,13.076,,,,
57,06/27/22 04:00:00  PM,13.365,,,,
58,06/27/22 04:30:00  PM,14.325,,,,
59,06/27/22 05:00:00  PM,12.013,,,,
60,06/27/22 05:30:00  PM,12.690,,,,
61,06/27/22 06:00:00  PM,12.690,,,,
62,06/27/22 06:30:00  PM,13.076,,,,
63,06/27/22 07:00:00  PM,12.401,,,,
64,06/27/22 07:30:00  PM,12.787,,,,
65,06/27/22 08:00:00  PM,11.139,,,,
66,06/27/22 08:30:00  PM,10.651,,,,
67,06/27/22 09:00:00  PM,10.748,,,,
68,06/27/22 09:30:00  PM,9.866,,,,
69,06/27/22 10:00:00  PM,8.581,,,,
70,06/27/22 10:30:00  PM,8.680,,,,
71,06/27/22 11:00:00  PM,9.472,,,,
72,06/27/22 11:30:00  PM,8.182,,,,
73,06/28/22 12:00:00  AM,9.768,,,,
74,06/28/22 12:30:00  AM,8.680,,,,
75,06/28/22 01:00:00  AM,8.879,,,,
76,06/28/22 01:30:00  AM,9.768,,,,
77,06/28/22 02:00:00  AM,8.680,,,,
78,06/28/22 02:30:00  AM,9.275,,,,
79,06/28/22 03:00:00  AM,10.651,,,,
80,06/28/22 03:30:00  AM,9.866,,,,
81,06/28/22 04:00:00  AM,10.161,,,,
82,06/28/22 04:30:00  AM,11.431,,,,
83,06/28/22 05:00:00  AM,12.883,,,,
84,06/28/22 05:30:00  AM,12.980,,,,
85,06/28/22 06:00:00  AM,12.787,,,,
86,06/28/22 06:30:00  AM,11.819,,,,
87,06/28/22 07:00:00  AM,14.996,,,,
88,06/28/22 07:30:00  AM,17.284,,,,
89,06/28/22 08:00:00  AM,17.950,,,,
90,06/28/22 08:30:00  AM,21.091,,,,
91,06/28/22 09:00:00  AM,19.282,,,,
92,06/28/22 09:30:00  AM,18.616,,,,
93,06/28/22 10:00:00  AM,19.377,,,,
94,06/28/22 10:30:00  AM,18.521,,,,
95,06/28/22 11:00:00  AM,20.138,,,,
96,06/28/22 11:30:00  AM,20.234,,,,
97,06/28/22 12:00:00  PM,19.662,,,,
98,06/28/22 12:30:00  PM,18.616,,,,
99,06/28/22 01:00:00  PM,19.092,,,,
100,06/28/22 01:30:00  PM,20.138,,,,
101,06/28/22 02:00:00  PM,21.091,,,,
102,06/28/22 02:30:00  PM,19.662,,,,
103,06/28/22 03:00:00  PM,18.711,,,,
104,06/28/22 03:30:00  PM,16.046,,,,
105,06/28/22 04:00:00  PM,14.038,,,,
106,06/28/22 04:30:00  PM,15.282,,,,
107,06/28/22 05:00:00  PM,14.230,,,,
108,06/28/22 05:30:00  PM,15.187,,,,
109,06/28/22 06:00:00  PM,15.664,,,,
110,06/28/22 06:30:00  PM,15.378,,,,
111,06/28/22 07:00:00  PM,16.427,,,,
112,06/28/22 07:30:00  PM,15.378,,,,
113,06/28/22 08:00:00  PM,13.076,,,,
114,06/28/22 08:30:00  PM,11.722,,,,
115,06/28/22 09:00:00  PM,10.161,,,,
116,06/28/22 09:30:00  PM,9.669,,,,
117,06/28/22 10:00:00  PM,11.139,,,,
118,06/28/22 10:30:00  PM,11.431,,,,
119,06/28/22 11:00:00  PM,11.431,,,,
120,06/28/22 11:30:00  PM,12.304,,,,
121,06/29/22 12:00:00  AM,12.013,,,,
122,06/29/22 12:30:00  AM,11.722,,,,
123,06/29/22 01:00:00  AM,11.528,,,,
124,06/29/22 01:30:00  AM,10.846,,,,
125,06/29/22 02:00:00  AM,10.944,,,,
126,06/29/22 02:30:00  AM,11.041,,,,
127,06/29/22 03:00:00  AM,11.334,,,,
128,06/29/22 03:30:00  AM,13.558,,,,
129,06/29/22 04:00:00  AM,15.569,,,,
130,06/29/22 04:30:00  AM,15.951,,,,
131,06/29/22 05:00:00  AM,18.616,,,,
132,06/29/22 05:30:00  AM,18.045,,,,
133,06/29/22 06:00:00  AM,20.805,,,,
134,06/29/22 06:30:00  AM,20.710,,,,
135,06/29/22 07:00:00  AM,21.282,,,,
136,06/29/22 07:30:00  AM,20.996,,,,
137,06/29/22 08:00:00  AM,17.189,,,,
138,06/29/22 08:30:00  AM,16.427,,,,
139,06/29/22 09:00:00  AM,18.331,,,,
140,06/29/22 09:30:00  AM,15.473,,,,
141,06/29/22 10:00:00  AM,17.284,,,,
142,06/29/22 10:30:00  AM,16.808,,,,
143,06/29/22 11:00:00  AM,16.046,,,,
