"Plot Title: WILL_7T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10139946, SEN S/N: 10139946, LBL: 10_cm)","Good Battery (LGR S/N: 10139946)","Coupler Attached (LGR S/N: 10139946)","Host Connected (LGR S/N: 10139946)","Stopped (LGR S/N: 10139946)","End Of File (LGR S/N: 10139946)"
1,06/26/22 12:00:00  PM,18.045,Logged,,,,
2,06/26/22 12:15:00  PM,18.236,,,,,
3,06/26/22 12:30:00  PM,18.331,,,,,
4,06/26/22 12:45:00  PM,16.237,,,,,
5,06/26/22 01:00:00  PM,16.427,,,,,
6,06/26/22 01:15:00  PM,17.665,,,,,
7,06/26/22 01:30:00  PM,18.331,,,,,
8,06/26/22 01:45:00  PM,17.379,,,,,
9,06/26/22 02:00:00  PM,18.140,,,,,
10,06/26/22 02:15:00  PM,18.616,,,,,
11,06/26/22 02:30:00  PM,20.329,,,,,
12,06/26/22 02:45:00  PM,23.388,,,,,
13,06/26/22 03:00:00  PM,22.238,,,,,
14,06/26/22 03:15:00  PM,19.567,,,,,
15,06/26/22 03:30:00  PM,16.713,,,,,
16,06/26/22 03:45:00  PM,15.378,,,,,
17,06/26/22 04:00:00  PM,14.613,,,,,
18,06/26/22 04:15:00  PM,12.980,,,,,
19,06/26/22 04:30:00  PM,11.819,,,,,
20,06/26/22 04:45:00  PM,11.041,,,,,
21,06/26/22 05:00:00  PM,11.528,,,,,
22,06/26/22 05:15:00  PM,11.625,,,,,
23,06/26/22 05:30:00  PM,11.625,,,,,
24,06/26/22 05:45:00  PM,11.334,,,,,
25,06/26/22 06:00:00  PM,11.139,,,,,
26,06/26/22 06:15:00  PM,11.431,,,,,
27,06/26/22 06:30:00  PM,11.819,,,,,
28,06/26/22 06:45:00  PM,11.431,,,,,
29,06/26/22 07:00:00  PM,10.846,,,,,
30,06/26/22 07:15:00  PM,10.748,,,,,
31,06/26/22 07:30:00  PM,10.846,,,,,
32,06/26/22 07:45:00  PM,10.944,,,,,
33,06/26/22 08:00:00  PM,11.236,,,,,
34,06/26/22 08:15:00  PM,11.334,,,,,
35,06/26/22 08:30:00  PM,11.722,,,,,
36,06/26/22 08:45:00  PM,11.625,,,,,
37,06/26/22 09:00:00  PM,10.651,,,,,
38,06/26/22 09:15:00  PM,9.373,,,,,
39,06/26/22 09:30:00  PM,8.680,,,,,
40,06/26/22 09:45:00  PM,8.082,,,,,
41,06/26/22 10:00:00  PM,8.581,,,,,
42,06/26/22 10:15:00  PM,9.275,,,,,
43,06/26/22 10:30:00  PM,10.259,,,,,
44,06/26/22 10:45:00  PM,10.651,,,,,
45,06/26/22 11:00:00  PM,9.669,,,,,
46,06/26/22 11:15:00  PM,8.182,,,,,
47,06/26/22 11:30:00  PM,7.582,,,,,
48,06/26/22 11:45:00  PM,8.481,,,,,
49,06/27/22 12:00:00  AM,9.669,,,,,
50,06/27/22 12:15:00  AM,8.779,,,,,
51,06/27/22 12:30:00  AM,7.983,,,,,
52,06/27/22 12:45:00  AM,7.983,,,,,
53,06/27/22 01:00:00  AM,7.782,,,,,
54,06/27/22 01:15:00  AM,7.481,,,,,
55,06/27/22 01:30:00  AM,7.381,,,,,
56,06/27/22 01:45:00  AM,7.381,,,,,
57,06/27/22 02:00:00  AM,8.182,,,,,
58,06/27/22 02:15:00  AM,9.275,,,,,
59,06/27/22 02:30:00  AM,10.063,,,,,
60,06/27/22 02:45:00  AM,10.748,,,,,
61,06/27/22 03:00:00  AM,11.334,,,,,
62,06/27/22 03:15:00  AM,10.553,,,,,
63,06/27/22 03:30:00  AM,10.553,,,,,
64,06/27/22 03:45:00  AM,14.517,,,,,
65,06/27/22 04:00:00  AM,16.618,,,,,
66,06/27/22 04:15:00  AM,15.187,,,,,
67,06/27/22 04:30:00  AM,13.750,,,,,
68,06/27/22 04:45:00  AM,13.269,,,,,
69,06/27/22 05:00:00  AM,13.173,,,,,
70,06/27/22 05:15:00  AM,12.980,,,,,
71,06/27/22 05:30:00  AM,13.365,,,,,
72,06/27/22 05:45:00  AM,14.134,,,,,
73,06/27/22 06:00:00  AM,15.664,,,,,
74,06/27/22 06:15:00  AM,18.140,,,,,
75,06/27/22 06:30:00  AM,16.427,,,,,
76,06/27/22 06:45:00  AM,14.517,,,,,
77,06/27/22 07:00:00  AM,13.269,,,,,
78,06/27/22 07:15:00  AM,13.365,,,,,
79,06/27/22 07:30:00  AM,14.709,,,,,
80,06/27/22 07:45:00  AM,14.325,,,,,
