"Plot Title: GlaucGull South 0.5 + 3.9 Soil"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9725070, SEN S/N: 9725070)","Temp, °C (LGR S/N: 9725070, SEN S/N: 9725070)","Batt, V (LGR S/N: 9725070, SEN S/N: 9725070)","Coupler Detached (LGR S/N: 9725070)","Coupler Attached (LGR S/N: 9725070)","Stopped (LGR S/N: 9725070)","End Of File (LGR S/N: 9725070)"
1,08/18/21 11:00:00  AM,3.459,4.558,3.53,Logged,,,
2,08/18/21 12:00:00  PM,3.670,4.973,3.53,,,,
3,08/18/21 01:00:00  PM,3.827,5.616,3.53,,,,
4,08/18/21 02:00:00  PM,4.921,6.458,3.55,,,,
5,08/18/21 03:00:00  PM,3.880,6.763,3.53,,,,
6,08/18/21 04:00:00  PM,2.983,6.484,3.53,,,,
7,08/18/21 05:00:00  PM,3.009,6.281,3.53,,,,
8,08/18/21 06:00:00  PM,3.036,6.712,3.53,,,,
9,08/18/21 07:00:00  PM,3.089,6.204,3.53,,,,
10,08/18/21 08:00:00  PM,3.512,5.642,3.53,,,,
11,08/18/21 09:00:00  PM,2.956,5.282,3.53,,,,
12,08/18/21 10:00:00  PM,2.717,5.024,3.51,,,,
13,08/18/21 11:00:00  PM,3.009,4.766,3.51,,,,
14,08/19/21 12:00:00  AM,2.450,4.350,3.51,,,,
15,08/19/21 01:00:00  AM,1.859,3.722,3.51,,,,
16,08/19/21 02:00:00  AM,2.610,3.301,3.49,,,,
17,08/19/21 03:00:00  AM,2.343,3.063,3.51,,,,
18,08/19/21 04:00:00  AM,2.343,2.903,3.51,,,,
19,08/19/21 05:00:00  AM,4.869,2.850,3.53,,,,
20,08/19/21 06:00:00  AM,4.350,2.823,3.53,,,,
21,08/19/21 07:00:00  AM,4.558,2.877,3.55,,,,
22,08/19/21 08:00:00  AM,3.063,2.983,3.53,,,,
23,08/19/21 09:00:00  AM,3.459,3.142,3.53,,,,
24,08/19/21 10:00:00  AM,4.272,3.380,3.53,,,,
25,08/19/21 11:00:00  AM,3.459,3.827,3.53,,,,
26,08/19/21 12:00:00  PM,3.670,4.402,3.53,,,,
27,08/19/21 01:00:00  PM,3.301,5.205,3.53,,,,
28,08/19/21 02:00:00  PM,3.775,6.000,3.53,,,,
29,08/19/21 03:00:00  PM,3.591,6.661,3.53,,,,
30,08/19/21 04:00:00  PM,3.433,6.357,3.53,,,,
31,08/19/21 05:00:00  PM,3.063,6.077,3.53,,,,
32,08/19/21 06:00:00  PM,4.298,6.051,3.53,,,,
33,08/19/21 07:00:00  PM,2.744,5.514,3.51,,,,
34,08/19/21 08:00:00  PM,2.477,5.024,3.51,,,,
35,08/19/21 09:00:00  PM,2.236,4.766,3.51,,,,
36,08/19/21 10:00:00  PM,1.994,4.532,3.51,,,,
37,08/19/21 11:00:00  PM,2.021,4.324,3.51,,,,
38,08/20/21 12:00:00  AM,1.859,4.220,3.51,,,,
39,08/20/21 01:00:00  AM,1.561,4.011,3.51,,,,
40,08/20/21 02:00:00  AM,0.825,3.827,3.51,,,,
41,08/20/21 03:00:00  AM,1.126,3.722,3.51,,,,
