"Plot Title: DRYAS_C11"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740219, SEN S/N: 9740219)","Coupler Attached (LGR S/N: 9740219)","Host Connected (LGR S/N: 9740219)","Stopped (LGR S/N: 9740219)","End Of File (LGR S/N: 9740219)"
1,07/02/22 04:00:00  PM,10.748,,,,
2,07/02/22 04:15:00  PM,10.063,,,,
3,07/02/22 04:30:00  PM,10.944,,,,
4,07/02/22 04:45:00  PM,10.748,,,,
5,07/02/22 05:00:00  PM,9.669,,,,
6,07/02/22 05:15:00  PM,10.259,,,,
7,07/02/22 05:30:00  PM,10.455,,,,
8,07/02/22 05:45:00  PM,9.275,,,,
9,07/02/22 06:00:00  PM,8.082,,,,
10,07/02/22 06:15:00  PM,7.983,,,,
11,07/02/22 06:30:00  PM,8.978,,,,
12,07/02/22 06:45:00  PM,8.879,,,,
13,07/02/22 07:00:00  PM,8.382,,,,
14,07/02/22 07:15:00  PM,7.682,,,,
15,07/02/22 07:30:00  PM,7.782,,,,
16,07/02/22 07:45:00  PM,8.182,,,,
17,07/02/22 08:00:00  PM,8.581,,,,
18,07/02/22 08:15:00  PM,7.481,,,,
19,07/02/22 08:30:00  PM,6.674,,,,
20,07/02/22 08:45:00  PM,6.471,,,,
21,07/02/22 09:00:00  PM,6.978,,,,
22,07/02/22 09:15:00  PM,6.775,,,,
23,07/02/22 09:30:00  PM,6.573,,,,
24,07/02/22 09:45:00  PM,6.166,,,,
25,07/02/22 10:00:00  PM,6.370,,,,
26,07/02/22 10:15:00  PM,6.268,,,,
27,07/02/22 10:30:00  PM,6.166,,,,
28,07/02/22 10:45:00  PM,6.064,,,,
29,07/02/22 11:00:00  PM,5.655,,,,
30,07/02/22 11:15:00  PM,6.064,,,,
31,07/02/22 11:30:00  PM,6.064,,,,
32,07/02/22 11:45:00  PM,6.064,,,,
33,07/03/22 12:00:00  AM,5.962,,,,
34,07/03/22 12:15:00  AM,5.757,,,,
35,07/03/22 12:30:00  AM,5.757,,,,
36,07/03/22 12:45:00  AM,5.141,,,,
37,07/03/22 01:00:00  AM,5.141,,,,
38,07/03/22 01:15:00  AM,5.347,,,,
39,07/03/22 01:30:00  AM,5.244,,,,
40,07/03/22 01:45:00  AM,5.552,,,,
41,07/03/22 02:00:00  AM,5.757,,,,
42,07/03/22 02:15:00  AM,5.141,,,,
43,07/03/22 02:30:00  AM,4.831,,,,
44,07/03/22 02:45:00  AM,4.727,,,,
45,07/03/22 03:00:00  AM,4.727,,,,
46,07/03/22 03:15:00  AM,4.519,,,,
47,07/03/22 03:30:00  AM,3.998,,,,
48,07/03/22 03:45:00  AM,3.998,,,,
49,07/03/22 04:00:00  AM,4.311,,,,
50,07/03/22 04:15:00  AM,4.727,,,,
51,07/03/22 04:30:00  AM,4.311,,,,
52,07/03/22 04:45:00  AM,4.102,,,,
53,07/03/22 05:00:00  AM,3.998,,,,
54,07/03/22 05:15:00  AM,3.893,,,,
55,07/03/22 05:30:00  AM,4.102,,,,
56,07/03/22 05:45:00  AM,4.415,,,,
57,07/03/22 06:00:00  AM,4.623,,,,
58,07/03/22 06:15:00  AM,4.623,,,,
59,07/03/22 06:30:00  AM,5.141,,,,
60,07/03/22 06:45:00  AM,5.860,,,,
61,07/03/22 07:00:00  AM,6.268,,,,
62,07/03/22 07:15:00  AM,6.674,,,,
63,07/03/22 07:30:00  AM,7.481,,,,
64,07/03/22 07:45:00  AM,7.582,,,,
65,07/03/22 08:00:00  AM,6.978,,,,
66,07/03/22 08:15:00  AM,6.877,,,,
67,07/03/22 08:30:00  AM,6.877,,,,
68,07/03/22 08:45:00  AM,6.775,,,,
69,07/03/22 09:00:00  AM,7.079,,,,
70,07/03/22 09:15:00  AM,6.370,,,,
71,07/03/22 09:30:00  AM,6.268,,,,
72,07/03/22 09:45:00  AM,6.370,,,,
73,07/03/22 10:00:00  AM,6.775,,,,
74,07/03/22 10:15:00  AM,7.280,,,,
75,07/03/22 10:30:00  AM,7.582,,,,
76,07/03/22 10:45:00  AM,7.582,,,,
77,07/03/22 11:00:00  AM,7.280,,,,
78,07/03/22 11:15:00  AM,7.481,,,,
79,07/03/22 11:30:00  AM,7.280,,,,
80,07/03/22 11:45:00  AM,7.179,,,,
81,07/03/22 12:00:00  PM,7.179,,,,
82,07/03/22 12:15:00  PM,7.079,,,,
83,07/03/22 12:30:00  PM,7.280,,,,
84,07/03/22 12:45:00  PM,7.179,,,,
85,07/03/22 01:00:00  PM,7.381,,,,
86,07/03/22 01:15:00  PM,7.280,,,,
87,07/03/22 01:30:00  PM,7.079,,,,
88,07/03/22 01:45:00  PM,6.775,,,,
89,07/03/22 02:00:00  PM,6.877,,,,
90,07/03/22 02:15:00  PM,7.381,,,,
91,07/03/22 02:30:00  PM,6.370,,,,
92,07/03/22 02:45:00  PM,5.962,,,,
93,07/03/22 03:00:00  PM,6.370,,,,
94,07/03/22 03:15:00  PM,6.573,,,,
95,07/03/22 03:30:00  PM,6.775,,,,
