"Plot Title: DRYAS CTL 7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9702266, SEN S/N: 9702266, LBL: 10 cm)","RH, % (LGR S/N: 9702266, SEN S/N: 9702266, LBL: 10 cm)","Good Battery (LGR S/N: 9702266)","Coupler Detached (LGR S/N: 9702266)","Coupler Attached (LGR S/N: 9702266)","Host Connected (LGR S/N: 9702266)","Stopped (LGR S/N: 9702266)","End Of File (LGR S/N: 9702266)"
1,07/02/22 04:00:00  PM,10.075,63.190,Logged,Logged,,,,
2,07/02/22 04:30:00  PM,10.247,64.466,,,,,,
3,07/02/22 05:00:00  PM,8.965,66.822,,,,,,
4,07/02/22 05:30:00  PM,9.534,67.924,,,,,,
5,07/02/22 06:00:00  PM,7.318,72.080,,,,,,
6,07/02/22 06:30:00  PM,8.369,71.452,,,,,,
7,07/02/22 07:00:00  PM,7.795,71.869,,,,,,
8,07/02/22 07:30:00  PM,7.343,71.752,,,,,,
9,07/02/22 08:00:00  PM,8.045,70.662,,,,,,
10,07/02/22 08:30:00  PM,6.000,77.016,,,,,,
11,07/02/22 09:00:00  PM,6.560,77.731,,,,,,
12,07/02/22 09:30:00  PM,6.051,78.752,,,,,,
13,07/02/22 10:00:00  PM,5.949,80.282,,,,,,
14,07/02/22 10:30:00  PM,5.847,81.958,,,,,,
15,07/02/22 11:00:00  PM,5.282,83.066,,,,,,
16,07/02/22 11:30:00  PM,5.745,79.489,,,,,,
17,07/03/22 12:00:00  AM,5.668,82.287,,,,,,
18,07/03/22 12:30:00  AM,5.488,81.400,,,,,,
19,07/03/22 01:00:00  AM,4.947,84.269,,,,,,
20,07/03/22 01:30:00  AM,4.921,83.584,,,,,,
21,07/03/22 02:00:00  AM,5.360,85.486,,,,,,
22,07/03/22 02:30:00  AM,4.506,89.308,,,,,,
23,07/03/22 03:00:00  AM,4.402,93.899,,,,,,
24,07/03/22 03:30:00  AM,3.512,95.703,,,,,,
25,07/03/22 04:00:00  AM,4.089,97.301,,,,,,
26,07/03/22 04:30:00  AM,3.932,96.819,,,,,,
27,07/03/22 05:00:00  AM,3.564,96.815,,,,,,
28,07/03/22 05:30:00  AM,3.749,97.692,,,,,,
29,07/03/22 06:00:00  AM,4.194,97.622,,,,,,
30,07/03/22 06:30:00  AM,4.766,98.268,,,,,,
31,07/03/22 07:00:00  AM,5.668,98.570,,,,,,
32,07/03/22 07:30:00  AM,6.661,98.360,,,,,,
33,07/03/22 08:00:00  AM,6.255,97.045,,,,,,
34,07/03/22 08:30:00  AM,6.255,98.051,,,,,,
35,07/03/22 09:00:00  AM,6.408,97.922,,,,,,
36,07/03/22 09:30:00  AM,5.693,98.285,,,,,,
37,07/03/22 10:00:00  AM,6.255,98.930,,,,,,
38,07/03/22 10:30:00  AM,6.965,98.445,,,,,,
39,07/03/22 11:00:00  AM,6.661,98.164,,,,,,
40,07/03/22 11:30:00  AM,6.509,97.779,,,,,,
41,07/03/22 12:00:00  PM,6.585,98.143,,,,,,
42,07/03/22 12:30:00  PM,6.687,98.563,,,,,,
43,07/03/22 01:00:00  PM,6.737,98.112,,,,,,
44,07/03/22 01:30:00  PM,6.357,96.827,,,,,,
45,07/03/22 02:00:00  PM,6.408,98.387,,,,,,
46,07/03/22 02:30:00  PM,5.591,96.591,,,,,,
47,07/03/22 03:00:00  PM,5.847,99.543,,,,,,
48,07/03/22 03:30:00  PM,6.306,99.091,,,,,,
49,07/03/22 04:00:00  PM,5.565,99.899,,,,,,
50,07/03/22 04:30:00  PM,5.050,98.833,,,,,,
51,07/03/22 05:00:00  PM,5.282,99.625,,,,,,
52,07/03/22 05:30:00  PM,4.558,98.161,,,,,,
53,07/03/22 06:00:00  PM,4.402,98.432,,,,,,
54,07/03/22 06:30:00  PM,4.194,99.795,,,,,,
55,07/03/22 07:00:00  PM,4.869,99.121,,,,,,
56,07/03/22 07:30:00  PM,4.636,99.055,,,,,,
57,07/03/22 08:00:00  PM,3.958,99.151,,,,,,
58,07/03/22 08:30:00  PM,3.958,99.584,,,,,,
59,07/03/22 09:00:00  PM,3.617,99.294,,,,,,
60,07/03/22 09:30:00  PM,3.036,98.745,,,,,,
61,07/03/22 10:00:00  PM,2.717,98.558,,,,,,
62,07/03/22 10:30:00  PM,2.289,98.245,,,,,,
63,07/03/22 11:00:00  PM,2.021,99.292,,,,,,
64,07/03/22 11:30:00  PM,2.343,99.360,,,,,,
