"Plot Title: MEAD_10T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20548183, SEN S/N: 20548183)","Coupler Attached (LGR S/N: 20548183)","Host Connected (LGR S/N: 20548183)","Stopped (LGR S/N: 20548183)","End Of File (LGR S/N: 20548183)"
1,06/30/22 02:00:00  PM,24.545,,,,
2,06/30/22 02:15:00  PM,25.028,,,,
3,06/30/22 02:30:00  PM,24.738,,,,
4,06/30/22 02:45:00  PM,23.966,,,,
5,06/30/22 03:00:00  PM,23.004,,,,
6,06/30/22 03:15:00  PM,21.569,,,,
7,06/30/22 03:30:00  PM,20.138,,,,
8,06/30/22 03:45:00  PM,20.234,,,,
9,06/30/22 04:00:00  PM,20.234,,,,
10,06/30/22 04:15:00  PM,19.758,,,,
11,06/30/22 04:30:00  PM,19.758,,,,
12,06/30/22 04:45:00  PM,18.901,,,,
13,06/30/22 05:00:00  PM,18.521,,,,
14,06/30/22 05:15:00  PM,17.189,,,,
15,06/30/22 05:30:00  PM,16.713,,,,
16,06/30/22 05:45:00  PM,16.141,,,,
17,06/30/22 06:00:00  PM,15.473,,,,
18,06/30/22 06:15:00  PM,15.855,,,,
19,06/30/22 06:30:00  PM,15.664,,,,
20,06/30/22 06:45:00  PM,15.091,,,,
21,06/30/22 07:00:00  PM,14.325,,,,
22,06/30/22 07:15:00  PM,13.846,,,,
23,06/30/22 07:30:00  PM,13.750,,,,
24,06/30/22 07:45:00  PM,13.558,,,,
25,06/30/22 08:00:00  PM,13.173,,,,
26,06/30/22 08:15:00  PM,12.497,,,,
27,06/30/22 08:30:00  PM,12.110,,,,
28,06/30/22 08:45:00  PM,9.768,,,,
29,06/30/22 09:00:00  PM,7.481,,,,
30,06/30/22 09:15:00  PM,6.268,,,,
31,06/30/22 09:30:00  PM,6.775,,,,
32,06/30/22 09:45:00  PM,8.779,,,,
33,06/30/22 10:00:00  PM,9.768,,,,
34,06/30/22 10:15:00  PM,8.879,,,,
35,06/30/22 10:30:00  PM,7.983,,,,
36,06/30/22 10:45:00  PM,7.280,,,,
37,06/30/22 11:00:00  PM,6.268,,,,
38,06/30/22 11:15:00  PM,6.877,,,,
39,06/30/22 11:30:00  PM,7.381,,,,
40,06/30/22 11:45:00  PM,7.179,,,,
41,07/01/22 12:00:00  AM,6.978,,,,
42,07/01/22 12:15:00  AM,6.674,,,,
43,07/01/22 12:30:00  AM,6.370,,,,
