"Plot Title: MEAD_11C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10139951, SEN S/N: 10139951, LBL: 10cm_air_CO2)","Coupler Attached (LGR S/N: 10139951)","Host Connected (LGR S/N: 10139951)","Stopped (LGR S/N: 10139951)","End Of File (LGR S/N: 10139951)"
1,06/30/22 02:00:00  PM,16.999,,,,
2,06/30/22 02:15:00  PM,16.999,,,,
3,06/30/22 02:30:00  PM,16.808,,,,
4,06/30/22 02:45:00  PM,15.760,,,,
5,06/30/22 03:00:00  PM,14.613,,,,
6,06/30/22 03:15:00  PM,14.134,,,,
7,06/30/22 03:30:00  PM,14.134,,,,
8,06/30/22 03:45:00  PM,14.325,,,,
9,06/30/22 04:00:00  PM,14.038,,,,
10,06/30/22 04:15:00  PM,14.134,,,,
11,06/30/22 04:30:00  PM,14.230,,,,
12,06/30/22 04:45:00  PM,13.942,,,,
13,06/30/22 05:00:00  PM,13.461,,,,
14,06/30/22 05:15:00  PM,12.690,,,,
15,06/30/22 05:30:00  PM,12.594,,,,
16,06/30/22 05:45:00  PM,12.497,,,,
17,06/30/22 06:00:00  PM,12.497,,,,
18,06/30/22 06:15:00  PM,12.690,,,,
19,06/30/22 06:30:00  PM,12.690,,,,
20,06/30/22 06:45:00  PM,12.401,,,,
21,06/30/22 07:00:00  PM,11.819,,,,
22,06/30/22 07:15:00  PM,11.236,,,,
23,06/30/22 07:30:00  PM,10.944,,,,
24,06/30/22 07:45:00  PM,10.846,,,,
25,06/30/22 08:00:00  PM,10.553,,,,
26,06/30/22 08:15:00  PM,9.965,,,,
27,06/30/22 08:30:00  PM,9.472,,,,
28,06/30/22 08:45:00  PM,7.079,,,,
29,06/30/22 09:00:00  PM,5.037,,,,
30,06/30/22 09:15:00  PM,4.311,,,,
31,06/30/22 09:30:00  PM,5.450,,,,
32,06/30/22 09:45:00  PM,7.481,,,,
33,06/30/22 10:00:00  PM,8.581,,,,
34,06/30/22 10:15:00  PM,7.280,,,,
35,06/30/22 10:30:00  PM,6.268,,,,
36,06/30/22 10:45:00  PM,5.655,,,,
37,06/30/22 11:00:00  PM,5.347,,,,
38,06/30/22 11:15:00  PM,6.064,,,,
39,06/30/22 11:30:00  PM,6.064,,,,
40,06/30/22 11:45:00  PM,5.655,,,,
41,07/01/22 12:00:00  AM,5.450,,,,
42,07/01/22 12:15:00  AM,5.141,,,,
43,07/01/22 12:30:00  AM,5.037,,,,
44,07/01/22 12:45:00  AM,4.519,,,,
45,07/01/22 01:00:00  AM,4.311,,,,
46,07/01/22 01:15:00  AM,3.998,,,,
47,07/01/22 01:30:00  AM,4.311,,,,
48,07/01/22 01:45:00  AM,4.519,,,,
49,07/01/22 02:00:00  AM,4.831,,,,
50,07/01/22 02:15:00  AM,5.141,,,,
51,07/01/22 02:30:00  AM,5.450,,,,
52,07/01/22 02:45:00  AM,6.064,,,,
53,07/01/22 03:00:00  AM,7.381,,,,
54,07/01/22 03:15:00  AM,8.581,,,,
55,07/01/22 03:30:00  AM,8.481,,,,
56,07/01/22 03:45:00  AM,7.983,,,,
57,07/01/22 04:00:00  AM,7.582,,,,
58,07/01/22 04:15:00  AM,7.381,,,,
59,07/01/22 04:30:00  AM,6.573,,,,
60,07/01/22 04:45:00  AM,6.268,,,,
61,07/01/22 05:00:00  AM,6.268,,,,
62,07/01/22 05:15:00  AM,6.268,,,,
63,07/01/22 05:30:00  AM,6.471,,,,
64,07/01/22 05:45:00  AM,6.471,,,,
65,07/01/22 06:00:00  AM,6.573,,,,
66,07/01/22 06:15:00  AM,6.268,,,,
67,07/01/22 06:30:00  AM,5.962,,,,
68,07/01/22 06:45:00  AM,6.370,,,,
69,07/01/22 07:00:00  AM,8.182,,,,
70,07/01/22 07:15:00  AM,10.063,,,,
71,07/01/22 07:30:00  AM,9.571,,,,
72,07/01/22 07:45:00  AM,9.176,,,,
73,07/01/22 08:00:00  AM,9.571,,,,
74,07/01/22 08:15:00  AM,9.571,,,,
75,07/01/22 08:30:00  AM,9.472,,,,
76,07/01/22 08:45:00  AM,9.669,,,,
77,07/01/22 09:00:00  AM,10.651,,,,
78,07/01/22 09:15:00  AM,11.041,,,,
79,07/01/22 09:30:00  AM,14.325,,,,
80,07/01/22 09:45:00  AM,15.760,,,,
81,07/01/22 10:00:00  AM,15.855,,,,
82,07/01/22 10:15:00  AM,16.618,,,,
83,07/01/22 10:30:00  AM,16.999,,,,
84,07/01/22 10:45:00  AM,16.999,,,,
85,07/01/22 11:00:00  AM,14.421,,,,
86,07/01/22 11:15:00  AM,11.722,,,,
87,07/01/22 11:30:00  AM,11.041,,,,
88,07/01/22 11:45:00  AM,11.431,,,,
89,07/01/22 12:00:00  PM,11.334,,,,
90,07/01/22 12:15:00  PM,10.063,,,,
91,07/01/22 12:30:00  PM,10.748,,,,
92,07/01/22 12:45:00  PM,12.980,,,,
93,07/01/22 01:00:00  PM,13.461,,,,
94,07/01/22 01:15:00  PM,13.654,,,,
95,07/01/22 01:30:00  PM,15.091,,,,
96,07/01/22 01:45:00  PM,14.613,,,,
97,07/01/22 02:00:00  PM,13.846,,,,
98,07/01/22 02:15:00  PM,12.594,,,,
