"Plot Title: MEAD_11T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547756, SEN S/N: 20547756)","Coupler Attached (LGR S/N: 20547756)","Host Connected (LGR S/N: 20547756)","Stopped (LGR S/N: 20547756)","End Of File (LGR S/N: 20547756)"
1,06/30/22 02:00:00  PM,20.615,,,,
2,06/30/22 02:30:00  PM,19.662,,,,
3,06/30/22 03:00:00  PM,17.950,,,,
4,06/30/22 03:30:00  PM,18.806,,,,
5,06/30/22 04:00:00  PM,16.237,,,,
6,06/30/22 04:30:00  PM,20.138,,,,
7,06/30/22 05:00:00  PM,20.138,,,,
8,06/30/22 05:30:00  PM,20.138,,,,
9,06/30/22 06:00:00  PM,19.948,,,,
10,06/30/22 06:30:00  PM,19.948,,,,
11,06/30/22 07:00:00  PM,18.045,,,,
12,06/30/22 07:30:00  PM,15.760,,,,
13,06/30/22 08:00:00  PM,13.173,,,,
14,06/30/22 08:30:00  PM,11.819,,,,
15,06/30/22 09:00:00  PM,6.674,,,,
16,06/30/22 09:30:00  PM,9.866,,,,
17,06/30/22 10:00:00  PM,13.942,,,,
18,06/30/22 10:30:00  PM,9.373,,,,
19,06/30/22 11:00:00  PM,7.983,,,,
20,06/30/22 11:30:00  PM,7.381,,,,
21,07/01/22 12:00:00  AM,6.674,,,,
22,07/01/22 12:30:00  AM,5.655,,,,
23,07/01/22 01:00:00  AM,4.727,,,,
24,07/01/22 01:30:00  AM,4.727,,,,
25,07/01/22 02:00:00  AM,5.347,,,,
26,07/01/22 02:30:00  AM,5.450,,,,
27,07/01/22 03:00:00  AM,8.481,,,,
28,07/01/22 03:30:00  AM,8.082,,,,
29,07/01/22 04:00:00  AM,7.079,,,,
30,07/01/22 04:30:00  AM,7.280,,,,
31,07/01/22 05:00:00  AM,6.471,,,,
32,07/01/22 05:30:00  AM,6.978,,,,
33,07/01/22 06:00:00  AM,6.978,,,,
34,07/01/22 06:30:00  AM,6.573,,,,
35,07/01/22 07:00:00  AM,9.965,,,,
36,07/01/22 07:30:00  AM,9.472,,,,
37,07/01/22 08:00:00  AM,8.978,,,,
38,07/01/22 08:30:00  AM,10.161,,,,
39,07/01/22 09:00:00  AM,11.528,,,,
40,07/01/22 09:30:00  AM,16.141,,,,
41,07/01/22 10:00:00  AM,16.618,,,,
42,07/01/22 10:30:00  AM,15.378,,,,
43,07/01/22 11:00:00  AM,10.748,,,,
44,07/01/22 11:30:00  AM,9.275,,,,
45,07/01/22 12:00:00  PM,9.373,,,,
46,07/01/22 12:30:00  PM,9.571,,,,
47,07/01/22 01:00:00  PM,11.722,,,,
