"Plot Title: MEAD_12C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547765, SEN S/N: 20547765)","Coupler Attached (LGR S/N: 20547765)","Host Connected (LGR S/N: 20547765)","Stopped (LGR S/N: 20547765)","End Of File (LGR S/N: 20547765)"
1,06/30/22 02:00:00  PM,18.806,,,,
2,06/30/22 02:30:00  PM,18.331,,,,
3,06/30/22 03:00:00  PM,15.760,,,,
4,06/30/22 03:30:00  PM,16.999,,,,
5,06/30/22 04:00:00  PM,16.523,,,,
6,06/30/22 04:30:00  PM,17.760,,,,
7,06/30/22 05:00:00  PM,17.379,,,,
8,06/30/22 05:30:00  PM,16.713,,,,
9,06/30/22 06:00:00  PM,16.332,,,,
10,06/30/22 06:30:00  PM,14.900,,,,
11,06/30/22 07:00:00  PM,14.038,,,,
12,06/30/22 07:30:00  PM,12.401,,,,
13,06/30/22 08:00:00  PM,11.139,,,,
14,06/30/22 08:30:00  PM,10.063,,,,
15,06/30/22 09:00:00  PM,5.141,,,,
16,06/30/22 09:30:00  PM,5.757,,,,
17,06/30/22 10:00:00  PM,8.680,,,,
18,06/30/22 10:30:00  PM,6.573,,,,
19,06/30/22 11:00:00  PM,5.655,,,,
20,06/30/22 11:30:00  PM,6.268,,,,
21,07/01/22 12:00:00  AM,5.552,,,,
22,07/01/22 12:30:00  AM,5.037,,,,
23,07/01/22 01:00:00  AM,4.102,,,,
24,07/01/22 01:30:00  AM,3.998,,,,
25,07/01/22 02:00:00  AM,4.623,,,,
26,07/01/22 02:30:00  AM,4.727,,,,
27,07/01/22 03:00:00  AM,6.674,,,,
28,07/01/22 03:30:00  AM,7.179,,,,
29,07/01/22 04:00:00  AM,6.471,,,,
30,07/01/22 04:30:00  AM,5.860,,,,
31,07/01/22 05:00:00  AM,5.860,,,,
32,07/01/22 05:30:00  AM,6.268,,,,
33,07/01/22 06:00:00  AM,6.370,,,,
34,07/01/22 06:30:00  AM,5.244,,,,
35,07/01/22 07:00:00  AM,7.983,,,,
36,07/01/22 07:30:00  AM,8.779,,,,
37,07/01/22 08:00:00  AM,8.581,,,,
38,07/01/22 08:30:00  AM,9.077,,,,
39,07/01/22 09:00:00  AM,10.455,,,,
40,07/01/22 09:30:00  AM,14.421,,,,
41,07/01/22 10:00:00  AM,15.282,,,,
42,07/01/22 10:30:00  AM,15.569,,,,
43,07/01/22 11:00:00  AM,11.722,,,,
44,07/01/22 11:30:00  AM,8.879,,,,
45,07/01/22 12:00:00  PM,9.077,,,,
46,07/01/22 12:30:00  PM,9.866,,,,
47,07/01/22 01:00:00  PM,12.013,,,,
48,07/01/22 01:30:00  PM,13.269,,,,
49,07/01/22 02:00:00  PM,10.651,,,,
50,07/01/22 02:30:00  PM,10.259,,,,
51,07/01/22 03:00:00  PM,11.334,,,,
52,07/01/22 03:30:00  PM,10.357,,,,
53,07/01/22 04:00:00  PM,7.682,,,,
54,07/01/22 04:30:00  PM,6.674,,,,
55,07/01/22 05:00:00  PM,6.370,,,,
56,07/01/22 05:30:00  PM,6.268,,,,
57,07/01/22 06:00:00  PM,6.775,,,,
58,07/01/22 06:30:00  PM,6.166,,,,
59,07/01/22 07:00:00  PM,5.552,,,,
60,07/01/22 07:30:00  PM,5.141,,,,
61,07/01/22 08:00:00  PM,4.934,,,,
