"Plot Title: MEAD_14T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547759, SEN S/N: 20547759, LBL: 10cm_air_CO2)","Coupler Attached (LGR S/N: 20547759)","Host Connected (LGR S/N: 20547759)","Stopped (LGR S/N: 20547759)","End Of File (LGR S/N: 20547759)"
1,06/30/22 02:00:00  PM,26.097,,,,
2,06/30/22 02:30:00  PM,25.513,,,,
3,06/30/22 03:00:00  PM,22.621,,,,
4,06/30/22 03:30:00  PM,22.621,,,,
5,06/30/22 04:00:00  PM,21.664,,,,
6,06/30/22 04:30:00  PM,22.046,,,,
7,06/30/22 05:00:00  PM,20.710,,,,
8,06/30/22 05:30:00  PM,18.901,,,,
9,06/30/22 06:00:00  PM,18.140,,,,
10,06/30/22 06:30:00  PM,18.045,,,,
11,06/30/22 07:00:00  PM,16.903,,,,
12,06/30/22 07:30:00  PM,15.282,,,,
13,06/30/22 08:00:00  PM,13.750,,,,
14,06/30/22 08:30:00  PM,12.787,,,,
15,06/30/22 09:00:00  PM,6.370,,,,
16,06/30/22 09:30:00  PM,8.680,,,,
17,06/30/22 10:00:00  PM,12.980,,,,
18,06/30/22 10:30:00  PM,8.481,,,,
19,06/30/22 11:00:00  PM,6.877,,,,
20,06/30/22 11:30:00  PM,7.481,,,,
21,07/01/22 12:00:00  AM,6.775,,,,
22,07/01/22 12:30:00  AM,5.860,,,,
23,07/01/22 01:00:00  AM,4.934,,,,
24,07/01/22 01:30:00  AM,4.934,,,,
25,07/01/22 02:00:00  AM,5.757,,,,
26,07/01/22 02:30:00  AM,5.962,,,,
27,07/01/22 03:00:00  AM,9.275,,,,
28,07/01/22 03:30:00  AM,9.768,,,,
29,07/01/22 04:00:00  AM,8.282,,,,
30,07/01/22 04:30:00  AM,7.682,,,,
31,07/01/22 05:00:00  AM,7.179,,,,
32,07/01/22 05:30:00  AM,7.882,,,,
33,07/01/22 06:00:00  AM,8.182,,,,
34,07/01/22 06:30:00  AM,7.381,,,,
35,07/01/22 07:00:00  AM,10.944,,,,
36,07/01/22 07:30:00  AM,11.722,,,,
37,07/01/22 08:00:00  AM,11.528,,,,
38,07/01/22 08:30:00  AM,11.528,,,,
39,07/01/22 09:00:00  AM,13.558,,,,
40,07/01/22 09:30:00  AM,17.189,,,,
41,07/01/22 10:00:00  AM,20.805,,,,
42,07/01/22 10:30:00  AM,20.519,,,,
43,07/01/22 11:00:00  AM,15.569,,,,
44,07/01/22 11:30:00  AM,12.401,,,,
45,07/01/22 12:00:00  PM,12.787,,,,
46,07/01/22 12:30:00  PM,14.517,,,,
47,07/01/22 01:00:00  PM,14.325,,,,
48,07/01/22 01:30:00  PM,18.996,,,,
49,07/01/22 02:00:00  PM,16.046,,,,
50,07/01/22 02:30:00  PM,14.613,,,,
51,07/01/22 03:00:00  PM,16.237,,,,
52,07/01/22 03:30:00  PM,15.091,,,,
53,07/01/22 04:00:00  PM,10.846,,,,
54,07/01/22 04:30:00  PM,8.879,,,,
55,07/01/22 05:00:00  PM,8.779,,,,
56,07/01/22 05:30:00  PM,8.978,,,,
57,07/01/22 06:00:00  PM,9.571,,,,
58,07/01/22 06:30:00  PM,8.978,,,,
59,07/01/22 07:00:00  PM,8.481,,,,
60,07/01/22 07:30:00  PM,7.381,,,,
61,07/01/22 08:00:00  PM,6.775,,,,
62,07/01/22 08:30:00  PM,5.757,,,,
63,07/01/22 09:00:00  PM,5.860,,,,
64,07/01/22 09:30:00  PM,5.962,,,,
65,07/01/22 10:00:00  PM,6.471,,,,
66,07/01/22 10:30:00  PM,5.450,,,,
67,07/01/22 11:00:00  PM,5.552,,,,
68,07/01/22 11:30:00  PM,5.141,,,,
69,07/02/22 12:00:00  AM,5.860,,,,
70,07/02/22 12:30:00  AM,7.280,,,,
71,07/02/22 01:00:00  AM,5.347,,,,
72,07/02/22 01:30:00  AM,5.552,,,,
73,07/02/22 02:00:00  AM,5.244,,,,
74,07/02/22 02:30:00  AM,4.519,,,,
75,07/02/22 03:00:00  AM,5.450,,,,
76,07/02/22 03:30:00  AM,5.962,,,,
77,07/02/22 04:00:00  AM,6.370,,,,
78,07/02/22 04:30:00  AM,7.582,,,,
79,07/02/22 05:00:00  AM,7.782,,,,
80,07/02/22 05:30:00  AM,8.282,,,,
81,07/02/22 06:00:00  AM,8.082,,,,
82,07/02/22 06:30:00  AM,5.655,,,,
83,07/02/22 07:00:00  AM,5.962,,,,
84,07/02/22 07:30:00  AM,6.166,,,,
85,07/02/22 08:00:00  AM,8.481,,,,
86,07/02/22 08:30:00  AM,7.682,,,,
87,07/02/22 09:00:00  AM,8.680,,,,
88,07/02/22 09:30:00  AM,11.528,,,,
89,07/02/22 10:00:00  AM,12.013,,,,
90,07/02/22 10:30:00  AM,12.980,,,,
91,07/02/22 11:00:00  AM,15.091,,,,
92,07/02/22 11:30:00  AM,15.760,,,,
93,07/02/22 12:00:00  PM,16.999,,,,
94,07/02/22 12:30:00  PM,16.427,,,,
95,07/02/22 01:00:00  PM,15.187,,,,
96,07/02/22 01:30:00  PM,15.664,,,,
97,07/02/22 02:00:00  PM,15.187,,,,
98,07/02/22 02:30:00  PM,17.094,,,,
99,07/02/22 03:00:00  PM,14.804,,,,
100,07/02/22 03:30:00  PM,14.421,,,,
101,07/02/22 04:00:00  PM,13.942,,,,
102,07/02/22 04:30:00  PM,13.365,,,,
103,07/02/22 05:00:00  PM,11.334,,,,
104,07/02/22 05:30:00  PM,12.110,,,,
105,07/02/22 06:00:00  PM,10.259,,,,
106,07/02/22 06:30:00  PM,11.236,,,,
107,07/02/22 07:00:00  PM,10.357,,,,
108,07/02/22 07:30:00  PM,9.669,,,,
109,07/02/22 08:00:00  PM,9.373,,,,
110,07/02/22 08:30:00  PM,8.182,,,,
111,07/02/22 09:00:00  PM,7.882,,,,
112,07/02/22 09:30:00  PM,7.682,,,,
113,07/02/22 10:00:00  PM,6.877,,,,
114,07/02/22 10:30:00  PM,6.166,,,,
115,07/02/22 11:00:00  PM,5.655,,,,
116,07/02/22 11:30:00  PM,6.268,,,,
117,07/03/22 12:00:00  AM,5.962,,,,
118,07/03/22 12:30:00  AM,5.860,,,,
119,07/03/22 01:00:00  AM,5.450,,,,
120,07/03/22 01:30:00  AM,5.962,,,,
121,07/03/22 02:00:00  AM,6.166,,,,
122,07/03/22 02:30:00  AM,5.244,,,,
123,07/03/22 03:00:00  AM,4.415,,,,
124,07/03/22 03:30:00  AM,4.102,,,,
125,07/03/22 04:00:00  AM,4.727,,,,
126,07/03/22 04:30:00  AM,5.141,,,,
127,07/03/22 05:00:00  AM,4.519,,,,
128,07/03/22 05:30:00  AM,4.623,,,,
129,07/03/22 06:00:00  AM,5.860,,,,
