"Plot Title: MEAD_3C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10337439, SEN S/N: 10337439)","Good Battery (LGR S/N: 10337439)","Host Connected (LGR S/N: 10337439)","Coupler Attached (LGR S/N: 10337439)","Stopped (LGR S/N: 10337439)","End Of File (LGR S/N: 10337439)"
1,06/30/22 02:00:00  PM,16.046,Logged,,,,
2,06/30/22 02:15:00  PM,15.855,,,,,
3,06/30/22 02:30:00  PM,15.282,,,,,
4,06/30/22 02:45:00  PM,14.325,,,,,
5,06/30/22 03:00:00  PM,13.269,,,,,
6,06/30/22 03:15:00  PM,12.980,,,,,
7,06/30/22 03:30:00  PM,14.709,,,,,
8,06/30/22 03:45:00  PM,14.517,,,,,
9,06/30/22 04:00:00  PM,14.038,,,,,
10,06/30/22 04:15:00  PM,14.230,,,,,
11,06/30/22 04:30:00  PM,14.517,,,,,
12,06/30/22 04:45:00  PM,13.654,,,,,
13,06/30/22 05:00:00  PM,12.787,,,,,
14,06/30/22 05:15:00  PM,12.304,,,,,
15,06/30/22 05:30:00  PM,12.980,,,,,
16,06/30/22 05:45:00  PM,12.401,,,,,
17,06/30/22 06:00:00  PM,12.690,,,,,
18,06/30/22 06:15:00  PM,12.690,,,,,
19,06/30/22 06:30:00  PM,12.787,,,,,
20,06/30/22 06:45:00  PM,12.207,,,,,
21,06/30/22 07:00:00  PM,11.431,,,,,
22,06/30/22 07:15:00  PM,10.846,,,,,
23,06/30/22 07:30:00  PM,11.334,,,,,
24,06/30/22 07:45:00  PM,11.334,,,,,
25,06/30/22 08:00:00  PM,11.236,,,,,
26,06/30/22 08:15:00  PM,10.455,,,,,
27,06/30/22 08:30:00  PM,10.063,,,,,
28,06/30/22 08:45:00  PM,6.471,,,,,
29,06/30/22 09:00:00  PM,5.037,,,,,
30,06/30/22 09:15:00  PM,4.831,,,,,
31,06/30/22 09:30:00  PM,7.582,,,,,
32,06/30/22 09:45:00  PM,9.373,,,,,
33,06/30/22 10:00:00  PM,9.965,,,,,
34,06/30/22 10:15:00  PM,6.978,,,,,
35,06/30/22 10:30:00  PM,6.674,,,,,
36,06/30/22 10:45:00  PM,5.552,,,,,
37,06/30/22 11:00:00  PM,5.757,,,,,
38,06/30/22 11:15:00  PM,6.978,,,,,
39,06/30/22 11:30:00  PM,5.757,,,,,
40,06/30/22 11:45:00  PM,5.450,,,,,
41,07/01/22 12:00:00  AM,5.141,,,,,
42,07/01/22 12:15:00  AM,4.934,,,,,
43,07/01/22 12:30:00  AM,4.623,,,,,
44,07/01/22 12:45:00  AM,4.207,,,,,
45,07/01/22 01:00:00  AM,4.102,,,,,
46,07/01/22 01:15:00  AM,3.788,,,,,
47,07/01/22 01:30:00  AM,4.207,,,,,
48,07/01/22 01:45:00  AM,4.519,,,,,
49,07/01/22 02:00:00  AM,4.727,,,,,
50,07/01/22 02:15:00  AM,4.831,,,,,
51,07/01/22 02:30:00  AM,5.141,,,,,
52,07/01/22 02:45:00  AM,5.860,,,,,
53,07/01/22 03:00:00  AM,7.280,,,,,
54,07/01/22 03:15:00  AM,7.983,,,,,
55,07/01/22 03:30:00  AM,7.481,,,,,
56,07/01/22 03:45:00  AM,6.573,,,,,
57,07/01/22 04:00:00  AM,6.674,,,,,
58,07/01/22 04:15:00  AM,6.471,,,,,
59,07/01/22 04:30:00  AM,5.655,,,,,
60,07/01/22 04:45:00  AM,5.962,,,,,
61,07/01/22 05:00:00  AM,5.860,,,,,
62,07/01/22 05:15:00  AM,6.064,,,,,
63,07/01/22 05:30:00  AM,6.268,,,,,
64,07/01/22 05:45:00  AM,6.064,,,,,
65,07/01/22 06:00:00  AM,5.962,,,,,
66,07/01/22 06:15:00  AM,5.244,,,,,
67,07/01/22 06:30:00  AM,5.450,,,,,
68,07/01/22 06:45:00  AM,6.370,,,,,
69,07/01/22 07:00:00  AM,8.481,,,,,
70,07/01/22 07:15:00  AM,9.768,,,,,
71,07/01/22 07:30:00  AM,7.882,,,,,
72,07/01/22 07:45:00  AM,7.983,,,,,
73,07/01/22 08:00:00  AM,8.282,,,,,
74,07/01/22 08:15:00  AM,8.282,,,,,
75,07/01/22 08:30:00  AM,8.581,,,,,
76,07/01/22 08:45:00  AM,10.063,,,,,
77,07/01/22 09:00:00  AM,8.481,,,,,
78,07/01/22 09:15:00  AM,11.819,,,,,
79,07/01/22 09:30:00  AM,13.846,,,,,
80,07/01/22 09:45:00  AM,14.613,,,,,
81,07/01/22 10:00:00  AM,12.883,,,,,
82,07/01/22 10:15:00  AM,14.230,,,,,
83,07/01/22 10:30:00  AM,13.846,,,,,
84,07/01/22 10:45:00  AM,12.497,,,,,
85,07/01/22 11:00:00  AM,9.965,,,,,
86,07/01/22 11:15:00  AM,9.472,,,,,
87,07/01/22 11:30:00  AM,9.176,,,,,
88,07/01/22 11:45:00  AM,9.176,,,,,
89,07/01/22 12:00:00  PM,8.978,,,,,
90,07/01/22 12:15:00  PM,7.882,,,,,
91,07/01/22 12:30:00  PM,9.373,,,,,
92,07/01/22 12:45:00  PM,11.528,,,,,
93,07/01/22 01:00:00  PM,11.722,,,,,
94,07/01/22 01:15:00  PM,11.236,,,,,
95,07/01/22 01:30:00  PM,12.497,,,,,
96,07/01/22 01:45:00  PM,11.139,,,,,
97,07/01/22 02:00:00  PM,10.553,,,,,
98,07/01/22 02:15:00  PM,9.866,,,,,
99,07/01/22 02:30:00  PM,9.866,,,,,
100,07/01/22 02:45:00  PM,9.965,,,,,
101,07/01/22 03:00:00  PM,9.768,,,,,
102,07/01/22 03:15:00  PM,9.472,,,,,
103,07/01/22 03:30:00  PM,8.978,,,,,
104,07/01/22 03:45:00  PM,7.782,,,,,
105,07/01/22 04:00:00  PM,6.978,,,,,
106,07/01/22 04:15:00  PM,6.978,,,,,
107,07/01/22 04:30:00  PM,6.064,,,,,
108,07/01/22 04:45:00  PM,5.552,,,,,
109,07/01/22 05:00:00  PM,5.860,,,,,
110,07/01/22 05:15:00  PM,6.064,,,,,
111,07/01/22 05:30:00  PM,5.552,,,,,
112,07/01/22 05:45:00  PM,5.655,,,,,
113,07/01/22 06:00:00  PM,5.860,,,,,
114,07/01/22 06:15:00  PM,6.166,,,,,
115,07/01/22 06:30:00  PM,5.244,,,,,
116,07/01/22 06:45:00  PM,5.244,,,,,
117,07/01/22 07:00:00  PM,4.934,,,,,
118,07/01/22 07:15:00  PM,5.141,,,,,
119,07/01/22 07:30:00  PM,4.831,,,,,
120,07/01/22 07:45:00  PM,5.037,,,,,
121,07/01/22 08:00:00  PM,4.519,,,,,
122,07/01/22 08:15:00  PM,4.102,,,,,
123,07/01/22 08:30:00  PM,3.893,,,,,
124,07/01/22 08:45:00  PM,4.519,,,,,
125,07/01/22 09:00:00  PM,4.727,,,,,
126,07/01/22 09:15:00  PM,4.831,,,,,
127,07/01/22 09:30:00  PM,4.727,,,,,
128,07/01/22 09:45:00  PM,5.037,,,,,
129,07/01/22 10:00:00  PM,4.934,,,,,
130,07/01/22 10:15:00  PM,3.998,,,,,
131,07/01/22 10:30:00  PM,4.102,,,,,
132,07/01/22 10:45:00  PM,4.311,,,,,
133,07/01/22 11:00:00  PM,4.623,,,,,
134,07/01/22 11:15:00  PM,4.311,,,,,
135,07/01/22 11:30:00  PM,3.367,,,,,
136,07/01/22 11:45:00  PM,3.578,,,,,
137,07/02/22 12:00:00  AM,4.623,,,,,
138,07/02/22 12:15:00  AM,5.655,,,,,
139,07/02/22 12:30:00  AM,5.347,,,,,
140,07/02/22 12:45:00  AM,4.519,,,,,
141,07/02/22 01:00:00  AM,3.261,,,,,
142,07/02/22 01:15:00  AM,3.578,,,,,
143,07/02/22 01:30:00  AM,4.207,,,,,
144,07/02/22 01:45:00  AM,3.893,,,,,
145,07/02/22 02:00:00  AM,3.683,,,,,
146,07/02/22 02:15:00  AM,3.578,,,,,
147,07/02/22 02:30:00  AM,3.472,,,,,
148,07/02/22 02:45:00  AM,4.311,,,,,
149,07/02/22 03:00:00  AM,4.727,,,,,
150,07/02/22 03:15:00  AM,4.934,,,,,
151,07/02/22 03:30:00  AM,4.415,,,,,
152,07/02/22 03:45:00  AM,4.934,,,,,
153,07/02/22 04:00:00  AM,5.244,,,,,
154,07/02/22 04:15:00  AM,5.860,,,,,
155,07/02/22 04:30:00  AM,5.757,,,,,
156,07/02/22 04:45:00  AM,5.450,,,,,
157,07/02/22 05:00:00  AM,6.370,,,,,
158,07/02/22 05:15:00  AM,6.268,,,,,
159,07/02/22 05:30:00  AM,5.552,,,,,
160,07/02/22 05:45:00  AM,6.471,,,,,
161,07/02/22 06:00:00  AM,5.757,,,,,
162,07/02/22 06:15:00  AM,4.311,,,,,
163,07/02/22 06:30:00  AM,4.207,,,,,
164,07/02/22 06:45:00  AM,4.934,,,,,
165,07/02/22 07:00:00  AM,5.141,,,,,
166,07/02/22 07:15:00  AM,4.519,,,,,
167,07/02/22 07:30:00  AM,5.552,,,,,
168,07/02/22 07:45:00  AM,6.674,,,,,
169,07/02/22 08:00:00  AM,7.280,,,,,
170,07/02/22 08:15:00  AM,6.064,,,,,
171,07/02/22 08:30:00  AM,6.370,,,,,
172,07/02/22 08:45:00  AM,6.674,,,,,
173,07/02/22 09:00:00  AM,7.582,,,,,
174,07/02/22 09:15:00  AM,8.282,,,,,
175,07/02/22 09:30:00  AM,9.768,,,,,
176,07/02/22 09:45:00  AM,9.176,,,,,
177,07/02/22 10:00:00  AM,8.879,,,,,
178,07/02/22 10:15:00  AM,8.779,,,,,
179,07/02/22 10:30:00  AM,10.063,,,,,
180,07/02/22 10:45:00  AM,11.722,,,,,
181,07/02/22 11:00:00  AM,10.944,,,,,
182,07/02/22 11:15:00  AM,10.651,,,,,
183,07/02/22 11:30:00  AM,11.819,,,,,
184,07/02/22 11:45:00  AM,12.013,,,,,
185,07/02/22 12:00:00  PM,12.401,,,,,
186,07/02/22 12:15:00  PM,12.594,,,,,
187,07/02/22 12:30:00  PM,12.787,,,,,
188,07/02/22 12:45:00  PM,13.076,,,,,
189,07/02/22 01:00:00  PM,10.651,,,,,
190,07/02/22 01:15:00  PM,11.528,,,,,
191,07/02/22 01:30:00  PM,11.431,,,,,
192,07/02/22 01:45:00  PM,10.063,,,,,
193,07/02/22 02:00:00  PM,11.139,,,,,
194,07/02/22 02:15:00  PM,12.690,,,,,
195,07/02/22 02:30:00  PM,12.013,,,,,
196,07/02/22 02:45:00  PM,10.161,,,,,
197,07/02/22 03:00:00  PM,9.571,,,,,
198,07/02/22 03:15:00  PM,9.866,,,,,
199,07/02/22 03:30:00  PM,10.651,,,,,
200,07/02/22 03:45:00  PM,10.357,,,,,
201,07/02/22 04:00:00  PM,10.063,,,,,
202,07/02/22 04:15:00  PM,9.669,,,,,
203,07/02/22 04:30:00  PM,11.041,,,,,
204,07/02/22 04:45:00  PM,10.259,,,,,
205,07/02/22 05:00:00  PM,9.077,,,,,
206,07/02/22 05:15:00  PM,10.063,,,,,
207,07/02/22 05:30:00  PM,9.472,,,,,
208,07/02/22 05:45:00  PM,8.282,,,,,
209,07/02/22 06:00:00  PM,6.978,,,,,
210,07/02/22 06:15:00  PM,7.782,,,,,
211,07/02/22 06:30:00  PM,8.680,,,,,
212,07/02/22 06:45:00  PM,8.978,,,,,
213,07/02/22 07:00:00  PM,7.582,,,,,
214,07/02/22 07:15:00  PM,7.280,,,,,
