"Plot Title: MEAD_3T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10316463, SEN S/N: 10316463)","Good Battery (LGR S/N: 10316463)","Coupler Attached (LGR S/N: 10316463)","Host Connected (LGR S/N: 10316463)","Stopped (LGR S/N: 10316463)","End Of File (LGR S/N: 10316463)"
1,06/30/22 02:00:00  PM,19.187,Logged,,,,
2,06/30/22 02:15:00  PM,20.043,,,,,
3,06/30/22 02:30:00  PM,19.567,,,,,
4,06/30/22 02:45:00  PM,19.567,,,,,
5,06/30/22 03:00:00  PM,17.379,,,,,
6,06/30/22 03:15:00  PM,16.141,,,,,
7,06/30/22 03:30:00  PM,15.378,,,,,
8,06/30/22 03:45:00  PM,17.094,,,,,
9,06/30/22 04:00:00  PM,18.045,,,,,
10,06/30/22 04:15:00  PM,16.427,,,,,
11,06/30/22 04:30:00  PM,15.855,,,,,
12,06/30/22 04:45:00  PM,14.900,,,,,
13,06/30/22 05:00:00  PM,14.613,,,,,
14,06/30/22 05:15:00  PM,13.173,,,,,
15,06/30/22 05:30:00  PM,13.269,,,,,
16,06/30/22 05:45:00  PM,12.980,,,,,
17,06/30/22 06:00:00  PM,12.497,,,,,
18,06/30/22 06:15:00  PM,13.558,,,,,
19,06/30/22 06:30:00  PM,13.269,,,,,
20,06/30/22 06:45:00  PM,12.401,,,,,
21,06/30/22 07:00:00  PM,12.304,,,,,
22,06/30/22 07:15:00  PM,12.401,,,,,
23,06/30/22 07:30:00  PM,13.461,,,,,
24,06/30/22 07:45:00  PM,13.846,,,,,
25,06/30/22 08:00:00  PM,13.942,,,,,
26,06/30/22 08:15:00  PM,13.269,,,,,
27,06/30/22 08:30:00  PM,13.076,,,,,
28,06/30/22 08:45:00  PM,9.077,,,,,
29,06/30/22 09:00:00  PM,6.573,,,,,
30,06/30/22 09:15:00  PM,5.757,,,,,
31,06/30/22 09:30:00  PM,7.782,,,,,
32,06/30/22 09:45:00  PM,10.063,,,,,
33,06/30/22 10:00:00  PM,10.357,,,,,
34,06/30/22 10:15:00  PM,9.077,,,,,
35,06/30/22 10:30:00  PM,7.983,,,,,
36,06/30/22 10:45:00  PM,6.674,,,,,
37,06/30/22 11:00:00  PM,6.370,,,,,
38,06/30/22 11:15:00  PM,7.682,,,,,
39,06/30/22 11:30:00  PM,7.882,,,,,
40,06/30/22 11:45:00  PM,7.381,,,,,
41,07/01/22 12:00:00  AM,6.877,,,,,
42,07/01/22 12:15:00  AM,6.370,,,,,
43,07/01/22 12:30:00  AM,6.268,,,,,
44,07/01/22 12:45:00  AM,5.962,,,,,
45,07/01/22 01:00:00  AM,5.655,,,,,
46,07/01/22 01:15:00  AM,5.244,,,,,
47,07/01/22 01:30:00  AM,5.655,,,,,
48,07/01/22 01:45:00  AM,6.166,,,,,
49,07/01/22 02:00:00  AM,6.674,,,,,
50,07/01/22 02:15:00  AM,6.978,,,,,
51,07/01/22 02:30:00  AM,7.381,,,,,
52,07/01/22 02:45:00  AM,8.581,,,,,
53,07/01/22 03:00:00  AM,10.357,,,,,
54,07/01/22 03:15:00  AM,12.110,,,,,
55,07/01/22 03:30:00  AM,11.722,,,,,
56,07/01/22 03:45:00  AM,10.651,,,,,
57,07/01/22 04:00:00  AM,10.455,,,,,
58,07/01/22 04:15:00  AM,10.161,,,,,
59,07/01/22 04:30:00  AM,8.680,,,,,
60,07/01/22 04:45:00  AM,8.282,,,,,
61,07/01/22 05:00:00  AM,8.382,,,,,
62,07/01/22 05:15:00  AM,8.282,,,,,
63,07/01/22 05:30:00  AM,8.879,,,,,
64,07/01/22 05:45:00  AM,9.077,,,,,
65,07/01/22 06:00:00  AM,9.373,,,,,
66,07/01/22 06:15:00  AM,9.275,,,,,
67,07/01/22 06:30:00  AM,9.571,,,,,
68,07/01/22 06:45:00  AM,10.553,,,,,
69,07/01/22 07:00:00  AM,13.558,,,,,
70,07/01/22 07:15:00  AM,16.427,,,,,
71,07/01/22 07:30:00  AM,15.951,,,,,
72,07/01/22 07:45:00  AM,14.804,,,,,
73,07/01/22 08:00:00  AM,15.282,,,,,
74,07/01/22 08:15:00  AM,15.091,,,,,
75,07/01/22 08:30:00  AM,13.558,,,,,
76,07/01/22 08:45:00  AM,14.709,,,,,
77,07/01/22 09:00:00  AM,17.760,,,,,
78,07/01/22 09:15:00  AM,23.100,,,,,
79,07/01/22 09:30:00  AM,25.805,,,,,
80,07/01/22 09:45:00  AM,28.853,,,,,
81,07/01/22 10:00:00  AM,26.390,,,,,
82,07/01/22 10:15:00  AM,29.152,,,,,
83,07/01/22 10:30:00  AM,26.097,,,,,
84,07/01/22 10:45:00  AM,25.902,,,,,
85,07/01/22 11:00:00  AM,19.948,,,,,
86,07/01/22 11:15:00  AM,16.999,,,,,
87,07/01/22 11:30:00  AM,15.951,,,,,
88,07/01/22 11:45:00  AM,16.523,,,,,
89,07/01/22 12:00:00  PM,16.332,,,,,
90,07/01/22 12:15:00  PM,15.378,,,,,
91,07/01/22 12:30:00  PM,17.379,,,,,
92,07/01/22 12:45:00  PM,19.853,,,,,
93,07/01/22 01:00:00  PM,20.519,,,,,
94,07/01/22 01:15:00  PM,19.853,,,,,
95,07/01/22 01:30:00  PM,21.378,,,,,
96,07/01/22 01:45:00  PM,19.472,,,,,
97,07/01/22 02:00:00  PM,18.521,,,,,
98,07/01/22 02:15:00  PM,16.713,,,,,
99,07/01/22 02:30:00  PM,16.523,,,,,
100,07/01/22 02:45:00  PM,17.284,,,,,
101,07/01/22 03:00:00  PM,17.284,,,,,
102,07/01/22 03:15:00  PM,16.427,,,,,
103,07/01/22 03:30:00  PM,16.141,,,,,
104,07/01/22 03:45:00  PM,14.325,,,,,
105,07/01/22 04:00:00  PM,12.497,,,,,
106,07/01/22 04:15:00  PM,11.334,,,,,
107,07/01/22 04:30:00  PM,10.455,,,,,
108,07/01/22 04:45:00  PM,9.866,,,,,
109,07/01/22 05:00:00  PM,9.669,,,,,
110,07/01/22 05:15:00  PM,9.965,,,,,
111,07/01/22 05:30:00  PM,9.965,,,,,
112,07/01/22 05:45:00  PM,9.373,,,,,
113,07/01/22 06:00:00  PM,8.978,,,,,
114,07/01/22 06:15:00  PM,9.472,,,,,
115,07/01/22 06:30:00  PM,8.879,,,,,
116,07/01/22 06:45:00  PM,8.282,,,,,
117,07/01/22 07:00:00  PM,7.983,,,,,
118,07/01/22 07:15:00  PM,7.882,,,,,
119,07/01/22 07:30:00  PM,7.782,,,,,
120,07/01/22 07:45:00  PM,7.582,,,,,
121,07/01/22 08:00:00  PM,7.381,,,,,
122,07/01/22 08:15:00  PM,6.978,,,,,
123,07/01/22 08:30:00  PM,6.166,,,,,
124,07/01/22 08:45:00  PM,5.655,,,,,
125,07/01/22 09:00:00  PM,6.166,,,,,
126,07/01/22 09:15:00  PM,6.573,,,,,
127,07/01/22 09:30:00  PM,6.471,,,,,
128,07/01/22 09:45:00  PM,5.552,,,,,
129,07/01/22 10:00:00  PM,5.962,,,,,
130,07/01/22 10:15:00  PM,5.860,,,,,
131,07/01/22 10:30:00  PM,5.962,,,,,
132,07/01/22 10:45:00  PM,5.655,,,,,
133,07/01/22 11:00:00  PM,5.037,,,,,
134,07/01/22 11:15:00  PM,5.450,,,,,
135,07/01/22 11:30:00  PM,5.450,,,,,
136,07/01/22 11:45:00  PM,5.347,,,,,
137,07/02/22 12:00:00  AM,5.450,,,,,
138,07/02/22 12:15:00  AM,6.064,,,,,
139,07/02/22 12:30:00  AM,7.079,,,,,
140,07/02/22 12:45:00  AM,7.381,,,,,
141,07/02/22 01:00:00  AM,5.552,,,,,
142,07/02/22 01:15:00  AM,5.244,,,,,
143,07/02/22 01:30:00  AM,5.037,,,,,
144,07/02/22 01:45:00  AM,5.141,,,,,
145,07/02/22 02:00:00  AM,4.415,,,,,
146,07/02/22 02:15:00  AM,5.141,,,,,
147,07/02/22 02:30:00  AM,4.831,,,,,
148,07/02/22 02:45:00  AM,4.519,,,,,
149,07/02/22 03:00:00  AM,6.064,,,,,
150,07/02/22 03:15:00  AM,7.280,,,,,
151,07/02/22 03:30:00  AM,7.079,,,,,
152,07/02/22 03:45:00  AM,6.877,,,,,
153,07/02/22 04:00:00  AM,7.280,,,,,
154,07/02/22 04:15:00  AM,7.682,,,,,
155,07/02/22 04:30:00  AM,7.882,,,,,
156,07/02/22 04:45:00  AM,8.082,,,,,
157,07/02/22 05:00:00  AM,7.983,,,,,
158,07/02/22 05:15:00  AM,8.779,,,,,
159,07/02/22 05:30:00  AM,8.481,,,,,
160,07/02/22 05:45:00  AM,7.882,,,,,
161,07/02/22 06:00:00  AM,8.581,,,,,
162,07/02/22 06:15:00  AM,7.481,,,,,
163,07/02/22 06:30:00  AM,5.757,,,,,
164,07/02/22 06:45:00  AM,6.166,,,,,
165,07/02/22 07:00:00  AM,6.775,,,,,
166,07/02/22 07:15:00  AM,6.674,,,,,
167,07/02/22 07:30:00  AM,6.370,,,,,
168,07/02/22 07:45:00  AM,7.079,,,,,
169,07/02/22 08:00:00  AM,8.382,,,,,
170,07/02/22 08:15:00  AM,8.581,,,,,
171,07/02/22 08:30:00  AM,8.779,,,,,
172,07/02/22 08:45:00  AM,8.879,,,,,
173,07/02/22 09:00:00  AM,9.965,,,,,
174,07/02/22 09:15:00  AM,11.334,,,,,
175,07/02/22 09:30:00  AM,11.431,,,,,
176,07/02/22 09:45:00  AM,12.497,,,,,
177,07/02/22 10:00:00  AM,13.269,,,,,
178,07/02/22 10:15:00  AM,13.750,,,,,
179,07/02/22 10:30:00  AM,14.996,,,,,
180,07/02/22 10:45:00  AM,16.332,,,,,
181,07/02/22 11:00:00  AM,16.903,,,,,
182,07/02/22 11:15:00  AM,16.332,,,,,
183,07/02/22 11:30:00  AM,17.379,,,,,
184,07/02/22 11:45:00  AM,17.855,,,,,
185,07/02/22 12:00:00  PM,18.616,,,,,
186,07/02/22 12:15:00  PM,18.331,,,,,
187,07/02/22 12:30:00  PM,17.950,,,,,
188,07/02/22 12:45:00  PM,17.570,,,,,
189,07/02/22 01:00:00  PM,16.713,,,,,
190,07/02/22 01:15:00  PM,15.091,,,,,
191,07/02/22 01:30:00  PM,15.664,,,,,
192,07/02/22 01:45:00  PM,14.900,,,,,
193,07/02/22 02:00:00  PM,14.709,,,,,
194,07/02/22 02:15:00  PM,14.996,,,,,
195,07/02/22 02:30:00  PM,16.427,,,,,
196,07/02/22 02:45:00  PM,14.517,,,,,
197,07/02/22 03:00:00  PM,14.134,,,,,
198,07/02/22 03:15:00  PM,14.038,,,,,
199,07/02/22 03:30:00  PM,14.900,,,,,
200,07/02/22 03:45:00  PM,15.569,,,,,
201,07/02/22 04:00:00  PM,15.473,,,,,
202,07/02/22 04:15:00  PM,13.846,,,,,
203,07/02/22 04:30:00  PM,12.497,,,,,
204,07/02/22 04:45:00  PM,12.883,,,,,
205,07/02/22 05:00:00  PM,12.207,,,,,
206,07/02/22 05:15:00  PM,11.625,,,,,
207,07/02/22 05:30:00  PM,12.594,,,,,
208,07/02/22 05:45:00  PM,11.431,,,,,
209,07/02/22 06:00:00  PM,9.373,,,,,
210,07/02/22 06:15:00  PM,8.581,,,,,
211,07/02/22 06:30:00  PM,10.259,,,,,
212,07/02/22 06:45:00  PM,9.373,,,,,
213,07/02/22 07:00:00  PM,9.077,,,,,
214,07/02/22 07:15:00  PM,8.879,,,,,
215,07/02/22 07:30:00  PM,8.779,,,,,
216,07/02/22 07:45:00  PM,8.082,,,,,
217,07/02/22 08:00:00  PM,8.879,,,,,
218,07/02/22 08:15:00  PM,8.779,,,,,
219,07/02/22 08:30:00  PM,7.882,,,,,
220,07/02/22 08:45:00  PM,6.775,,,,,
221,07/02/22 09:00:00  PM,7.882,,,,,
222,07/02/22 09:15:00  PM,7.481,,,,,
223,07/02/22 09:30:00  PM,7.782,,,,,
224,07/02/22 09:45:00  PM,7.280,,,,,
225,07/02/22 10:00:00  PM,7.179,,,,,
226,07/02/22 10:15:00  PM,6.978,,,,,
227,07/02/22 10:30:00  PM,6.573,,,,,
228,07/02/22 10:45:00  PM,6.370,,,,,
229,07/02/22 11:00:00  PM,6.370,,,,,
230,07/02/22 11:15:00  PM,6.877,,,,,
231,07/02/22 11:30:00  PM,6.674,,,,,
232,07/02/22 11:45:00  PM,6.370,,,,,
233,07/03/22 12:00:00  AM,6.370,,,,,
234,07/03/22 12:15:00  AM,6.370,,,,,
235,07/03/22 12:30:00  AM,6.268,,,,,
236,07/03/22 12:45:00  AM,5.244,,,,,
237,07/03/22 01:00:00  AM,5.244,,,,,
238,07/03/22 01:15:00  AM,5.757,,,,,
239,07/03/22 01:30:00  AM,5.757,,,,,
240,07/03/22 01:45:00  AM,6.166,,,,,
241,07/03/22 02:00:00  AM,6.674,,,,,
242,07/03/22 02:15:00  AM,6.166,,,,,
243,07/03/22 02:30:00  AM,5.141,,,,,
244,07/03/22 02:45:00  AM,4.727,,,,,
245,07/03/22 03:00:00  AM,4.623,,,,,
246,07/03/22 03:15:00  AM,4.623,,,,,
247,07/03/22 03:30:00  AM,4.311,,,,,
248,07/03/22 03:45:00  AM,4.102,,,,,
249,07/03/22 04:00:00  AM,4.311,,,,,
250,07/03/22 04:15:00  AM,5.037,,,,,
251,07/03/22 04:30:00  AM,4.623,,,,,
252,07/03/22 04:45:00  AM,4.207,,,,,
253,07/03/22 05:00:00  AM,3.788,,,,,
254,07/03/22 05:15:00  AM,3.893,,,,,
255,07/03/22 05:30:00  AM,4.102,,,,,
256,07/03/22 05:45:00  AM,4.623,,,,,
257,07/03/22 06:00:00  AM,5.141,,,,,
258,07/03/22 06:15:00  AM,4.831,,,,,
259,07/03/22 06:30:00  AM,5.450,,,,,
260,07/03/22 06:45:00  AM,6.471,,,,,
261,07/03/22 07:00:00  AM,7.782,,,,,
262,07/03/22 07:15:00  AM,8.879,,,,,
263,07/03/22 07:30:00  AM,9.866,,,,,
264,07/03/22 07:45:00  AM,9.669,,,,,
265,07/03/22 08:00:00  AM,8.680,,,,,
266,07/03/22 08:15:00  AM,8.282,,,,,
267,07/03/22 08:30:00  AM,8.779,,,,,
268,07/03/22 08:45:00  AM,8.779,,,,,
269,07/03/22 09:00:00  AM,9.373,,,,,
270,07/03/22 09:15:00  AM,8.581,,,,,
271,07/03/22 09:30:00  AM,8.182,,,,,
272,07/03/22 09:45:00  AM,8.182,,,,,
273,07/03/22 10:00:00  AM,8.382,,,,,
274,07/03/22 10:15:00  AM,9.373,,,,,
275,07/03/22 10:30:00  AM,10.161,,,,,
276,07/03/22 10:45:00  AM,10.357,,,,,
277,07/03/22 11:00:00  AM,10.357,,,,,
278,07/03/22 11:15:00  AM,10.455,,,,,
279,07/03/22 11:30:00  AM,10.259,,,,,
