"Plot Title: HOBO_021_ALE_Meadow_3T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10923426, SEN S/N: 10923426, LBL: T_021)","RH, % (LGR S/N: 10923426, SEN S/N: 10923426, LBL: RH_021)","Coupler Detached (LGR S/N: 10923426)","Coupler Attached (LGR S/N: 10923426)","Host Connected (LGR S/N: 10923426)","Stopped (LGR S/N: 10923426)","End Of File (LGR S/N: 10923426)"
1,07/01/22 12:00:00  PM,14.098,48.678,Logged,,,,
2,07/01/22 01:00:00  PM,17.653,40.784,,,,,
3,07/01/22 02:00:00  PM,16.630,43.793,,,,,
4,07/01/22 03:00:00  PM,15.414,45.854,,,,,
5,07/01/22 04:00:00  PM,11.175,55.728,,,,,
6,07/01/22 05:00:00  PM,8.717,63.332,,,,,
7,07/01/22 06:00:00  PM,8.419,63.771,,,,,
8,07/01/22 07:00:00  PM,7.217,64.278,,,,,
9,07/01/22 08:00:00  PM,6.408,70.455,,,,,
10,07/01/22 09:00:00  PM,5.616,73.915,,,,,
11,07/01/22 10:00:00  PM,5.719,73.031,,,,,
12,07/01/22 11:00:00  PM,4.584,77.091,,,,,
13,07/02/22 12:00:00  AM,4.999,74.580,,,,,
14,07/02/22 01:00:00  AM,4.454,76.740,,,,,
15,07/02/22 02:00:00  AM,4.141,78.281,,,,,
16,07/02/22 03:00:00  AM,5.308,78.134,,,,,
17,07/02/22 04:00:00  AM,6.306,71.547,,,,,
18,07/02/22 05:00:00  AM,7.091,71.229,,,,,
19,07/02/22 06:00:00  AM,7.619,67.880,,,,,
20,07/02/22 07:00:00  AM,5.975,80.341,,,,,
21,07/02/22 08:00:00  AM,7.519,76.851,,,,,
22,07/02/22 09:00:00  AM,8.668,69.037,,,,,
23,07/02/22 10:00:00  AM,11.832,59.553,,,,,
24,07/02/22 11:00:00  AM,14.888,51.747,,,,,
25,07/02/22 12:00:00  PM,16.487,48.494,,,,,
26,07/02/22 01:00:00  PM,14.936,51.876,,,,,
27,07/02/22 02:00:00  PM,13.618,50.311,,,,,
28,07/02/22 03:00:00  PM,13.233,53.285,,,,,
29,07/02/22 04:00:00  PM,14.026,51.749,,,,,
30,07/02/22 05:00:00  PM,11.029,56.214,,,,,
31,07/02/22 06:00:00  PM,9.114,64.008,,,,,
32,07/02/22 07:00:00  PM,8.767,64.033,,,,,
33,07/02/22 08:00:00  PM,8.369,67.395,,,,,
34,07/02/22 09:00:00  PM,7.318,70.856,,,,,
35,07/02/22 10:00:00  PM,6.661,76.153,,,,,
36,07/02/22 11:00:00  PM,6.000,79.117,,,,,
37,07/03/22 12:00:00  AM,5.949,78.300,,,,,
38,07/03/22 01:00:00  AM,5.128,80.151,,,,,
39,07/03/22 02:00:00  AM,5.975,80.047,,,,,
40,07/03/22 03:00:00  AM,4.402,92.555,,,,,
41,07/03/22 04:00:00  AM,4.089,93.021,,,,,
42,07/03/22 05:00:00  AM,3.617,92.249,,,,,
43,07/03/22 06:00:00  AM,4.869,93.626,,,,,
44,07/03/22 07:00:00  AM,7.091,94.266,,,,,
45,07/03/22 08:00:00  AM,7.845,91.123,,,,,
46,07/03/22 09:00:00  AM,8.494,92.259,,,,,
47,07/03/22 10:00:00  AM,7.645,91.735,,,,,
48,07/03/22 11:00:00  AM,9.188,91.825,,,,,
49,07/03/22 12:00:00  PM,8.916,92.292,,,,,
50,07/03/22 01:00:00  PM,8.369,91.360,,,,,
51,07/03/22 02:00:00  PM,7.116,93.092,,,,,
52,07/03/22 03:00:00  PM,7.419,92.994,,,,,
53,07/03/22 04:00:00  PM,6.788,94.086,,,,,
54,07/03/22 05:00:00  PM,6.560,92.921,,,,,
55,07/03/22 06:00:00  PM,5.693,90.675,,,,,
56,07/03/22 07:00:00  PM,5.898,92.093,,,,,
57,07/03/22 08:00:00  PM,4.714,92.262,,,,,
58,07/03/22 09:00:00  PM,4.610,92.710,,,,,
59,07/03/22 10:00:00  PM,3.512,92.421,,,,,
60,07/03/22 11:00:00  PM,2.877,93.096,,,,,
61,07/04/22 12:00:00  AM,3.248,93.442,,,,,
62,07/04/22 01:00:00  AM,3.617,93.541,,,,,
63,07/04/22 02:00:00  AM,3.827,92.354,,,,,
64,07/04/22 03:00:00  AM,4.766,89.501,,,,,
65,07/04/22 04:00:00  AM,4.921,90.275,,,,,
66,07/04/22 05:00:00  AM,5.949,89.212,,,,,
67,07/04/22 06:00:00  AM,6.051,87.233,,,,,
68,07/04/22 07:00:00  AM,8.170,82.862,,,,,
69,07/04/22 08:00:00  AM,10.173,74.266,,,,,
70,07/04/22 09:00:00  AM,13.137,59.972,,,,,
71,07/04/22 10:00:00  AM,14.721,54.749,,,,,
72,07/04/22 11:00:00  AM,18.390,47.894,,,,,
73,07/04/22 12:00:00  PM,18.723,43.754,,,,,
74,07/04/22 01:00:00  PM,18.747,43.757,,,,,
75,07/04/22 02:00:00  PM,18.509,43.218,,,,,
76,07/04/22 03:00:00  PM,16.272,47.028,,,,,
77,07/04/22 04:00:00  PM,14.697,50.612,,,,,
78,07/04/22 05:00:00  PM,13.473,53.776,,,,,
79,07/04/22 06:00:00  PM,12.025,57.025,,,,,
80,07/04/22 07:00:00  PM,10.834,60.277,,,,,
81,07/04/22 08:00:00  PM,6.026,71.907,,,,,
82,07/04/22 09:00:00  PM,7.041,73.381,,,,,
83,07/04/22 10:00:00  PM,5.821,77.437,,,,,
84,07/04/22 11:00:00  PM,5.102,79.720,,,,,
85,07/05/22 12:00:00  AM,7.242,71.064,,,,,
86,07/05/22 01:00:00  AM,6.661,73.772,,,,,
87,07/05/22 02:00:00  AM,6.560,74.520,,,,,
88,07/05/22 03:00:00  AM,9.854,66.555,,,,,
89,07/05/22 04:00:00  AM,11.953,59.810,,,,,
90,07/05/22 05:00:00  AM,10.443,63.166,,,,,
91,07/05/22 06:00:00  AM,16.820,50.189,,,,,
92,07/05/22 07:00:00  AM,18.675,44.386,,,,,
93,07/05/22 08:00:00  AM,19.793,40.148,,,,,
94,07/05/22 09:00:00  AM,21.127,39.350,,,,,
