"Plot Title: MEAD_4C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10337436, SEN S/N: 10337436)","Good Battery (LGR S/N: 10337436)","Coupler Attached (LGR S/N: 10337436)","Host Connected (LGR S/N: 10337436)","Stopped (LGR S/N: 10337436)","End Of File (LGR S/N: 10337436)"
1,06/30/22 02:00:00  PM,17.760,Logged,,,,
2,06/30/22 02:15:00  PM,17.855,,,,,
3,06/30/22 02:30:00  PM,17.760,,,,,
4,06/30/22 02:45:00  PM,16.618,,,,,
5,06/30/22 03:00:00  PM,14.996,,,,,
6,06/30/22 03:15:00  PM,14.613,,,,,
7,06/30/22 03:30:00  PM,14.900,,,,,
8,06/30/22 03:45:00  PM,15.664,,,,,
9,06/30/22 04:00:00  PM,15.473,,,,,
10,06/30/22 04:15:00  PM,15.378,,,,,
11,06/30/22 04:30:00  PM,15.378,,,,,
12,06/30/22 04:45:00  PM,14.804,,,,,
13,06/30/22 05:00:00  PM,13.750,,,,,
14,06/30/22 05:15:00  PM,13.558,,,,,
15,06/30/22 05:30:00  PM,13.750,,,,,
16,06/30/22 05:45:00  PM,13.365,,,,,
17,06/30/22 06:00:00  PM,13.173,,,,,
18,06/30/22 06:15:00  PM,13.365,,,,,
19,06/30/22 06:30:00  PM,13.461,,,,,
20,06/30/22 06:45:00  PM,12.690,,,,,
21,06/30/22 07:00:00  PM,12.013,,,,,
22,06/30/22 07:15:00  PM,11.916,,,,,
23,06/30/22 07:30:00  PM,12.304,,,,,
24,06/30/22 07:45:00  PM,12.207,,,,,
25,06/30/22 08:00:00  PM,11.819,,,,,
26,06/30/22 08:15:00  PM,11.041,,,,,
27,06/30/22 08:30:00  PM,11.041,,,,,
28,06/30/22 08:45:00  PM,8.282,,,,,
29,06/30/22 09:00:00  PM,5.860,,,,,
30,06/30/22 09:15:00  PM,4.934,,,,,
31,06/30/22 09:30:00  PM,5.757,,,,,
32,06/30/22 09:45:00  PM,7.983,,,,,
33,06/30/22 10:00:00  PM,9.077,,,,,
34,06/30/22 10:15:00  PM,7.882,,,,,
