"Plot Title: MEAD_7C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20444008, SEN S/N: 20444008)","Coupler Attached (LGR S/N: 20444008)","Host Connected (LGR S/N: 20444008)","Stopped (LGR S/N: 20444008)","End Of File (LGR S/N: 20444008)"
1,06/30/22 02:00:00  PM,15.473,,,,
2,06/30/22 02:15:00  PM,15.187,,,,
3,06/30/22 02:30:00  PM,15.282,,,,
4,06/30/22 02:45:00  PM,14.325,,,,
5,06/30/22 03:00:00  PM,13.846,,,,
6,06/30/22 03:15:00  PM,13.654,,,,
7,06/30/22 03:30:00  PM,14.230,,,,
8,06/30/22 03:45:00  PM,14.804,,,,
9,06/30/22 04:00:00  PM,14.804,,,,
10,06/30/22 04:15:00  PM,15.091,,,,
11,06/30/22 04:30:00  PM,15.187,,,,
12,06/30/22 04:45:00  PM,15.569,,,,
13,06/30/22 05:00:00  PM,14.996,,,,
14,06/30/22 05:15:00  PM,14.709,,,,
15,06/30/22 05:30:00  PM,14.325,,,,
16,06/30/22 05:45:00  PM,14.134,,,,
17,06/30/22 06:00:00  PM,14.134,,,,
18,06/30/22 06:15:00  PM,13.654,,,,
19,06/30/22 06:30:00  PM,13.942,,,,
20,06/30/22 06:45:00  PM,14.134,,,,
21,06/30/22 07:00:00  PM,13.846,,,,
22,06/30/22 07:15:00  PM,13.173,,,,
23,06/30/22 07:30:00  PM,13.173,,,,
24,06/30/22 07:45:00  PM,13.269,,,,
25,06/30/22 08:00:00  PM,13.558,,,,
26,06/30/22 08:15:00  PM,12.594,,,,
27,06/30/22 08:30:00  PM,12.787,,,,
28,06/30/22 08:45:00  PM,9.768,,,,
29,06/30/22 09:00:00  PM,7.381,,,,
30,06/30/22 09:15:00  PM,7.079,,,,
31,06/30/22 09:30:00  PM,9.077,,,,
32,06/30/22 09:45:00  PM,12.594,,,,
33,06/30/22 10:00:00  PM,13.846,,,,
34,06/30/22 10:15:00  PM,10.553,,,,
35,06/30/22 10:30:00  PM,8.779,,,,
36,06/30/22 10:45:00  PM,7.582,,,,
37,06/30/22 11:00:00  PM,7.381,,,,
38,06/30/22 11:15:00  PM,7.782,,,,
39,06/30/22 11:30:00  PM,6.877,,,,
40,06/30/22 11:45:00  PM,6.471,,,,
41,07/01/22 12:00:00  AM,6.268,,,,
42,07/01/22 12:15:00  AM,6.064,,,,
43,07/01/22 12:30:00  AM,5.655,,,,
44,07/01/22 12:45:00  AM,5.141,,,,
45,07/01/22 01:00:00  AM,5.037,,,,
46,07/01/22 01:15:00  AM,4.727,,,,
47,07/01/22 01:30:00  AM,4.934,,,,
48,07/01/22 01:45:00  AM,5.141,,,,
49,07/01/22 02:00:00  AM,5.244,,,,
50,07/01/22 02:15:00  AM,5.347,,,,
51,07/01/22 02:30:00  AM,5.347,,,,
52,07/01/22 02:45:00  AM,5.860,,,,
53,07/01/22 03:00:00  AM,6.978,,,,
54,07/01/22 03:15:00  AM,7.782,,,,
55,07/01/22 03:30:00  AM,7.481,,,,
56,07/01/22 03:45:00  AM,6.978,,,,
57,07/01/22 04:00:00  AM,6.674,,,,
58,07/01/22 04:15:00  AM,6.573,,,,
59,07/01/22 04:30:00  AM,6.268,,,,
60,07/01/22 04:45:00  AM,6.268,,,,
61,07/01/22 05:00:00  AM,6.166,,,,
62,07/01/22 05:15:00  AM,6.370,,,,
63,07/01/22 05:30:00  AM,6.471,,,,
64,07/01/22 05:45:00  AM,6.471,,,,
65,07/01/22 06:00:00  AM,6.573,,,,
66,07/01/22 06:15:00  AM,5.860,,,,
67,07/01/22 06:30:00  AM,5.450,,,,
68,07/01/22 06:45:00  AM,5.757,,,,
69,07/01/22 07:00:00  AM,7.481,,,,
70,07/01/22 07:15:00  AM,8.680,,,,
71,07/01/22 07:30:00  AM,8.082,,,,
72,07/01/22 07:45:00  AM,7.782,,,,
73,07/01/22 08:00:00  AM,7.983,,,,
74,07/01/22 08:15:00  AM,8.382,,,,
75,07/01/22 08:30:00  AM,8.282,,,,
76,07/01/22 08:45:00  AM,8.680,,,,
77,07/01/22 09:00:00  AM,8.879,,,,
78,07/01/22 09:15:00  AM,8.182,,,,
79,07/01/22 09:30:00  AM,10.259,,,,
80,07/01/22 09:45:00  AM,11.722,,,,
81,07/01/22 10:00:00  AM,12.401,,,,
82,07/01/22 10:15:00  AM,13.173,,,,
83,07/01/22 10:30:00  AM,12.980,,,,
84,07/01/22 10:45:00  AM,12.787,,,,
85,07/01/22 11:00:00  AM,10.944,,,,
86,07/01/22 11:15:00  AM,9.571,,,,
87,07/01/22 11:30:00  AM,8.779,,,,
88,07/01/22 11:45:00  AM,8.978,,,,
89,07/01/22 12:00:00  PM,8.879,,,,
90,07/01/22 12:15:00  PM,8.182,,,,
91,07/01/22 12:30:00  PM,8.779,,,,
92,07/01/22 12:45:00  PM,10.161,,,,
93,07/01/22 01:00:00  PM,10.553,,,,
94,07/01/22 01:15:00  PM,10.748,,,,
95,07/01/22 01:30:00  PM,11.722,,,,
96,07/01/22 01:45:00  PM,11.431,,,,
97,07/01/22 02:00:00  PM,10.748,,,,
98,07/01/22 02:15:00  PM,10.063,,,,
99,07/01/22 02:30:00  PM,9.768,,,,
