"Plot Title: MEAD_7T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20548182, SEN S/N: 20548182)","Host Connected (LGR S/N: 20548182)","Coupler Attached (LGR S/N: 20548182)","Stopped (LGR S/N: 20548182)","End Of File (LGR S/N: 20548182)"
1,06/30/22 02:00:00  PM,15.473,,,,
2,06/30/22 02:15:00  PM,15.473,,,,
3,06/30/22 02:30:00  PM,15.664,,,,
4,06/30/22 02:45:00  PM,14.804,,,,
5,06/30/22 03:00:00  PM,13.750,,,,
6,06/30/22 03:15:00  PM,13.461,,,,
7,06/30/22 03:30:00  PM,13.750,,,,
8,06/30/22 03:45:00  PM,14.134,,,,
9,06/30/22 04:00:00  PM,13.942,,,,
10,06/30/22 04:15:00  PM,14.134,,,,
11,06/30/22 04:30:00  PM,14.038,,,,
12,06/30/22 04:45:00  PM,13.942,,,,
13,06/30/22 05:00:00  PM,13.269,,,,
14,06/30/22 05:15:00  PM,12.690,,,,
15,06/30/22 05:30:00  PM,12.594,,,,
16,06/30/22 05:45:00  PM,12.497,,,,
17,06/30/22 06:00:00  PM,12.110,,,,
18,06/30/22 06:15:00  PM,12.401,,,,
19,06/30/22 06:30:00  PM,12.497,,,,
20,06/30/22 06:45:00  PM,12.401,,,,
21,06/30/22 07:00:00  PM,12.013,,,,
22,06/30/22 07:15:00  PM,11.236,,,,
23,06/30/22 07:30:00  PM,10.944,,,,
24,06/30/22 07:45:00  PM,10.651,,,,
25,06/30/22 08:00:00  PM,10.748,,,,
26,06/30/22 08:15:00  PM,10.455,,,,
27,06/30/22 08:30:00  PM,10.161,,,,
28,06/30/22 08:45:00  PM,8.581,,,,
29,06/30/22 09:00:00  PM,7.079,,,,
30,06/30/22 09:15:00  PM,6.573,,,,
31,06/30/22 09:30:00  PM,7.983,,,,
32,06/30/22 09:45:00  PM,9.768,,,,
33,06/30/22 10:00:00  PM,10.553,,,,
34,06/30/22 10:15:00  PM,8.879,,,,
35,06/30/22 10:30:00  PM,8.182,,,,
36,06/30/22 10:45:00  PM,7.582,,,,
37,06/30/22 11:00:00  PM,7.280,,,,
38,06/30/22 11:15:00  PM,7.983,,,,
39,06/30/22 11:30:00  PM,7.481,,,,
40,06/30/22 11:45:00  PM,7.079,,,,
41,07/01/22 12:00:00  AM,6.674,,,,
42,07/01/22 12:15:00  AM,6.471,,,,
43,07/01/22 12:30:00  AM,6.166,,,,
44,07/01/22 12:45:00  AM,5.757,,,,
45,07/01/22 01:00:00  AM,5.655,,,,
46,07/01/22 01:15:00  AM,5.347,,,,
47,07/01/22 01:30:00  AM,5.552,,,,
48,07/01/22 01:45:00  AM,5.655,,,,
49,07/01/22 02:00:00  AM,5.962,,,,
50,07/01/22 02:15:00  AM,6.064,,,,
51,07/01/22 02:30:00  AM,6.268,,,,
52,07/01/22 02:45:00  AM,6.674,,,,
53,07/01/22 03:00:00  AM,8.082,,,,
54,07/01/22 03:15:00  AM,9.669,,,,
55,07/01/22 03:30:00  AM,9.176,,,,
56,07/01/22 03:45:00  AM,8.581,,,,
57,07/01/22 04:00:00  AM,8.082,,,,
58,07/01/22 04:15:00  AM,7.782,,,,
59,07/01/22 04:30:00  AM,7.179,,,,
60,07/01/22 04:45:00  AM,6.978,,,,
61,07/01/22 05:00:00  AM,6.775,,,,
62,07/01/22 05:15:00  AM,6.877,,,,
63,07/01/22 05:30:00  AM,7.079,,,,
64,07/01/22 05:45:00  AM,6.978,,,,
65,07/01/22 06:00:00  AM,6.978,,,,
