"Plot Title: WILL_11C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547764, SEN S/N: 20547764, LBL: 10_cm)","Good Battery (LGR S/N: 20547764)","Coupler Attached (LGR S/N: 20547764)","Host Connected (LGR S/N: 20547764)","Stopped (LGR S/N: 20547764)","End Of File (LGR S/N: 20547764)"
1,06/26/22 12:00:00  PM,13.173,Logged,,,,
2,06/26/22 12:30:00  PM,13.461,,,,,
3,06/26/22 01:00:00  PM,13.461,,,,,
4,06/26/22 01:30:00  PM,13.365,,,,,
5,06/26/22 02:00:00  PM,13.942,,,,,
6,06/26/22 02:30:00  PM,14.996,,,,,
7,06/26/22 03:00:00  PM,15.569,,,,,
8,06/26/22 03:30:00  PM,11.334,,,,,
9,06/26/22 04:00:00  PM,10.455,,,,,
10,06/26/22 04:30:00  PM,8.879,,,,,
11,06/26/22 05:00:00  PM,9.176,,,,,
12,06/26/22 05:30:00  PM,9.176,,,,,
13,06/26/22 06:00:00  PM,8.879,,,,,
14,06/26/22 06:30:00  PM,9.866,,,,,
15,06/26/22 07:00:00  PM,9.866,,,,,
16,06/26/22 07:30:00  PM,10.063,,,,,
17,06/26/22 08:00:00  PM,10.259,,,,,
18,06/26/22 08:30:00  PM,9.669,,,,,
19,06/26/22 09:00:00  PM,8.182,,,,,
20,06/26/22 09:30:00  PM,6.978,,,,,
21,06/26/22 10:00:00  PM,7.481,,,,,
22,06/26/22 10:30:00  PM,8.581,,,,,
23,06/26/22 11:00:00  PM,7.280,,,,,
24,06/26/22 11:30:00  PM,6.268,,,,,
25,06/27/22 12:00:00  AM,7.983,,,,,
26,06/27/22 12:30:00  AM,6.775,,,,,
27,06/27/22 01:00:00  AM,6.370,,,,,
28,06/27/22 01:30:00  AM,6.471,,,,,
29,06/27/22 02:00:00  AM,7.179,,,,,
30,06/27/22 02:30:00  AM,8.182,,,,,
31,06/27/22 03:00:00  AM,8.978,,,,,
32,06/27/22 03:30:00  AM,8.779,,,,,
33,06/27/22 04:00:00  AM,12.304,,,,,
34,06/27/22 04:30:00  AM,11.528,,,,,
35,06/27/22 05:00:00  AM,10.063,,,,,
36,06/27/22 05:30:00  AM,9.866,,,,,
37,06/27/22 06:00:00  AM,11.916,,,,,
38,06/27/22 06:30:00  AM,11.236,,,,,
39,06/27/22 07:00:00  AM,9.965,,,,,
40,06/27/22 07:30:00  AM,11.819,,,,,
41,06/27/22 08:00:00  AM,12.787,,,,,
42,06/27/22 08:30:00  AM,13.076,,,,,
43,06/27/22 09:00:00  AM,12.497,,,,,
44,06/27/22 09:30:00  AM,11.041,,,,,
45,06/27/22 10:00:00  AM,11.722,,,,,
46,06/27/22 10:30:00  AM,13.461,,,,,
47,06/27/22 11:00:00  AM,13.750,,,,,
48,06/27/22 11:30:00  AM,15.187,,,,,
49,06/27/22 12:00:00  PM,15.091,,,,,
50,06/27/22 12:30:00  PM,14.804,,,,,
51,06/27/22 01:00:00  PM,14.613,,,,,
52,06/27/22 01:30:00  PM,15.282,,,,,
53,06/27/22 02:00:00  PM,13.750,,,,,
54,06/27/22 02:30:00  PM,13.269,,,,,
55,06/27/22 03:00:00  PM,14.325,,,,,
56,06/27/22 03:30:00  PM,13.365,,,,,
57,06/27/22 04:00:00  PM,13.365,,,,,
58,06/27/22 04:30:00  PM,13.846,,,,,
59,06/27/22 05:00:00  PM,12.401,,,,,
60,06/27/22 05:30:00  PM,13.269,,,,,
61,06/27/22 06:00:00  PM,12.883,,,,,
62,06/27/22 06:30:00  PM,13.076,,,,,
63,06/27/22 07:00:00  PM,12.304,,,,,
64,06/27/22 07:30:00  PM,12.401,,,,,
65,06/27/22 08:00:00  PM,11.041,,,,,
66,06/27/22 08:30:00  PM,10.748,,,,,
67,06/27/22 09:00:00  PM,11.431,,,,,
68,06/27/22 09:30:00  PM,9.866,,,,,
69,06/27/22 10:00:00  PM,10.063,,,,,
70,06/27/22 10:30:00  PM,9.965,,,,,
71,06/27/22 11:00:00  PM,10.161,,,,,
72,06/27/22 11:30:00  PM,10.161,,,,,
73,06/28/22 12:00:00  AM,11.819,,,,,
74,06/28/22 12:30:00  AM,11.236,,,,,
75,06/28/22 01:00:00  AM,9.965,,,,,
76,06/28/22 01:30:00  AM,10.651,,,,,
77,06/28/22 02:00:00  AM,10.161,,,,,
78,06/28/22 02:30:00  AM,10.357,,,,,
79,06/28/22 03:00:00  AM,12.304,,,,,
80,06/28/22 03:30:00  AM,11.819,,,,,
81,06/28/22 04:00:00  AM,12.883,,,,,
82,06/28/22 04:30:00  AM,13.173,,,,,
83,06/28/22 05:00:00  AM,12.207,,,,,
84,06/28/22 05:30:00  AM,12.883,,,,,
85,06/28/22 06:00:00  AM,14.325,,,,,
86,06/28/22 06:30:00  AM,12.980,,,,,
87,06/28/22 07:00:00  AM,15.282,,,,,
88,06/28/22 07:30:00  AM,17.094,,,,,
89,06/28/22 08:00:00  AM,17.189,,,,,
90,06/28/22 08:30:00  AM,19.187,,,,,
91,06/28/22 09:00:00  AM,18.236,,,,,
92,06/28/22 09:30:00  AM,18.806,,,,,
93,06/28/22 10:00:00  AM,19.472,,,,,
94,06/28/22 10:30:00  AM,19.092,,,,,
95,06/28/22 11:00:00  AM,20.805,,,,,
96,06/28/22 11:30:00  AM,20.710,,,,,
97,06/28/22 12:00:00  PM,20.805,,,,,
98,06/28/22 12:30:00  PM,20.710,,,,,
99,06/28/22 01:00:00  PM,20.615,,,,,
100,06/28/22 01:30:00  PM,19.853,,,,,
101,06/28/22 02:00:00  PM,20.519,,,,,
102,06/28/22 02:30:00  PM,18.140,,,,,
103,06/28/22 03:00:00  PM,18.426,,,,,
104,06/28/22 03:30:00  PM,14.517,,,,,
105,06/28/22 04:00:00  PM,13.942,,,,,
106,06/28/22 04:30:00  PM,14.613,,,,,
107,06/28/22 05:00:00  PM,14.230,,,,,
108,06/28/22 05:30:00  PM,15.282,,,,,
109,06/28/22 06:00:00  PM,14.230,,,,,
110,06/28/22 06:30:00  PM,13.461,,,,,
111,06/28/22 07:00:00  PM,13.942,,,,,
112,06/28/22 07:30:00  PM,13.461,,,,,
113,06/28/22 08:00:00  PM,12.304,,,,,
114,06/28/22 08:30:00  PM,11.916,,,,,
115,06/28/22 09:00:00  PM,11.819,,,,,
116,06/28/22 09:30:00  PM,11.528,,,,,
117,06/28/22 10:00:00  PM,12.401,,,,,
118,06/28/22 10:30:00  PM,12.401,,,,,
119,06/28/22 11:00:00  PM,12.110,,,,,
120,06/28/22 11:30:00  PM,12.690,,,,,
121,06/29/22 12:00:00  AM,13.076,,,,,
122,06/29/22 12:30:00  AM,13.365,,,,,
123,06/29/22 01:00:00  AM,13.942,,,,,
124,06/29/22 01:30:00  AM,13.461,,,,,
125,06/29/22 02:00:00  AM,13.076,,,,,
126,06/29/22 02:30:00  AM,13.942,,,,,
127,06/29/22 03:00:00  AM,15.569,,,,,
128,06/29/22 03:30:00  AM,15.569,,,,,
129,06/29/22 04:00:00  AM,16.903,,,,,
130,06/29/22 04:30:00  AM,16.141,,,,,
131,06/29/22 05:00:00  AM,17.760,,,,,
132,06/29/22 05:30:00  AM,17.379,,,,,
