"Plot Title: WILL_12C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20422514, SEN S/N: 20422514, LBL: 10_cm)","Coupler Attached (LGR S/N: 20422514)","Host Connected (LGR S/N: 20422514)","Stopped (LGR S/N: 20422514)","End Of File (LGR S/N: 20422514)"
1,06/26/22 12:00:00  PM,12.304,,,,
2,06/26/22 12:30:00  PM,12.594,,,,
3,06/26/22 01:00:00  PM,12.883,,,,
4,06/26/22 01:30:00  PM,12.690,,,,
5,06/26/22 02:00:00  PM,12.980,,,,
6,06/26/22 02:30:00  PM,13.750,,,,
7,06/26/22 03:00:00  PM,13.558,,,,
8,06/26/22 03:30:00  PM,10.063,,,,
9,06/26/22 04:00:00  PM,9.373,,,,
10,06/26/22 04:30:00  PM,8.182,,,,
11,06/26/22 05:00:00  PM,8.680,,,,
12,06/26/22 05:30:00  PM,8.779,,,,
13,06/26/22 06:00:00  PM,8.382,,,,
14,06/26/22 06:30:00  PM,9.275,,,,
15,06/26/22 07:00:00  PM,9.373,,,,
16,06/26/22 07:30:00  PM,9.669,,,,
17,06/26/22 08:00:00  PM,9.866,,,,
18,06/26/22 08:30:00  PM,9.077,,,,
19,06/26/22 09:00:00  PM,7.782,,,,
20,06/26/22 09:30:00  PM,6.775,,,,
21,06/26/22 10:00:00  PM,7.381,,,,
22,06/26/22 10:30:00  PM,8.382,,,,
23,06/26/22 11:00:00  PM,6.775,,,,
24,06/26/22 11:30:00  PM,5.962,,,,
25,06/27/22 12:00:00  AM,7.782,,,,
26,06/27/22 12:30:00  AM,6.370,,,,
27,06/27/22 01:00:00  AM,6.268,,,,
28,06/27/22 01:30:00  AM,6.268,,,,
29,06/27/22 02:00:00  AM,6.978,,,,
30,06/27/22 02:30:00  AM,7.782,,,,
31,06/27/22 03:00:00  AM,8.282,,,,
32,06/27/22 03:30:00  AM,8.082,,,,
33,06/27/22 04:00:00  AM,10.944,,,,
34,06/27/22 04:30:00  AM,10.944,,,,
35,06/27/22 05:00:00  AM,9.373,,,,
36,06/27/22 05:30:00  AM,9.472,,,,
37,06/27/22 06:00:00  AM,11.139,,,,
38,06/27/22 06:30:00  AM,9.866,,,,
39,06/27/22 07:00:00  AM,9.373,,,,
40,06/27/22 07:30:00  AM,11.139,,,,
41,06/27/22 08:00:00  AM,11.916,,,,
42,06/27/22 08:30:00  AM,11.916,,,,
43,06/27/22 09:00:00  AM,10.944,,,,
44,06/27/22 09:30:00  AM,9.768,,,,
45,06/27/22 10:00:00  AM,10.161,,,,
46,06/27/22 10:30:00  AM,11.528,,,,
47,06/27/22 11:00:00  AM,12.207,,,,
48,06/27/22 11:30:00  AM,13.461,,,,
49,06/27/22 12:00:00  PM,13.750,,,,
50,06/27/22 12:30:00  PM,13.269,,,,
51,06/27/22 01:00:00  PM,13.269,,,,
52,06/27/22 01:30:00  PM,14.421,,,,
53,06/27/22 02:00:00  PM,13.173,,,,
54,06/27/22 02:30:00  PM,12.594,,,,
55,06/27/22 03:00:00  PM,13.846,,,,
56,06/27/22 03:30:00  PM,13.173,,,,
57,06/27/22 04:00:00  PM,13.269,,,,
58,06/27/22 04:30:00  PM,14.134,,,,
59,06/27/22 05:00:00  PM,12.690,,,,
60,06/27/22 05:30:00  PM,13.846,,,,
61,06/27/22 06:00:00  PM,12.690,,,,
62,06/27/22 06:30:00  PM,13.461,,,,
63,06/27/22 07:00:00  PM,12.110,,,,
64,06/27/22 07:30:00  PM,12.594,,,,
65,06/27/22 08:00:00  PM,10.944,,,,
66,06/27/22 08:30:00  PM,10.455,,,,
67,06/27/22 09:00:00  PM,10.651,,,,
68,06/27/22 09:30:00  PM,9.077,,,,
69,06/27/22 10:00:00  PM,8.082,,,,
70,06/27/22 10:30:00  PM,8.382,,,,
71,06/27/22 11:00:00  PM,8.382,,,,
72,06/27/22 11:30:00  PM,7.782,,,,
73,06/28/22 12:00:00  AM,9.077,,,,
74,06/28/22 12:30:00  AM,8.581,,,,
75,06/28/22 01:00:00  AM,7.983,,,,
76,06/28/22 01:30:00  AM,8.680,,,,
77,06/28/22 02:00:00  AM,7.983,,,,
78,06/28/22 02:30:00  AM,8.481,,,,
79,06/28/22 03:00:00  AM,9.768,,,,
80,06/28/22 03:30:00  AM,9.472,,,,
81,06/28/22 04:00:00  AM,10.063,,,,
82,06/28/22 04:30:00  AM,10.259,,,,
83,06/28/22 05:00:00  AM,10.161,,,,
84,06/28/22 05:30:00  AM,10.259,,,,
85,06/28/22 06:00:00  AM,11.236,,,,
86,06/28/22 06:30:00  AM,11.041,,,,
87,06/28/22 07:00:00  AM,12.304,,,,
88,06/28/22 07:30:00  AM,13.750,,,,
89,06/28/22 08:00:00  AM,14.709,,,,
90,06/28/22 08:30:00  AM,16.237,,,,
91,06/28/22 09:00:00  AM,16.237,,,,
92,06/28/22 09:30:00  AM,16.808,,,,
93,06/28/22 10:00:00  AM,17.665,,,,
94,06/28/22 10:30:00  AM,17.379,,,,
95,06/28/22 11:00:00  AM,18.711,,,,
96,06/28/22 11:30:00  AM,18.806,,,,
97,06/28/22 12:00:00  PM,19.187,,,,
98,06/28/22 12:30:00  PM,19.282,,,,
99,06/28/22 01:00:00  PM,19.758,,,,
100,06/28/22 01:30:00  PM,18.426,,,,
101,06/28/22 02:00:00  PM,19.092,,,,
102,06/28/22 02:30:00  PM,16.427,,,,
103,06/28/22 03:00:00  PM,17.379,,,,
104,06/28/22 03:30:00  PM,16.237,,,,
105,06/28/22 04:00:00  PM,13.654,,,,
106,06/28/22 04:30:00  PM,14.613,,,,
107,06/28/22 05:00:00  PM,14.517,,,,
108,06/28/22 05:30:00  PM,14.709,,,,
109,06/28/22 06:00:00  PM,14.325,,,,
110,06/28/22 06:30:00  PM,13.750,,,,
111,06/28/22 07:00:00  PM,14.134,,,,
112,06/28/22 07:30:00  PM,13.461,,,,
113,06/28/22 08:00:00  PM,11.916,,,,
114,06/28/22 08:30:00  PM,11.236,,,,
115,06/28/22 09:00:00  PM,10.455,,,,
116,06/28/22 09:30:00  PM,9.768,,,,
117,06/28/22 10:00:00  PM,10.553,,,,
118,06/28/22 10:30:00  PM,10.748,,,,
119,06/28/22 11:00:00  PM,10.651,,,,
120,06/28/22 11:30:00  PM,10.944,,,,
121,06/29/22 12:00:00  AM,11.041,,,,
122,06/29/22 12:30:00  AM,10.748,,,,
123,06/29/22 01:00:00  AM,10.846,,,,
124,06/29/22 01:30:00  AM,9.866,,,,
125,06/29/22 02:00:00  AM,10.553,,,,
126,06/29/22 02:30:00  AM,11.236,,,,
127,06/29/22 03:00:00  AM,12.013,,,,
128,06/29/22 03:30:00  AM,12.497,,,,
129,06/29/22 04:00:00  AM,13.365,,,,
130,06/29/22 04:30:00  AM,13.461,,,,
131,06/29/22 05:00:00  AM,14.900,,,,
132,06/29/22 05:30:00  AM,14.709,,,,
133,06/29/22 06:00:00  AM,16.141,,,,
134,06/29/22 06:30:00  AM,15.951,,,,
135,06/29/22 07:00:00  AM,16.523,,,,
136,06/29/22 07:30:00  AM,16.618,,,,
137,06/29/22 08:00:00  AM,15.951,,,,
138,06/29/22 08:30:00  AM,15.855,,,,
139,06/29/22 09:00:00  AM,17.094,,,,
140,06/29/22 09:30:00  AM,11.625,,,,
141,06/29/22 10:00:00  AM,12.401,,,,
142,06/29/22 10:30:00  AM,13.269,,,,
143,06/29/22 11:00:00  AM,14.230,,,,
144,06/29/22 11:30:00  AM,14.134,,,,
145,06/29/22 12:00:00  PM,14.804,,,,
146,06/29/22 12:30:00  PM,14.996,,,,
147,06/29/22 01:00:00  PM,15.951,,,,
148,06/29/22 01:30:00  PM,16.332,,,,
149,06/29/22 02:00:00  PM,16.427,,,,
150,06/29/22 02:30:00  PM,16.713,,,,
151,06/29/22 03:00:00  PM,17.189,,,,
152,06/29/22 03:30:00  PM,16.332,,,,
153,06/29/22 04:00:00  PM,15.664,,,,
154,06/29/22 04:30:00  PM,15.091,,,,
155,06/29/22 05:00:00  PM,15.569,,,,
156,06/29/22 05:30:00  PM,14.325,,,,
157,06/29/22 06:00:00  PM,13.654,,,,
158,06/29/22 06:30:00  PM,13.942,,,,
159,06/29/22 07:00:00  PM,14.325,,,,
160,06/29/22 07:30:00  PM,13.269,,,,
161,06/29/22 08:00:00  PM,13.365,,,,
162,06/29/22 08:30:00  PM,11.625,,,,
163,06/29/22 09:00:00  PM,10.651,,,,
164,06/29/22 09:30:00  PM,11.334,,,,
165,06/29/22 10:00:00  PM,10.944,,,,
166,06/29/22 10:30:00  PM,10.259,,,,
167,06/29/22 11:00:00  PM,9.669,,,,
168,06/29/22 11:30:00  PM,9.866,,,,
169,06/30/22 12:00:00  AM,9.669,,,,
170,06/30/22 12:30:00  AM,10.455,,,,
171,06/30/22 01:00:00  AM,9.669,,,,
172,06/30/22 01:30:00  AM,10.259,,,,
173,06/30/22 02:00:00  AM,9.669,,,,
174,06/30/22 02:30:00  AM,11.139,,,,
175,06/30/22 03:00:00  AM,9.965,,,,
176,06/30/22 03:30:00  AM,8.779,,,,
177,06/30/22 04:00:00  AM,9.669,,,,
178,06/30/22 04:30:00  AM,10.063,,,,
179,06/30/22 05:00:00  AM,10.944,,,,
180,06/30/22 05:30:00  AM,12.207,,,,
181,06/30/22 06:00:00  AM,12.594,,,,
182,06/30/22 06:30:00  AM,12.690,,,,
183,06/30/22 07:00:00  AM,13.076,,,,
184,06/30/22 07:30:00  AM,14.134,,,,
185,06/30/22 08:00:00  AM,13.365,,,,
186,06/30/22 08:30:00  AM,13.558,,,,
187,06/30/22 09:00:00  AM,14.134,,,,
188,06/30/22 09:30:00  AM,14.517,,,,
189,06/30/22 10:00:00  AM,14.134,,,,
190,06/30/22 10:30:00  AM,15.473,,,,
191,06/30/22 11:00:00  AM,15.378,,,,
192,06/30/22 11:30:00  AM,15.569,,,,
193,06/30/22 12:00:00  PM,17.284,,,,
194,06/30/22 12:30:00  PM,16.618,,,,
195,06/30/22 01:00:00  PM,14.900,,,,
196,06/30/22 01:30:00  PM,14.996,,,,
197,06/30/22 02:00:00  PM,16.046,,,,
198,06/30/22 02:30:00  PM,15.664,,,,
199,06/30/22 03:00:00  PM,13.942,,,,
200,06/30/22 03:30:00  PM,14.134,,,,
201,06/30/22 04:00:00  PM,14.613,,,,
202,06/30/22 04:30:00  PM,14.996,,,,
203,06/30/22 05:00:00  PM,13.173,,,,
204,06/30/22 05:30:00  PM,12.980,,,,
205,06/30/22 06:00:00  PM,12.787,,,,
206,06/30/22 06:30:00  PM,12.690,,,,
207,06/30/22 07:00:00  PM,11.528,,,,
208,06/30/22 07:30:00  PM,11.528,,,,
209,06/30/22 08:00:00  PM,10.944,,,,
210,06/30/22 08:30:00  PM,10.161,,,,
211,06/30/22 09:00:00  PM,5.141,,,,
212,06/30/22 09:30:00  PM,7.079,,,,
213,06/30/22 10:00:00  PM,9.669,,,,
214,06/30/22 10:30:00  PM,6.573,,,,
215,06/30/22 11:00:00  PM,5.655,,,,
216,06/30/22 11:30:00  PM,5.655,,,,
217,07/01/22 12:00:00  AM,5.037,,,,
218,07/01/22 12:30:00  AM,4.727,,,,
219,07/01/22 01:00:00  AM,4.102,,,,
220,07/01/22 01:30:00  AM,4.207,,,,
221,07/01/22 02:00:00  AM,4.831,,,,
222,07/01/22 02:30:00  AM,4.934,,,,
223,07/01/22 03:00:00  AM,7.079,,,,
224,07/01/22 03:30:00  AM,7.179,,,,
225,07/01/22 04:00:00  AM,6.573,,,,
226,07/01/22 04:30:00  AM,5.552,,,,
227,07/01/22 05:00:00  AM,5.757,,,,
228,07/01/22 05:30:00  AM,6.268,,,,
229,07/01/22 06:00:00  AM,5.962,,,,
230,07/01/22 06:30:00  AM,4.831,,,,
231,07/01/22 07:00:00  AM,7.782,,,,
232,07/01/22 07:30:00  AM,7.381,,,,
233,07/01/22 08:00:00  AM,7.882,,,,
234,07/01/22 08:30:00  AM,7.882,,,,
235,07/01/22 09:00:00  AM,7.682,,,,
236,07/01/22 09:30:00  AM,11.722,,,,
237,07/01/22 10:00:00  AM,12.304,,,,
238,07/01/22 10:30:00  AM,13.558,,,,
239,07/01/22 11:00:00  AM,10.161,,,,
240,07/01/22 11:30:00  AM,8.779,,,,
241,07/01/22 12:00:00  PM,8.879,,,,
242,07/01/22 12:30:00  PM,9.571,,,,
243,07/01/22 01:00:00  PM,11.528,,,,
244,07/01/22 01:30:00  PM,12.497,,,,
245,07/01/22 02:00:00  PM,10.748,,,,
246,07/01/22 02:30:00  PM,9.669,,,,
247,07/01/22 03:00:00  PM,10.063,,,,
248,07/01/22 03:30:00  PM,9.077,,,,
249,07/01/22 04:00:00  PM,7.280,,,,
250,07/01/22 04:30:00  PM,6.268,,,,
251,07/01/22 05:00:00  PM,6.166,,,,
252,07/01/22 05:30:00  PM,5.757,,,,
253,07/01/22 06:00:00  PM,5.860,,,,
254,07/01/22 06:30:00  PM,5.347,,,,
255,07/01/22 07:00:00  PM,5.037,,,,
256,07/01/22 07:30:00  PM,4.831,,,,
257,07/01/22 08:00:00  PM,4.623,,,,
258,07/01/22 08:30:00  PM,4.102,,,,
259,07/01/22 09:00:00  PM,4.727,,,,
260,07/01/22 09:30:00  PM,4.727,,,,
261,07/01/22 10:00:00  PM,4.934,,,,
262,07/01/22 10:30:00  PM,4.207,,,,
263,07/01/22 11:00:00  PM,4.623,,,,
264,07/01/22 11:30:00  PM,3.367,,,,
265,07/02/22 12:00:00  AM,4.415,,,,
266,07/02/22 12:30:00  AM,5.244,,,,
267,07/02/22 01:00:00  AM,3.261,,,,
268,07/02/22 01:30:00  AM,4.102,,,,
269,07/02/22 02:00:00  AM,3.683,,,,
270,07/02/22 02:30:00  AM,3.367,,,,
271,07/02/22 03:00:00  AM,4.519,,,,
272,07/02/22 03:30:00  AM,4.311,,,,
273,07/02/22 04:00:00  AM,5.037,,,,
274,07/02/22 04:30:00  AM,5.552,,,,
275,07/02/22 05:00:00  AM,5.962,,,,
276,07/02/22 05:30:00  AM,5.450,,,,
277,07/02/22 06:00:00  AM,5.757,,,,
278,07/02/22 06:30:00  AM,4.311,,,,
279,07/02/22 07:00:00  AM,5.141,,,,
280,07/02/22 07:30:00  AM,5.347,,,,
281,07/02/22 08:00:00  AM,6.775,,,,
282,07/02/22 08:30:00  AM,6.064,,,,
283,07/02/22 09:00:00  AM,7.179,,,,
284,07/02/22 09:30:00  AM,9.077,,,,
285,07/02/22 10:00:00  AM,8.680,,,,
286,07/02/22 10:30:00  AM,9.571,,,,
287,07/02/22 11:00:00  AM,10.846,,,,
288,07/02/22 11:30:00  AM,11.431,,,,
289,07/02/22 12:00:00  PM,11.819,,,,
290,07/02/22 12:30:00  PM,12.304,,,,
291,07/02/22 01:00:00  PM,10.748,,,,
292,07/02/22 01:30:00  PM,10.944,,,,
293,07/02/22 02:00:00  PM,10.455,,,,
294,07/02/22 02:30:00  PM,11.625,,,,
295,07/02/22 03:00:00  PM,9.176,,,,
296,07/02/22 03:30:00  PM,10.357,,,,
297,07/02/22 04:00:00  PM,10.161,,,,
298,07/02/22 04:30:00  PM,10.455,,,,
299,07/02/22 05:00:00  PM,8.978,,,,
300,07/02/22 05:30:00  PM,9.275,,,,
301,07/02/22 06:00:00  PM,6.573,,,,
302,07/02/22 06:30:00  PM,8.481,,,,
303,07/02/22 07:00:00  PM,7.280,,,,
304,07/02/22 07:30:00  PM,7.179,,,,
305,07/02/22 08:00:00  PM,7.582,,,,
306,07/02/22 08:30:00  PM,5.860,,,,
307,07/02/22 09:00:00  PM,6.573,,,,
308,07/02/22 09:30:00  PM,6.166,,,,
309,07/02/22 10:00:00  PM,5.962,,,,
310,07/02/22 10:30:00  PM,5.655,,,,
311,07/02/22 11:00:00  PM,5.141,,,,
312,07/02/22 11:30:00  PM,5.757,,,,
313,07/03/22 12:00:00  AM,5.552,,,,
314,07/03/22 12:30:00  AM,5.552,,,,
315,07/03/22 01:00:00  AM,4.831,,,,
316,07/03/22 01:30:00  AM,4.934,,,,
317,07/03/22 02:00:00  AM,5.450,,,,
318,07/03/22 02:30:00  AM,4.623,,,,
319,07/03/22 03:00:00  AM,3.998,,,,
320,07/03/22 03:30:00  AM,3.472,,,,
321,07/03/22 04:00:00  AM,4.102,,,,
322,07/03/22 04:30:00  AM,4.102,,,,
323,07/03/22 05:00:00  AM,3.367,,,,
324,07/03/22 05:30:00  AM,3.893,,,,
325,07/03/22 06:00:00  AM,4.311,,,,
326,07/03/22 06:30:00  AM,4.727,,,,
327,07/03/22 07:00:00  AM,5.655,,,,
328,07/03/22 07:30:00  AM,6.978,,,,
329,07/03/22 08:00:00  AM,5.860,,,,
330,07/03/22 08:30:00  AM,6.064,,,,
331,07/03/22 09:00:00  AM,6.573,,,,
332,07/03/22 09:30:00  AM,5.655,,,,
333,07/03/22 10:00:00  AM,6.166,,,,
334,07/03/22 10:30:00  AM,7.079,,,,
335,07/03/22 11:00:00  AM,7.280,,,,
336,07/03/22 11:30:00  AM,6.978,,,,
337,07/03/22 12:00:00  PM,6.978,,,,
338,07/03/22 12:30:00  PM,6.674,,,,
339,07/03/22 01:00:00  PM,6.877,,,,
340,07/03/22 01:30:00  PM,6.064,,,,
341,07/03/22 02:00:00  PM,6.775,,,,
342,07/03/22 02:30:00  PM,5.141,,,,
343,07/03/22 03:00:00  PM,6.064,,,,
344,07/03/22 03:30:00  PM,6.573,,,,
345,07/03/22 04:00:00  PM,5.757,,,,
346,07/03/22 04:30:00  PM,4.727,,,,
347,07/03/22 05:00:00  PM,5.450,,,,
348,07/03/22 05:30:00  PM,4.623,,,,
349,07/03/22 06:00:00  PM,4.519,,,,
350,07/03/22 06:30:00  PM,4.415,,,,
351,07/03/22 07:00:00  PM,5.141,,,,
352,07/03/22 07:30:00  PM,4.727,,,,
353,07/03/22 08:00:00  PM,3.998,,,,
354,07/03/22 08:30:00  PM,3.998,,,,
355,07/03/22 09:00:00  PM,3.683,,,,
356,07/03/22 09:30:00  PM,3.049,,,,
357,07/03/22 10:00:00  PM,2.730,,,,
358,07/03/22 10:30:00  PM,2.410,,,,
359,07/03/22 11:00:00  PM,2.195,,,,
360,07/03/22 11:30:00  PM,2.624,,,,
361,07/04/22 12:00:00  AM,2.624,,,,
362,07/04/22 12:30:00  AM,2.730,,,,
363,07/04/22 01:00:00  AM,3.049,,,,
364,07/04/22 01:30:00  AM,2.943,,,,
365,07/04/22 02:00:00  AM,3.578,,,,
366,07/04/22 02:30:00  AM,3.155,,,,
367,07/04/22 03:00:00  AM,3.578,,,,
368,07/04/22 03:30:00  AM,3.683,,,,
369,07/04/22 04:00:00  AM,3.683,,,,
370,07/04/22 04:30:00  AM,4.207,,,,
371,07/04/22 05:00:00  AM,4.519,,,,
372,07/04/22 05:30:00  AM,4.519,,,,
373,07/04/22 06:00:00  AM,4.623,,,,
374,07/04/22 06:30:00  AM,4.934,,,,
375,07/04/22 07:00:00  AM,5.655,,,,
376,07/04/22 07:30:00  AM,6.471,,,,
377,07/04/22 08:00:00  AM,7.079,,,,
378,07/04/22 08:30:00  AM,8.182,,,,
379,07/04/22 09:00:00  AM,8.282,,,,
380,07/04/22 09:30:00  AM,8.879,,,,
381,07/04/22 10:00:00  AM,8.481,,,,
382,07/04/22 10:30:00  AM,10.651,,,,
383,07/04/22 11:00:00  AM,10.063,,,,
384,07/04/22 11:30:00  AM,10.651,,,,
385,07/04/22 12:00:00  PM,10.944,,,,
386,07/04/22 12:30:00  PM,11.722,,,,
387,07/04/22 01:00:00  PM,11.431,,,,
388,07/04/22 01:30:00  PM,11.819,,,,
389,07/04/22 02:00:00  PM,12.207,,,,
390,07/04/22 02:30:00  PM,11.625,,,,
391,07/04/22 03:00:00  PM,12.013,,,,
392,07/04/22 03:30:00  PM,11.625,,,,
393,07/04/22 04:00:00  PM,11.139,,,,
394,07/04/22 04:30:00  PM,11.041,,,,
395,07/04/22 05:00:00  PM,10.357,,,,
396,07/04/22 05:30:00  PM,9.669,,,,
397,07/04/22 06:00:00  PM,9.965,,,,
398,07/04/22 06:30:00  PM,9.472,,,,
399,07/04/22 07:00:00  PM,8.978,,,,
400,07/04/22 07:30:00  PM,7.481,,,,
401,07/04/22 08:00:00  PM,4.934,,,,
402,07/04/22 08:30:00  PM,5.757,,,,
403,07/04/22 09:00:00  PM,6.674,,,,
404,07/04/22 09:30:00  PM,5.141,,,,
405,07/04/22 10:00:00  PM,6.268,,,,
406,07/04/22 10:30:00  PM,4.207,,,,
407,07/04/22 11:00:00  PM,5.244,,,,
408,07/04/22 11:30:00  PM,5.860,,,,
409,07/05/22 12:00:00  AM,5.860,,,,
410,07/05/22 12:30:00  AM,6.370,,,,
411,07/05/22 01:00:00  AM,5.757,,,,
412,07/05/22 01:30:00  AM,5.244,,,,
413,07/05/22 02:00:00  AM,6.978,,,,
414,07/05/22 02:30:00  AM,7.079,,,,
415,07/05/22 03:00:00  AM,8.481,,,,
416,07/05/22 03:30:00  AM,8.779,,,,
417,07/05/22 04:00:00  AM,8.978,,,,
418,07/05/22 04:30:00  AM,6.370,,,,
419,07/05/22 05:00:00  AM,6.978,,,,
420,07/05/22 05:30:00  AM,9.768,,,,
421,07/05/22 06:00:00  AM,10.846,,,,
422,07/05/22 06:30:00  AM,10.357,,,,
423,07/05/22 07:00:00  AM,11.041,,,,
424,07/05/22 07:30:00  AM,10.944,,,,
425,07/05/22 08:00:00  AM,13.269,,,,
