"Plot Title: WILL_12T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547753, SEN S/N: 20547753, LBL: 10_cm)","Coupler Attached (LGR S/N: 20547753)","Host Connected (LGR S/N: 20547753)","Stopped (LGR S/N: 20547753)","End Of File (LGR S/N: 20547753)"
1,06/26/22 12:00:00  PM,13.173,,,,
2,06/26/22 12:30:00  PM,15.473,,,,
3,06/26/22 01:00:00  PM,14.804,,,,
4,06/26/22 01:30:00  PM,14.517,,,,
5,06/26/22 02:00:00  PM,14.517,,,,
6,06/26/22 02:30:00  PM,14.804,,,,
7,06/26/22 03:00:00  PM,15.282,,,,
8,06/26/22 03:30:00  PM,10.846,,,,
9,06/26/22 04:00:00  PM,9.768,,,,
10,06/26/22 04:30:00  PM,8.481,,,,
11,06/26/22 05:00:00  PM,8.879,,,,
12,06/26/22 05:30:00  PM,8.879,,,,
13,06/26/22 06:00:00  PM,8.779,,,,
14,06/26/22 06:30:00  PM,9.571,,,,
15,06/26/22 07:00:00  PM,10.357,,,,
16,06/26/22 07:30:00  PM,10.455,,,,
17,06/26/22 08:00:00  PM,11.334,,,,
18,06/26/22 08:30:00  PM,10.161,,,,
19,06/26/22 09:00:00  PM,8.082,,,,
20,06/26/22 09:30:00  PM,6.877,,,,
21,06/26/22 10:00:00  PM,7.381,,,,
22,06/26/22 10:30:00  PM,8.382,,,,
23,06/26/22 11:00:00  PM,7.179,,,,
24,06/26/22 11:30:00  PM,6.064,,,,
25,06/27/22 12:00:00  AM,7.882,,,,
26,06/27/22 12:30:00  AM,6.573,,,,
27,06/27/22 01:00:00  AM,6.370,,,,
28,06/27/22 01:30:00  AM,6.370,,,,
29,06/27/22 02:00:00  AM,7.079,,,,
30,06/27/22 02:30:00  AM,8.581,,,,
31,06/27/22 03:00:00  AM,9.176,,,,
32,06/27/22 03:30:00  AM,9.176,,,,
33,06/27/22 04:00:00  AM,12.594,,,,
34,06/27/22 04:30:00  AM,13.558,,,,
35,06/27/22 05:00:00  AM,10.161,,,,
36,06/27/22 05:30:00  AM,9.965,,,,
37,06/27/22 06:00:00  AM,12.594,,,,
38,06/27/22 06:30:00  AM,11.236,,,,
39,06/27/22 07:00:00  AM,9.571,,,,
40,06/27/22 07:30:00  AM,12.207,,,,
41,06/27/22 08:00:00  AM,14.421,,,,
42,06/27/22 08:30:00  AM,13.846,,,,
43,06/27/22 09:00:00  AM,14.038,,,,
44,06/27/22 09:30:00  AM,13.076,,,,
45,06/27/22 10:00:00  AM,13.942,,,,
46,06/27/22 10:30:00  AM,14.517,,,,
47,06/27/22 11:00:00  AM,15.282,,,,
48,06/27/22 11:30:00  AM,16.713,,,,
49,06/27/22 12:00:00  PM,15.855,,,,
50,06/27/22 12:30:00  PM,15.569,,,,
51,06/27/22 01:00:00  PM,15.091,,,,
52,06/27/22 01:30:00  PM,18.236,,,,
53,06/27/22 02:00:00  PM,17.570,,,,
54,06/27/22 02:30:00  PM,16.523,,,,
55,06/27/22 03:00:00  PM,17.189,,,,
56,06/27/22 03:30:00  PM,15.951,,,,
