"Plot Title: WILL_9T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10348517, SEN S/N: 10348517, LBL: 10_cm)","Good Battery (LGR S/N: 10348517)","Coupler Attached (LGR S/N: 10348517)","Host Connected (LGR S/N: 10348517)","Stopped (LGR S/N: 10348517)","End Of File (LGR S/N: 10348517)"
1,06/26/22 12:00:00  PM,16.237,Logged,,,,
2,06/26/22 12:15:00  PM,16.903,,,,,
3,06/26/22 12:30:00  PM,17.379,,,,,
4,06/26/22 12:45:00  PM,18.426,,,,,
5,06/26/22 01:00:00  PM,18.140,,,,,
6,06/26/22 01:15:00  PM,17.094,,,,,
7,06/26/22 01:30:00  PM,18.045,,,,,
8,06/26/22 01:45:00  PM,19.092,,,,,
9,06/26/22 02:00:00  PM,18.521,,,,,
10,06/26/22 02:15:00  PM,18.045,,,,,
11,06/26/22 02:30:00  PM,19.377,,,,,
12,06/26/22 02:45:00  PM,21.855,,,,,
13,06/26/22 03:00:00  PM,17.379,,,,,
14,06/26/22 03:15:00  PM,15.569,,,,,
15,06/26/22 03:30:00  PM,12.594,,,,,
16,06/26/22 03:45:00  PM,12.207,,,,,
17,06/26/22 04:00:00  PM,11.431,,,,,
18,06/26/22 04:15:00  PM,10.259,,,,,
19,06/26/22 04:30:00  PM,9.373,,,,,
20,06/26/22 04:45:00  PM,9.176,,,,,
21,06/26/22 05:00:00  PM,9.965,,,,,
22,06/26/22 05:15:00  PM,9.965,,,,,
23,06/26/22 05:30:00  PM,9.965,,,,,
24,06/26/22 05:45:00  PM,9.866,,,,,
25,06/26/22 06:00:00  PM,9.571,,,,,
26,06/26/22 06:15:00  PM,10.357,,,,,
27,06/26/22 06:30:00  PM,10.944,,,,,
28,06/26/22 06:45:00  PM,11.528,,,,,
29,06/26/22 07:00:00  PM,11.528,,,,,
30,06/26/22 07:15:00  PM,11.139,,,,,
31,06/26/22 07:30:00  PM,11.236,,,,,
32,06/26/22 07:45:00  PM,11.819,,,,,
33,06/26/22 08:00:00  PM,12.304,,,,,
34,06/26/22 08:15:00  PM,11.916,,,,,
35,06/26/22 08:30:00  PM,11.528,,,,,
36,06/26/22 08:45:00  PM,10.553,,,,,
37,06/26/22 09:00:00  PM,9.077,,,,,
38,06/26/22 09:15:00  PM,7.782,,,,,
39,06/26/22 09:30:00  PM,7.582,,,,,
40,06/26/22 09:45:00  PM,7.179,,,,,
41,06/26/22 10:00:00  PM,8.182,,,,,
42,06/26/22 10:15:00  PM,8.581,,,,,
43,06/26/22 10:30:00  PM,9.669,,,,,
44,06/26/22 10:45:00  PM,9.965,,,,,
45,06/26/22 11:00:00  PM,8.182,,,,,
46,06/26/22 11:15:00  PM,6.877,,,,,
47,06/26/22 11:30:00  PM,6.573,,,,,
48,06/26/22 11:45:00  PM,7.882,,,,,
49,06/27/22 12:00:00  AM,8.680,,,,,
50,06/27/22 12:15:00  AM,7.381,,,,,
51,06/27/22 12:30:00  AM,6.978,,,,,
52,06/27/22 12:45:00  AM,7.179,,,,,
53,06/27/22 01:00:00  AM,6.877,,,,,
54,06/27/22 01:15:00  AM,6.775,,,,,
55,06/27/22 01:30:00  AM,6.775,,,,,
56,06/27/22 01:45:00  AM,7.079,,,,,
57,06/27/22 02:00:00  AM,7.682,,,,,
58,06/27/22 02:15:00  AM,8.978,,,,,
59,06/27/22 02:30:00  AM,9.965,,,,,
60,06/27/22 02:45:00  AM,10.651,,,,,
61,06/27/22 03:00:00  AM,10.748,,,,,
62,06/27/22 03:15:00  AM,10.063,,,,,
63,06/27/22 03:30:00  AM,9.965,,,,,
64,06/27/22 03:45:00  AM,13.461,,,,,
65,06/27/22 04:00:00  AM,14.325,,,,,
66,06/27/22 04:15:00  AM,14.134,,,,,
67,06/27/22 04:30:00  AM,14.613,,,,,
68,06/27/22 04:45:00  AM,13.750,,,,,
69,06/27/22 05:00:00  AM,12.110,,,,,
70,06/27/22 05:15:00  AM,11.625,,,,,
71,06/27/22 05:30:00  AM,12.304,,,,,
72,06/27/22 05:45:00  AM,13.461,,,,,
73,06/27/22 06:00:00  AM,15.282,,,,,
74,06/27/22 06:15:00  AM,15.760,,,,,
75,06/27/22 06:30:00  AM,12.690,,,,,
76,06/27/22 06:45:00  AM,11.041,,,,,
77,06/27/22 07:00:00  AM,11.139,,,,,
78,06/27/22 07:15:00  AM,11.819,,,,,
79,06/27/22 07:30:00  AM,13.461,,,,,
80,06/27/22 07:45:00  AM,15.664,,,,,
81,06/27/22 08:00:00  AM,16.903,,,,,
82,06/27/22 08:15:00  AM,16.808,,,,,
83,06/27/22 08:30:00  AM,18.045,,,,,
84,06/27/22 08:45:00  AM,17.760,,,,,
85,06/27/22 09:00:00  AM,18.140,,,,,
86,06/27/22 09:15:00  AM,17.379,,,,,
87,06/27/22 09:30:00  AM,16.999,,,,,
88,06/27/22 09:45:00  AM,18.426,,,,,
89,06/27/22 10:00:00  AM,18.521,,,,,
90,06/27/22 10:15:00  AM,19.567,,,,,
91,06/27/22 10:30:00  AM,21.951,,,,,
92,06/27/22 10:45:00  AM,23.004,,,,,
93,06/27/22 11:00:00  AM,22.621,,,,,
94,06/27/22 11:15:00  AM,21.282,,,,,
95,06/27/22 11:30:00  AM,23.292,,,,,
96,06/27/22 11:45:00  AM,22.333,,,,,
97,06/27/22 12:00:00  PM,23.581,,,,,
98,06/27/22 12:15:00  PM,23.100,,,,,
99,06/27/22 12:30:00  PM,22.812,,,,,
100,06/27/22 12:45:00  PM,21.760,,,,,
101,06/27/22 01:00:00  PM,21.951,,,,,
102,06/27/22 01:15:00  PM,24.545,,,,,
103,06/27/22 01:30:00  PM,26.488,,,,,
104,06/27/22 01:45:00  PM,27.468,,,,,
105,06/27/22 02:00:00  PM,27.173,,,,,
106,06/27/22 02:15:00  PM,26.097,,,,,
107,06/27/22 02:30:00  PM,24.738,,,,,
108,06/27/22 02:45:00  PM,24.931,,,,,
109,06/27/22 03:00:00  PM,23.966,,,,,
110,06/27/22 03:15:00  PM,23.869,,,,,
111,06/27/22 03:30:00  PM,23.677,,,,,
112,06/27/22 03:45:00  PM,24.931,,,,,
113,06/27/22 04:00:00  PM,24.158,,,,,
114,06/27/22 04:15:00  PM,25.028,,,,,
115,06/27/22 04:30:00  PM,24.931,,,,,
116,06/27/22 04:45:00  PM,23.196,,,,,
117,06/27/22 05:00:00  PM,20.710,,,,,
118,06/27/22 05:15:00  PM,21.091,,,,,
119,06/27/22 05:30:00  PM,22.046,,,,,
120,06/27/22 05:45:00  PM,22.238,,,,,
121,06/27/22 06:00:00  PM,21.378,,,,,
122,06/27/22 06:15:00  PM,21.187,,,,,
123,06/27/22 06:30:00  PM,22.046,,,,,
124,06/27/22 06:45:00  PM,22.621,,,,,
125,06/27/22 07:00:00  PM,20.329,,,,,
126,06/27/22 07:15:00  PM,18.236,,,,,
127,06/27/22 07:30:00  PM,19.187,,,,,
128,06/27/22 07:45:00  PM,19.282,,,,,
129,06/27/22 08:00:00  PM,17.665,,,,,
130,06/27/22 08:15:00  PM,17.094,,,,,
131,06/27/22 08:30:00  PM,16.618,,,,,
132,06/27/22 08:45:00  PM,15.664,,,,,
133,06/27/22 09:00:00  PM,14.804,,,,,
134,06/27/22 09:15:00  PM,14.517,,,,,
135,06/27/22 09:30:00  PM,14.517,,,,,
136,06/27/22 09:45:00  PM,13.846,,,,,
137,06/27/22 10:00:00  PM,11.431,,,,,
138,06/27/22 10:15:00  PM,11.431,,,,,
139,06/27/22 10:30:00  PM,12.110,,,,,
140,06/27/22 10:45:00  PM,12.497,,,,,
141,06/27/22 11:00:00  PM,12.883,,,,,
142,06/27/22 11:15:00  PM,11.722,,,,,
143,06/27/22 11:30:00  PM,11.041,,,,,
144,06/27/22 11:45:00  PM,11.139,,,,,
145,06/28/22 12:00:00  AM,12.304,,,,,
146,06/28/22 12:15:00  AM,12.594,,,,,
147,06/28/22 12:30:00  AM,11.819,,,,,
148,06/28/22 12:45:00  AM,12.013,,,,,
149,06/28/22 01:00:00  AM,12.690,,,,,
150,06/28/22 01:15:00  AM,12.594,,,,,
151,06/28/22 01:30:00  AM,13.461,,,,,
152,06/28/22 01:45:00  AM,13.750,,,,,
153,06/28/22 02:00:00  AM,12.690,,,,,
154,06/28/22 02:15:00  AM,13.269,,,,,
155,06/28/22 02:30:00  AM,14.134,,,,,
156,06/28/22 02:45:00  AM,14.804,,,,,
157,06/28/22 03:00:00  AM,15.091,,,,,
158,06/28/22 03:15:00  AM,14.517,,,,,
159,06/28/22 03:30:00  AM,14.709,,,,,
160,06/28/22 03:45:00  AM,14.613,,,,,
161,06/28/22 04:00:00  AM,15.569,,,,,
162,06/28/22 04:15:00  AM,15.569,,,,,
163,06/28/22 04:30:00  AM,15.664,,,,,
164,06/28/22 04:45:00  AM,17.284,,,,,
165,06/28/22 05:00:00  AM,17.570,,,,,
166,06/28/22 05:15:00  AM,16.427,,,,,
167,06/28/22 05:30:00  AM,16.618,,,,,
168,06/28/22 05:45:00  AM,16.713,,,,,
169,06/28/22 06:00:00  AM,15.855,,,,,
170,06/28/22 06:15:00  AM,15.569,,,,,
171,06/28/22 06:30:00  AM,15.664,,,,,
172,06/28/22 06:45:00  AM,16.618,,,,,
173,06/28/22 07:00:00  AM,18.140,,,,,
174,06/28/22 07:15:00  AM,17.950,,,,,
175,06/28/22 07:30:00  AM,19.662,,,,,
176,06/28/22 07:45:00  AM,20.615,,,,,
177,06/28/22 08:00:00  AM,21.187,,,,,
178,06/28/22 08:15:00  AM,22.333,,,,,
179,06/28/22 08:30:00  AM,22.812,,,,,
180,06/28/22 08:45:00  AM,21.951,,,,,
181,06/28/22 09:00:00  AM,22.429,,,,,
182,06/28/22 09:15:00  AM,21.760,,,,,
183,06/28/22 09:30:00  AM,21.473,,,,,
184,06/28/22 09:45:00  AM,21.473,,,,,
185,06/28/22 10:00:00  AM,22.429,,,,,
186,06/28/22 10:15:00  AM,22.333,,,,,
187,06/28/22 10:30:00  AM,21.473,,,,,
188,06/28/22 10:45:00  AM,21.187,,,,,
189,06/28/22 11:00:00  AM,22.621,,,,,
190,06/28/22 11:15:00  AM,23.581,,,,,
191,06/28/22 11:30:00  AM,24.738,,,,,
192,06/28/22 11:45:00  AM,25.028,,,,,
193,06/28/22 12:00:00  PM,24.255,,,,,
194,06/28/22 12:15:00  PM,24.255,,,,,
195,06/28/22 12:30:00  PM,23.484,,,,,
196,06/28/22 12:45:00  PM,23.388,,,,,
197,06/28/22 01:00:00  PM,24.641,,,,,
198,06/28/22 01:15:00  PM,28.555,,,,,
199,06/28/22 01:30:00  PM,28.456,,,,,
200,06/28/22 01:45:00  PM,27.862,,,,,
201,06/28/22 02:00:00  PM,27.862,,,,,
202,06/28/22 02:15:00  PM,25.805,,,,,
203,06/28/22 02:30:00  PM,27.961,,,,,
204,06/28/22 02:45:00  PM,26.488,,,,,
205,06/28/22 03:00:00  PM,26.390,,,,,
206,06/28/22 03:15:00  PM,26.195,,,,,
207,06/28/22 03:30:00  PM,23.292,,,,,
208,06/28/22 03:45:00  PM,23.484,,,,,
209,06/28/22 04:00:00  PM,21.187,,,,,
210,06/28/22 04:15:00  PM,19.853,,,,,
211,06/28/22 04:30:00  PM,20.519,,,,,
212,06/28/22 04:45:00  PM,21.473,,,,,
213,06/28/22 05:00:00  PM,22.717,,,,,
214,06/28/22 05:15:00  PM,22.238,,,,,
215,06/28/22 05:30:00  PM,20.138,,,,,
216,06/28/22 05:45:00  PM,19.853,,,,,
217,06/28/22 06:00:00  PM,20.043,,,,,
218,06/28/22 06:15:00  PM,19.948,,,,,
219,06/28/22 06:30:00  PM,22.142,,,,,
220,06/28/22 06:45:00  PM,23.004,,,,,
221,06/28/22 07:00:00  PM,21.473,,,,,
222,06/28/22 07:15:00  PM,19.853,,,,,
223,06/28/22 07:30:00  PM,19.377,,,,,
224,06/28/22 07:45:00  PM,18.616,,,,,
225,06/28/22 08:00:00  PM,17.284,,,,,
226,06/28/22 08:15:00  PM,16.141,,,,,
227,06/28/22 08:30:00  PM,14.517,,,,,
228,06/28/22 08:45:00  PM,13.269,,,,,
229,06/28/22 09:00:00  PM,12.110,,,,,
230,06/28/22 09:15:00  PM,12.013,,,,,
231,06/28/22 09:30:00  PM,11.916,,,,,
232,06/28/22 09:45:00  PM,12.883,,,,,
233,06/28/22 10:00:00  PM,13.365,,,,,
