Site,OTC/Cntr,Plot,North,Center,South,Notes,Year:,2022
Willow,T,1,51,56,47,,DOY:,182
Willow,Cp,1,18,23,28,,Observer:,"SA, NR"
Willow,Cc,1,74,59,69,,Notes,
Willow,T,2,32,42,45,,,
Willow,Cp,2,48,29,57,,,
Willow,Cc,2,59,56,58,,,
Willow,T,3,47,44,17,,,
Willow,Cp,3,53,66,45,,,
Willow,Cc,3,39,33,43,,,
Willow,T,4,15,36,31,,,
Willow,Cp,4,22,56,40,,,
Willow,Cc,4,41,11,56,,,
Willow,T,5,26,31,51,,,
Willow,Cp,5,34,45,55,,,
Willow,Cc,5,41,47,43,,,
Willow,T,6,33,31,36,,,
Willow,Cp,6,23,40,28,,,
Willow,Cc,6,63,48,49,,,
Willow,T,7,25,37,25,,,
Willow,Cp,7,27,28,44,,,
Willow,Cc,7,27,46,57,,,
Willow,T,8,21,42,23,,,
Willow,Cp,8,30,53,50,,,
Willow,Cc,8,45,35,39,,,
Willow,T,9,44,34,34,,,
Willow,Cp,9,7,41,8,,,
Willow,Cc,9,40,40,16,,,
Willow,T,10,18,24,21,,,
Willow,Cp,10,14,12,20,,,
Willow,Cc,10,42,42,17,,,
Willow,CO2_T,11,29,20,21,,,
Willow,CO2_C,11,40,22,21,,,
Willow,CO2_T,12,38,25,43,,,
Willow,CO2_C,12,35,39,51,,,
Willow,CO2_T,13,43,31,48,,,
Willow,CO2_C,13,42,42,26,,,
Willow,CO2_T,14,44,39,41,,,
Willow,CO2_C,14,35,39,49,,,
