Site,OTC/Cntr,Plot,North,Center,South,Notes,Year:,2022
Willow,T,1,,,,,DOY:,178
Willow,Cp,1,,,,,Observer:,
Willow,Cc,1,,,,,Notes,
Willow,T,2,,,,,,
Willow,Cp,2,,,,,,
Willow,Cc,2,,,,,,
Willow,T,3,,,,,,
Willow,Cp,3,,,,,,
Willow,Cc,3,,,,,,
Willow,T,4,,,,,,
Willow,Cp,4,,,,,,
Willow,Cc,4,,,,,,
Willow,T,5,,,,,,
Willow,Cp,5,,,,,,
Willow,Cc,5,,,,,,
Willow,T,6,,,,,,
Willow,Cp,6,,,,,,
Willow,Cc,6,,,,,,
Willow,T,7,,,,,,
Willow,Cp,7,,,,,,
Willow,Cc,7,,,,,,
Willow,T,8,,,,,,
Willow,Cp,8,,,,,,
Willow,Cc,8,,,,,,
Willow,T,9,,,,,,
Willow,Cp,9,,,,,,
Willow,Cc,9,,,,,,
Willow,T,10,,,,,,
Willow,Cp,10,,,,,,
Willow,Cc,10,,,,,,
Willow,CO2_T,11,39,10,15,,,
Willow,CO2_C,11,16,18,25,,,
Willow,CO2_T,12,47,38,45,,,
Willow,CO2_C,12,41,51,61,,,
Willow,CO2_T,13,64,42,53,,,
Willow,CO2_C,13,47,51,33,,,
Willow,CO2_T,14,24,17,43,,,
Willow,CO2_C,14,47,31,51,,,
