Site,OTC/Cntr,Plot,North 90°,North 15°,Center 90°,Center 15°,South 90°,South 15°,Notes,Year:,2022,
Maedow,T,1,71,,58,,58,,,DOY:,182,
Maedow,Cp,1,84,,66,,71,,,Observer:,"NR, SA",
Maedow,Cc,1,77,,72,,47,,,Notes,,
Maedow,T,2,50,,66,,76,,,,,
Maedow,Cp,2,64,,37,,47,,,,,
Maedow,Cc,2,49,,40,,57,,,,,
Maedow,T,3,59,,49,,60,,,,,
Maedow,Cp,3,68,,54,,53,,,,,
Maedow,Cc,3,85,,81,,89,,,,,
Maedow,T,4,77,,88,,78,,,,,
Maedow,Cp,4,72,,68,,60,,,,,
Maedow,Cc,4,72,,75,,92,,,,,
Maedow,T,5,80,,82,,75,,,,,
Maedow,Cp,5,76,,77,,56,,,,,
Maedow,Cc,5,72,,77,,78,,,,,
Maedow,T,6,73,,61,,64,,,,,
Maedow,Cp,6,75,,79,,90,,,,,
Maedow,Cc,6,61,,47,,50,,,,,
Maedow,T,7,63,,68,,65,,,,,
Maedow,Cp,7,87,,73,,41,,,,,
Maedow,Cc,7,72,,77,,82,,,,,
Maedow,T,8,79,,80,,95,,,,,
Maedow,Cp,8,94,,88,,85,,,,,
Maedow,Cc,8,86,,84,,81,,,,,
Maedow,T,9,89,,91,,98,,,,,
Maedow,Cp,9,77,,82,,60,,,,,
Maedow,Cc,9,75,,72,,79,,,,,
Maedow,T,10,98,,83,,80,,,,,
Maedow,Cp,10,61,,68,,55,,PRETTY FROZEN,,,
Maedow,Cc,10,67,,50,,67,,,,,
Maedow,CO2_T,11,63,,52,,43,,,,,
Maedow,CO2_C,11,54,,48,,58,,,,,
Maedow,CO2_T,12,48,,63,,68,,,,,
Maedow,CO2_C,12,41,,48,,38,,,,,
Maedow,CO2_T,13,36,,50,,27,,PRETTY FROZEN,,,
Maedow,CO2_C,13,68,,52,,71,,,,,
Maedow,CO2_T,14,63,,68,,61,,,,,
Maedow,CO2_C,14,61,,58,,65,,,,,
