Site,OTC/Cntr,Plot,North 90°,North 15°,Center 90°,Center 15°,South 90°,South 15°,Notes,Year:,2022
Willow,T,1,,,,,,,,DOY:,208
Willow,Cp,1,,,,,,,,Observer:,"DT, BM"
Willow,Cc,1,,,,,,,,Notes,
Willow,T,2,,,,,,,,,
Willow,Cp,2,,,,,,,,,
Willow,Cc,2,,,,,,,,,
Willow,T,3,,,,,,,,,
Willow,Cp,3,,,,,,,,,
Willow,Cc,3,,,,,,,,,
Willow,T,4,,,,,,,,,
Willow,Cp,4,,,,,,,,,
Willow,Cc,4,,,,,,,,,
Willow,T,5,,,,,,,,,
Willow,Cp,5,,,,,,,,,
Willow,Cc,5,,,,,,,,,
Willow,T,6,,,,,,,,,
Willow,Cp,6,,,,,,,,,
Willow,Cc,6,,,,,,,,,
Willow,T,7,,,,,,,,,
Willow,Cp,7,,,,,,,,,
Willow,Cc,7,,,,,,,,,
Willow,T,8,,,,,,,,,
Willow,Cp,8,,,,,,,,,
Willow,Cc,8,,,,,,,,,
Willow,T,9,,,,,,,,,
Willow,Cp,9,,,,,,,,,
Willow,Cc,9,,,,,,,,,
Willow,T,10,,,,,,,,,
Willow,Cp,10,,,,,,,,,
Willow,Cc,10,,,,,,,,,
Willow,CO2_T,11,36,,36,,25,,,,
Willow,CO2_C,11,33,,42,,43,,,,
Willow,CO2_T,12,35,,36,,41,,,,
Willow,CO2_C,12,37,,46,,55,,,,
Willow,CO2_T,13,45,,33,,34,,,,
Willow,CO2_C,13,53,,47,,29,,,,
Willow,CO2_T,14,55,,43,,40,,,,
Willow,CO2_C,14,50,,42,,46,,,,
