"Plot Title: DRYAS_11C_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547755, SEN S/N: 20547755, LBL: -5cm_soil)","Host Connected (LGR S/N: 20547755)","Coupler Attached (LGR S/N: 20547755)","Stopped (LGR S/N: 20547755)","End Of File (LGR S/N: 20547755)"
1,07/02/22 04:00:00  PM,7.882,,,,
2,07/02/22 04:30:00  PM,7.782,,,,
3,07/02/22 05:00:00  PM,7.682,,,,
4,07/02/22 05:30:00  PM,7.582,,,,
5,07/02/22 06:00:00  PM,7.481,,,,
6,07/02/22 06:30:00  PM,7.381,,,,
7,07/02/22 07:00:00  PM,7.280,,,,
8,07/02/22 07:30:00  PM,7.179,,,,
9,07/02/22 08:00:00  PM,6.978,,,,
10,07/02/22 08:30:00  PM,6.877,,,,
11,07/02/22 09:00:00  PM,6.674,,,,
12,07/02/22 09:30:00  PM,6.573,,,,
13,07/02/22 10:00:00  PM,6.370,,,,
14,07/02/22 10:30:00  PM,6.166,,,,
15,07/02/22 11:00:00  PM,6.064,,,,
16,07/02/22 11:30:00  PM,5.860,,,,
17,07/03/22 12:00:00  AM,5.757,,,,
18,07/03/22 12:30:00  AM,5.655,,,,
19,07/03/22 01:00:00  AM,5.450,,,,
20,07/03/22 01:30:00  AM,5.347,,,,
21,07/03/22 02:00:00  AM,5.347,,,,
22,07/03/22 02:30:00  AM,5.244,,,,
23,07/03/22 03:00:00  AM,5.141,,,,
24,07/03/22 03:30:00  AM,5.037,,,,
25,07/03/22 04:00:00  AM,4.934,,,,
26,07/03/22 04:30:00  AM,4.831,,,,
27,07/03/22 05:00:00  AM,4.831,,,,
28,07/03/22 05:30:00  AM,4.727,,,,
29,07/03/22 06:00:00  AM,4.727,,,,
30,07/03/22 06:30:00  AM,4.727,,,,
31,07/03/22 07:00:00  AM,4.934,,,,
32,07/03/22 07:30:00  AM,5.037,,,,
33,07/03/22 08:00:00  AM,5.244,,,,
34,07/03/22 08:30:00  AM,5.450,,,,
35,07/03/22 09:00:00  AM,5.552,,,,
36,07/03/22 09:30:00  AM,5.655,,,,
37,07/03/22 10:00:00  AM,5.655,,,,
38,07/03/22 10:30:00  AM,5.757,,,,
39,07/03/22 11:00:00  AM,5.860,,,,
40,07/03/22 11:30:00  AM,6.064,,,,
41,07/03/22 12:00:00  PM,6.166,,,,
42,07/03/22 12:30:00  PM,6.268,,,,
43,07/03/22 01:00:00  PM,6.268,,,,
44,07/03/22 01:30:00  PM,6.370,,,,
45,07/03/22 02:00:00  PM,6.370,,,,
46,07/03/22 02:30:00  PM,6.370,,,,
47,07/03/22 03:00:00  PM,6.268,,,,
48,07/03/22 03:30:00  PM,6.166,,,,
49,07/03/22 04:00:00  PM,6.064,,,,
50,07/03/22 04:30:00  PM,5.962,,,,
51,07/03/22 05:00:00  PM,5.757,,,,
52,07/03/22 05:30:00  PM,5.757,,,,
53,07/03/22 06:00:00  PM,5.655,,,,
54,07/03/22 06:30:00  PM,5.552,,,,
55,07/03/22 07:00:00  PM,5.450,,,,
56,07/03/22 07:30:00  PM,5.450,,,,
57,07/03/22 08:00:00  PM,5.244,,,,
58,07/03/22 08:30:00  PM,5.141,,,,
59,07/03/22 09:00:00  PM,5.037,,,,
60,07/03/22 09:30:00  PM,4.934,,,,
61,07/03/22 10:00:00  PM,4.831,,,,
62,07/03/22 10:30:00  PM,4.623,,,,
63,07/03/22 11:00:00  PM,4.519,,,,
64,07/03/22 11:30:00  PM,4.415,,,,
65,07/04/22 12:00:00  AM,4.311,,,,
66,07/04/22 12:30:00  AM,4.207,,,,
67,07/04/22 01:00:00  AM,4.102,,,,
68,07/04/22 01:30:00  AM,4.102,,,,
69,07/04/22 02:00:00  AM,4.102,,,,
70,07/04/22 02:30:00  AM,4.102,,,,
71,07/04/22 03:00:00  AM,4.102,,,,
72,07/04/22 03:30:00  AM,4.102,,,,
73,07/04/22 04:00:00  AM,4.102,,,,
